A
1050 Generated by WorldEditor 1.6.0r1

1    131 1 0 KFMH Cape Cod CGAS
100 46.00 1 0 0.00 0 3 1 14  41.66745756 -070.53830777    0    0 2 0 0 0 32  41.65157665 -070.51064544    0    4 3 7 0 0
100 46.00 1 0 0.00 0 3 1 05  41.65011917 -070.53006436    0    0 2 0 0 0 23  41.66720842 -070.51164913    0    5 3 1 0 0
102 H1  41.66398878 -070.52731118 264.65 20.40 18.30 1 0 0 0.00 0
102 H2  41.66483523 -070.51553343 264.85 18.20 18.30 1 0 0 0.00 0
102 H3  41.66060132 -070.52976009 307.79 18.00 18.30 2 0 0 0.00 0
110 2 0.00 0.0000 New Taxiway 14
111  41.65202157 -070.52045002
111  41.65195759 -070.52044788
111  41.65195439 -070.52033870
113  41.65201997 -070.52033870
110 2 0.00 0.0000 New Taxiway 13
111  41.65149373 -070.52123779
111  41.65130818 -070.52092311
111  41.65140095 -070.52082464
111  41.65145214 -070.52089314
111  41.65168727 -070.52063198
111  41.65171766 -070.52067693
111  41.65176085 -070.52062556
113  41.65186322 -070.52080109
110 2 0.00 0.0000 Building
111  41.64915971 -070.51626265
111  41.64875458 -070.51555206
111  41.64883101 -070.51547418
111  41.64904676 -070.51525438
111  41.64909592 -070.51519907
111  41.64915685 -070.51530203
111  41.64942565 -070.51577245
113  41.64950622 -070.51590735
110 2 0.00 0.0000 Building
111  41.65598388 -070.52989041
111  41.65594365 -070.52989810
111  41.65590774 -070.52969428
111  41.65594509 -070.52967890
111  41.65594222 -070.52966544
111  41.65613185 -070.52960391
111  41.65615484 -070.52972313
111  41.65623529 -070.52969044
111  41.65623242 -070.52966929
111  41.65628557 -070.52965006
111  41.65628988 -070.52967313
111  41.65633586 -070.52965775
111  41.65634017 -070.52964044
111  41.65661744 -070.52954238
111  41.65664473 -070.52966160
111  41.65677547 -070.52962122
111  41.65677259 -070.52960776
111  41.65728835 -070.52945393
111  41.65735156 -070.52977697
111  41.65684873 -070.52991926
111  41.65685448 -070.52996156
111  41.65679558 -070.52997886
111  41.65679127 -070.52994618
111  41.65675104 -070.52995964
111  41.65673524 -070.52984234
111  41.65668496 -070.52986157
111  41.65667059 -070.52985003
111  41.65642780 -070.52993464
