I
1050 Generated by WorldEditor 1.6.0r1

1     64 0 0 EGES Sanday
100 17.98 1 0 0.00 0 0 0 03  59.24823612 -002.57651227    0    0 1 0 0 0 21  59.25214002 -002.57352843    0    0 1 0 0 0
100 29.87 3 0 0.00 0 0 0 15  59.25187771 -002.57638877    0    0 0 0 0 0 33  59.24895503 -002.57418530    0    0 0 0 0 0
100 29.87 3 0 0.00 0 0 0 11  59.25132649 -002.57986371    0    0 0 0 0 0 29  59.25056150 -002.57289317    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 32
111  59.24844532 -002.57618856
111  59.24822721 -002.57635478
114  59.24830610 -002.57616968  59.24837250 -002.57611108
110 1 0.00 0.0000 New Taxiway 32
111  59.24828639 -002.57663000
111  59.24848586 -002.57647488
112  59.24842088 -002.57663691  59.24836726 -002.57670169
111  59.24842088 -002.57663691
114  59.24842088 -002.57663691  59.24835777 -002.57669903
110 1 0.00 0.0000 New Taxiway 31
111  59.25206165 -002.57373951
112  59.25203046 -002.57395578  59.25205621 -002.57407563
111  59.25203046 -002.57395578
112  59.25203046 -002.57395578  59.25205132 -002.57405289
111  59.25218933 -002.57468047
112  59.25222227 -002.57475781  59.25225254 -002.57477755
111  59.25240459 -002.57485292
111  59.25239547 -002.57492878
111  59.25248547 -002.57497839
111  59.25244872 -002.57519332
111  59.25237144 -002.57515004
111  59.25235338 -002.57527194
111  59.25212749 -002.57513959
112  59.25215531 -002.57497076  59.25217049 -002.57486519
111  59.25214153 -002.57479449
112  59.25197990 -002.57407671  59.25194694 -002.57392866
113  59.25183172 -002.57392031
130 Airport Boundary 33
111  59.25145257 -002.58122399
111  59.25072381 -002.58082550
111  59.25025710 -002.57638678
111  59.24784810 -002.57776386
111  59.24762083 -002.57661448
111  59.24796844 -002.57500728
111  59.24834367 -002.57525348
111  59.24864493 -002.57288519
111  59.24973026 -002.57335158
111  59.25005714 -002.57171670
113  59.25295153 -002.57319736
14  59.25242926 -002.57506488  82.02 0 New Tower Viewpoint 1
1300  59.25221572 -002.57502115  73.77 tie_down props Apron
1301 A general_aviation 
18  59.25235730 -002.57571095 1 New Airport Beacon 2
19  59.25239691 -002.57571837 1 WS
99
