I
1050 Generated by WorldEditor 2.1.0r1

1   1175 0 0 85MN Christison
100 15.24 3 0 0.25 0 0 0 18  44.16156821 -092.20212536    0    0 0 0 0 0 36  44.15531446 -092.20220340    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 3
111  44.15534789 -092.20184590
111  44.15534821 -092.20169803
111  44.15546009 -092.20170009
113  44.15545983 -092.20184784
110 2 0.00 0.0000 New Taxiway 2
111  44.15531078 -092.20229716
111  44.15528466 -092.20229647
111  44.15527632 -092.20179140
112  44.15529756 -092.20170025  44.15531672 -092.20165541
111  44.15529756 -092.20170025
111  44.15532653 -092.20170029
112  44.15530386 -092.20179460  44.15529975 -092.20184946
113  44.15530386 -092.20179460
110 3 0.00 0.0000 New Taxiway 1
111  44.15528466 -092.20229647
111  44.15531078 -092.20229716
111  44.15530386 -092.20179460
112  44.15530386 -092.20179460  44.15530797 -092.20173974
111  44.15532653 -092.20170029
111  44.15534821 -092.20169803
111  44.15534789 -092.20184590
111  44.15545983 -092.20184784
111  44.15681442 -092.20184575
111  44.15681589 -092.20204152
111  44.16158278 -092.20197026
111  44.16157995 -092.20226408
111  44.15764694 -092.20235800
113  44.15528517 -092.20236248
130 Airport Boundary 4
111  44.15525394 -092.20237453
111  44.15523848 -092.20169704
111  44.15567752 -092.20167140
111  44.15568487 -092.20180302
111  44.15683104 -092.20181942
111  44.15683545 -092.20201633
111  44.16159056 -092.20194693
111  44.16158820 -092.20227587
113  44.15690797 -092.20238716
14  44.15559990 -092.20177205  82.02 0 New Tower Viewpoint 1
1300  44.15540346 -092.20182739 269.08 hangar props Hangar 1
1301 A none 
1300  44.15559070 -092.20198020 270.49 tie_down props General Aviation 7
1301 A general_aviation 
1300  44.15578446 -092.20198191 270.49 tie_down props General Aviation 6
1301 A general_aviation 
1300  44.15599426 -092.20197895 270.49 tie_down props General Aviation 5
1301 A general_aviation 
1300  44.15618711 -092.20197895 270.49 tie_down props General Aviation 4
1301 A general_aviation 
1300  44.15637617 -092.20198059 270.49 tie_down props General Aviation 3
1301 A general_aviation 
1300  44.15655093 -092.20197631 270.49 tie_down props General Aviation 2
1301 A general_aviation 
1300  44.15673080 -092.20197346 270.49 tie_down props General Aviation 1
1301 A general_aviation 
99
