I
1050 Generated by WorldEditor 2.1.0r1

1      0 1 0 EVFA Vaiņode Airbase
1302 city Vaiņode
1302 country Latvia
1302 datum_lat 56.405
1302 datum_lon 21.886667
1302 icao_code EVFA
100 58.00 2 0 0.00 0 0 0 08  56.40521897  021.87302062  179    0 0 0 0 0 26  56.40669382  021.90529222   31    0 0 0 0 0
110 2 0.00 107.0000 concrete
111  56.40643389  021.90533252
111  56.40695632  021.90525815
111  56.40718568  021.90523955
111  56.40722602  021.90528473
111  56.40725520  021.90537783
111  56.40730869  021.90639898
111  56.40733893  021.90633262
111  56.40728956  021.90537343
111  56.40730003  021.90527780
111  56.40733203  021.90521388
111  56.40761784  021.90516376
111  56.40767708  021.90523871
111  56.40769090  021.90572767
111  56.40874868  021.90555641
111  56.40916812  021.90499105
111  56.40922262  021.90498249
111  56.40928897  021.90505101
111  56.40932452  021.90524803
111  56.40936243  021.90536796
111  56.40955675  021.90530800
111  56.40966338  021.90534226
111  56.40966812  021.90515809
111  56.40971789  021.90512811
111  56.40993590  021.90560353
111  56.41001647  021.90549217
111  56.40983163  021.90501246
111  56.40989324  021.90499533
111  56.41025512  021.90494688
111  56.41026234  021.90505474
111  56.41034348  021.90503648
111  56.41034112  021.90493536
111  56.41039799  021.90488825
111  56.41061363  021.90485398
111  56.41068946  021.90489681
111  56.41073212  021.90499532
111  56.41077714  021.90510240
111  56.41089800  021.90558641
112  56.41092643  021.90556071  56.41090510  021.90549218
111  56.41095013  021.90553501
111  56.41078188  021.90493107
111  56.41077951  021.90467408
111  56.41081743  021.90457557
111  56.41083164  021.90442994
111  56.41077003  021.90435284
111  56.41072738  021.90422434
111  56.41071491  021.90394805
111  56.41079175  021.90392123
111  56.41075670  021.90351854
111  56.41069289  021.90346027
111  56.41057665  021.90088455
111  56.41065094  021.90079202
111  56.41080699  021.90073097
111  56.41155771  021.90061789
112  56.41155469  021.90056605  56.41151772  021.90057119
111  56.41155258  021.90052992
111  56.41080186  021.90064300
111  56.41065124  021.90059811
111  56.41055879  021.90048882
111  56.41055030  021.90030069
111  56.41059986  021.90022198
111  56.41059642  021.90001986
111  56.41053484  021.89995811
111  56.41052595  021.89976124
111  56.41048467  021.89954182
111  56.41042306  021.89938763
111  56.40884958  021.89752450
111  56.40878322  021.89736603
111  56.40872398  021.89711333
111  56.40872161  021.89696771
111  56.40876899  021.89683311
111  56.40910075  021.89687594
111  56.40910807  021.89670459
111  56.40877631  021.89666176
111  56.40873805  021.89658304
111  56.40879907  021.89515551
111  56.40886486  021.89506257
