A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      775 0 0 ED03 Pohlheim Viehheide
100   29.87   1   0 0.00 0 0 0 08   50.53173350  008.72765309    0.00    0.00 2  0 0 0 26   50.53278650  008.74114491    0.00    0.00 2  0 0 0
110   2 0.00 172.60 xxx
111  50.53251961  008.72752302 
111  50.53185861  008.72765808 
111  50.53187239  008.72782498 
113  50.53253339  008.72768992 
110   2 0.00 263.00 xxx
111  50.53312287  008.74103823 
111  50.53231992  008.73075010 
111  50.53224913  008.73076377 
113  50.53305208  008.74105190 
110   2 0.00 273.70 xxx
111  50.53232240  008.73080537 
111  50.53248277  008.72690387 
111  50.53241160  008.72689663 
113  50.53225123  008.73079813 
110   2 0.00 353.10 xxx
111  50.53292369  008.74109538 
111  50.53329948  008.74102384 
111  50.53325631  008.74046262 
113  50.53288052  008.74053416 
110   2 0.00 359.70 xxx
111  50.53244499  008.72790502 
111  50.53277689  008.72790228 
111  50.53277501  008.72733698 
113  50.53244311  008.72733972 
110   2 0.00  46.50 xxx
111  50.53299140  008.74019532 
111  50.53320287  008.74054591 
111  50.53325460  008.74046868 
113  50.53304313  008.74011809 
110   2 0.00  43.90 xxx
111  50.53228716  008.72773148 
111  50.53237808  008.72786913 
111  50.53244084  008.72776652 
113  50.53234992  008.72762887 
110   2 0.00 312.00 xxx
111  50.53232993  008.72765936 
111  50.53245107  008.72744771 
111  50.53239807  008.72737264 
113  50.53227693  008.72758429 
110   2 0.00 359.60 xxx
111  50.53244337  008.72734402 
111  50.53277526  008.72734038 
111  50.53277463  008.72719798 
113  50.53244274  008.72720162 
110   2 0.00 358.00 xxx
111  50.53189877  008.73568165 
111  50.53294047  008.73562442 
111  50.53293923  008.73556835 
113  50.53189753  008.73562558 
14   50.53263700  008.72828200   20 0 Tower Viewpoint
18   50.53296400  008.73472800 1 Light beacon
19   50.53121800  008.72820200 1 Windsock
19   50.53217400  008.74076000 1 Windsock


130 Airport Boundary
111  050.53173447  008.72765255
111  050.53241348  008.72689629
111  050.53248215  008.72690392
111  050.53277588  008.72719765
111  050.53329849  008.74102402
111  050.53278732  008.74114513
113  050.53189850  008.73568153
99
