I
1050 Generated by WorldEditor 1.6.0r1

1    483 1 0 MMTJ Tijuana International Airport
1302 city Tijuana
1302 country Mexico
1302 datum_lat 32.541058333
1302 datum_lon -116.969958333
1302 faa_code 
1302 iata_code TIJ
1302 icao_code MMTJ
1302 region_code MM
1302 state Baja California
1302 transition_alt 18500
1302 transition_level 19500
100 44.64 1 1 0.25 0 3 1 09  32.54317400 -116.98548768    0   55 3 7 0 0 27  32.53904062 -116.95429315    0   59 3 1 0 0
110 1 0.00 0.0000 New Taxiway 4
111  32.54157104 -116.96251999
112  32.54141078 -116.96189431  32.54138956 -116.96180802
111  32.54135348 -116.96179786
112  32.54107966 -116.96173441  32.54098308 -116.96172044
111  32.54085834 -116.96176846
112  32.54049485 -116.96188797  32.54039756 -116.96192393
111  32.54041082 -116.96209420
111  32.54040463 -116.96243368
111  32.54033764 -116.96271326
111  32.54025625 -116.96208011
111  32.54033499 -116.96190772
112  32.54036938 -116.96184676  32.54039456 -116.96180637
111  32.54047318 -116.96176964
111  32.54082347 -116.96165341
111  32.54103254 -116.96161280
112  32.54121611 -116.96164275  32.54131199 -116.96165859
111  32.54121611 -116.96164275
112  32.54121611 -116.96164275  32.54125817 -116.96164969
112  32.54134031 -116.96166356  32.54137883 -116.96167014
111  32.54134031 -116.96166356
112  32.54134031 -116.96166356  32.54146661 -116.96168514
111  32.54148465 -116.96180571
111  32.54156334 -116.96212871
113  32.54166435 -116.96249561
110 1 0.00 0.0000 New Taxiway 3
111  32.54127431 -116.96029107
111  32.54137290 -116.96027607
111  32.54138468 -116.96071825
112  32.54137699 -116.96106530  32.54137317 -116.96119018
111  32.54116665 -116.96128266
111  32.54099860 -116.96138313
111  32.54082349 -116.96141381
111  32.54079746 -116.96141434
112  32.54056675 -116.96142146  32.54056652 -116.96142147
112  32.54039293 -116.96142482  32.54032179 -116.96142421
111  32.54026531 -116.96138101
111  32.54014775 -116.96124826
111  32.54008199 -116.96077059
111  32.54021470 -116.96099364
111  32.54030137 -116.96123092
112  32.54046057 -116.96131341  32.54058615 -116.96130812
