A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       30 1 0 EHSE Seppe
100   22.86   1   0 0.00 0 0 0 07   51.55339688  004.54763744   93.88    0.00 1  0 0 0 25   51.55649400  004.55882392   92.05    0.00 1  0 0 0
110   2 0.00   0.00 Concrete
111  51.55496235  004.55123987 
111  51.55521603  004.55109956 
111  51.55535214  004.55172300 
111  51.55545034  004.55168421 
111  51.55543603  004.55150128 
111  51.55537056  004.55151514 
111  51.55527296  004.55105677 
111  51.55538103  004.55102654 
111  51.55549410  004.55113029 
111  51.55555642  004.55112359 
112  51.55554770  004.55085144  51.55554696  004.55077922 
112  51.55554704  004.55061343  51.55554704  004.55059832 
111  51.55554861  004.55057061 
111  51.55550319  004.55057816 
112  51.55551102  004.55063358  51.55551415  004.55067640 
112  51.55547813  004.55082502  51.55544524  004.55089807 
112  51.55534500  004.55094845  51.55529019  004.55096356 
111  51.55525666  004.55096961 
111  51.55516233  004.55059892 
111  51.55511978  004.55013111 
111  51.55501923  004.55015003 
111  51.55490788  004.54989370 
111  51.55505285  004.54987705 
111  51.55511239  004.55000820 
111  51.55557189  004.54993742 
111  51.55554730  004.54961266 
111  51.55505564  004.54969273 
111  51.55505763  004.54973760 
111  51.55486250  004.54977126 
111  51.55481485  004.54962737 
111  51.55489751  004.54960860 
111  51.55488584  004.54943812 
111  51.55476845  004.54945211 
111  51.55467801  004.54909707 
111  51.55475484  004.54907517 
111  51.55473733  004.54887028 
111  51.55457760  004.54889399 
111  51.55480061  004.54981443 
111  51.55460374  004.54994683 
111  51.55462747  004.55003262 
111  51.55484559  004.54990232 
111  51.55519860  004.55099809 
113  51.55493699  004.55115158 
110   3 0.00   0.00 Grass 2
111  51.55493699  004.55115158 
111  51.55519860  004.55099809 
111  51.55484559  004.54990232 
113  51.55462747  004.55003262 
110   1 0.00   0.00 FuelingTw
111  51.55410102  004.54812995 
112  51.55425780  004.54802387  51.55426532  004.54801866 
111  51.55425780  004.54802387 
112  51.55425780  004.54802387  51.55433526  004.54796967 
112  51.55432382  004.54774577  51.55429361  004.54765206 
112  51.55413853  004.54764374  51.55406263  004.54769267 
111  51.55413853  004.54764374 
112  51.55413853  004.54764374  51.55412181  004.54765466 
111  51.55399249  004.54773818 
111  51.55401477  004.54781842 
112  51.55412849  004.54774506  51.55419115  004.54770560 
112  51.55419784  004.54796384  51.55412532  004.54801189 
113  51.55407738  004.54804452 
110   1 0.00   0.00 MainTaxiway
111  51.55656900  004.55868847 
112  51.55656900  004.55868847  51.55655221  004.55861742 
112  51.55662470  004.55849998  51.55667624  004.55846492 
112  51.55682115  004.55836691  51.55686792  004.55833568 
112  51.55687068  004.55814489  51.55683495  004.55799568 
111  51.55687068  004.55814489 
112  51.55687068  004.55814489  51.55686956  004.55814023 
111  51.55496235  004.55123987 
111  51.55493699  004.55115158 
111  51.55462747  004.55003262 
111  51.55460374  004.54994683 
111  51.55407738  004.54804452 
111  51.55401477  004.54781840 
112  51.55399249  004.54773816  51.55399206  004.54773657 
112  51.55396614  004.54764339  51.55396025  004.54762277 
111  51.55396614  004.54764339 
112  51.55396614  004.54764339  51.55394257  004.54756092 
112  51.55383087  004.54757628  51.55376510  004.54762181 
112  51.55363216  004.54771140  51.55358357  004.54774225 
112  51.55350446  004.54762089  51.55348036  004.54754047 
111  51.55350446  004.54762089 
111  51.55362340  004.54804828 
112  51.55362340  004.54804828  51.55359375  004.54792868 
112  51.55367275  004.54785027  51.55370919  004.54782354 
112  51.55379589  004.54776259  51.55383961  004.54773224 
112  51.55391282  004.54782319  51.55393455  004.54790206 
112  51.55456358  004.55018100  51.55458617  004.55026918 
112  51.55451782  004.55040093  51.55445770  004.55043692 
112  51.55438653  004.55048076  51.55433922  004.55050955 
112  51.55426955  004.55038596  51.55424485  004.55030710 
111  51.55426955  004.55038596 
111  51.55439311  004.55082684 
112  51.55439311  004.55082684  51.55437010  004.55073532 
112  51.55442798  004.55062408  51.55446118  004.55060003 
112  51.55455891  004.55053492  51.55460250  004.55050620 
112  51.55467541  004.55059586  51.55469103  004.55065168 
112  51.55594234  004.55517146  51.55596257  004.55524498 
112  51.55589160  004.55538251  51.55583323  004.55541757 
112  51.55577196  004.55546213  51.55572133  004.55549154 
112  51.55565297  004.55538480  51.55563615  004.55533161 
111  51.55565297  004.55538480 
111  51.55576593  004.55578717 
112  51.55576593  004.55578717  51.55574562  004.55571043 
112  51.55581514  004.55559274  51.55586579  004.55556267 
112  51.55594069  004.55551517  51.55599765  004.55548010 
112  51.55606077  004.55559661  51.55607684  004.55565465 
112  51.55675352  004.55809111  51.55677129  004.55816374 
112  51.55671855  004.55827706  51.55667243  004.55830951 
112  51.55658544  004.55836395  51.55654509  004.55838790 
112  51.55646398  004.55831028  51.55644896  004.55826188 
113  51.55646398  004.55831028 
110   3 0.00   0.00 Grass 1
111  51.55460374  004.54994683 
111  51.55480061  004.54981443 
111  51.55457760  004.54889399 
111  51.55435269  004.54795831 
113  51.55410102  004.54812995 
130 Airport Boundary EHSE
111  51.55442700  004.54706000 
111  51.55431300  004.54639300 
111  51.55286800  004.54698700 
111  51.55297000  004.54779600 
111  51.55270100  004.54803000 
111  51.55482400  004.55540600 
111  51.55532000  004.55641900 
111  51.55638600  004.55989900 
112  51.55638600  004.55989900  51.55643304  004.56001659 
112  51.55659800  004.56003200  51.55668590  004.55997147 
111  51.55659800  004.56003200 
111  51.55746800  004.55939200 
111  51.55614000  004.55428500 
111  51.55577800  004.55200700 
111  51.55556300  004.54931400 
111  51.55505200  004.54938600 
113  51.55469800  004.54701300 
120 White rw25
111  51.55665241  004.55847997  20 
115  51.55634250  004.55868277 
120 White Rw07
111  51.55365694  004.54769652  20 
115  51.55335785  004.54789508 
120 Lining T1 2
112  51.55608781  004.55549369  51.55607317  004.55544113   1 
112  51.55596389  004.55541320  51.55590060  004.55545715   1 
112  51.55571455  004.55558567  51.55566999  004.55561527   1 
112  51.55568563  004.55575721  51.55571296  004.55585669   1 
115  51.55579236  004.55614310 
120 Lining T1 1
112  51.55600647  004.55519901  51.55601992  004.55524814   1 
112  51.55596389  004.55541320  51.55591565  004.55544662   1 
112  51.55571455  004.55558567  51.55566355  004.55561932   1 
112  51.55561386  004.55550365  51.55560079  004.55546159   1 
115  51.55550663  004.55511877 
120 Lining T2 2
112  51.55471291  004.55052271  51.55469454  004.55045145   1 
112  51.55457874  004.55043315  51.55451930  004.55047660   1 
112  51.55434649  004.55059059  51.55432271  004.55060680   1 
112  51.55431181  004.55078598  51.55433558  004.55087984   1 
115  51.55441555  004.55116489 
120 Lining T2 1
112  51.55462519  004.55020361  51.55463521  004.55024075   1 
112  51.55457874  004.55043315  51.55451713  004.55047765   1 
112  51.55434649  004.55059059  51.55431185  004.55061424   1 
112  51.55423606  004.55051744  51.55421856  004.55045579   1 
115  51.55412846  004.55013795 
120 Lining1
111  51.55365334  004.54839106   1 
112  51.55354626  004.54801027  51.55353054  004.54794864   1 
112  51.55358064  004.54783330  51.55363763  004.54778906   1 
112  51.55380661  004.54766423  51.55385672  004.54762631   1 
112  51.55393850  004.54771923  51.55395619  004.54778559   1 
112  51.55682015  004.55814352  51.55683808  004.55821109   1 
112  51.55676618  004.55832323  51.55669180  004.55837589   1 
112  51.55653467  004.55847453  51.55649709  004.55850328   1 
