I
1050 Generated by WorldEditor 2.1.0r1

1    965 0 0 GQNA Aioun El Atrouss
100 30.00 1 0 0.25 0 0 0 04  16.70530156 -009.64181193    0    0 2 0 0 0 22  16.71743729 -009.63373843    0    0 2 0 0 0
110 2 0.00 0.0000 Taxiway 1
111  16.71368397 -009.63793081
111  16.71380171 -009.63784429
112  16.71380171 -009.63784429  16.71387831 -009.63776696
111  16.71384608 -009.63766939
111  16.71355287 -009.63717421
111  16.71334858 -009.63685022
112  16.71334858 -009.63685022  16.71330050 -009.63680002
111  16.71300624 -009.63683014
111  16.71363899 -009.63641246
112  16.71363899 -009.63641246  16.71357744 -009.63650283
111  16.71356999 -009.63672520
111  16.71374308 -009.63704448
111  16.71410249 -009.63764943
111  16.71444483 -009.63746469
111  16.71469697 -009.63785753
113  16.71392747 -009.63837033
130 Airport Boundary 
111  16.71482595 -009.63892758
111  16.71404528 -009.63944331
111  16.71352723 -009.63860052
111  16.71257669 -009.63876718
111  16.71218198 -009.63897063
111  16.71202209 -009.63921060
111  16.70536597 -009.64359742
111  16.70429923 -009.64434011
111  16.70247556 -009.64190143
111  16.71938041 -009.63056069
111  16.72041345 -009.63354128
111  16.71715044 -009.63581047
111  16.71744542 -009.63632881
111  16.71461789 -009.63828944
111  16.71467555 -009.63843712
113  16.71456846 -009.63850001
120 Linear Feature 4
111  16.71343635 -009.63671093 1
116  16.71367258 -009.63625645  16.71384509 -009.63607168
120 Linear Feature 2
111  16.71365834 -009.63709622 1
111  16.71343635 -009.63671093 1
112  16.71298760 -009.63671489  16.71275903 -009.63675956
111  16.71298760 -009.63671489
112  16.71298760 -009.63671489  16.71297360 -009.63672313 1
115  16.71282198 -009.63682110
120 Linear Feature 3
111  16.71374308 -009.63704448 4
115  16.71355287 -009.63717421
14  16.71332448 -009.63835187  82.02 0 New Tower Viewpoint 12
1300  16.71440140 -009.63758117 -146.62 tie_down turboprops|props Ramp 8
1301 A general_aviation 
1300  16.71448117 -009.63772136 -147.72 tie_down turboprops|props Ramp 7
1301 A general_aviation 
1300  16.71456129 -009.63785518 -143.57 tie_down turboprops|props Ramp 6
1301 A general_aviation 
1300  16.71434124 -009.63797143 122.75 tie_down turboprops|props Ramp 5
1301 A general_aviation 
1300  16.71422642 -009.63804728 122.75 tie_down turboprops|props Ramp 4
1301 A general_aviation 
1300  16.71400045 -009.63822520  33.02 tie_down turboprops|props Ramp 3
1301 A general_aviation 
1300  16.71392118 -009.63809247  33.69 tie_down turboprops|props Ramp 2
1301 A general_aviation 
1300  16.71384285 -009.63795577  32.80 tie_down turboprops|props Ramp 1
1301 A general_aviation 
51 11890 Aioun El Atrouss Unicom
99
