I
1050 Generated by WorldEditor 2.1.0r1

1    936 0 0 KRAW Warsaw Muni
100 22.86 2 0 0.25 0 2 0 18  38.35332838 -093.34502069    0    0 2 0 0 1 36  38.34237201 -093.34576532    0    0 2 0 0 1
110 2 0.00 0.0000 Main Taxiway
111  38.34792872 -093.34528571
111  38.34749087 -093.34531547
112  38.34749087 -093.34531547  38.34764009 -093.34522780
111  38.34763241 -093.34508586
111  38.34763780 -093.34508553
111  38.34762287 -093.34472386
111  38.34760976 -093.34440627
111  38.34760338 -093.34440663
112  38.34760338 -093.34440663  38.34759421 -093.34432687
111  38.34753740 -093.34433284
111  38.34753716 -093.34432487
111  38.34694204 -093.34436263
111  38.34692357 -093.34386173
111  38.34691562 -093.34386172
112  38.34691562 -093.34386172  38.34691145 -093.34378443
111  38.34684675 -093.34378785
111  38.34684667 -093.34378050
111  38.34604262 -093.34383429
111  38.34600205 -093.34284898
111  38.34603611 -093.34284676
111  38.34640363 -093.34282278
111  38.34676684 -093.34279909
111  38.34680042 -093.34279690
111  38.34683405 -093.34360010
111  38.34683973 -093.34360030
112  38.34683973 -093.34360030  38.34685160 -093.34367232
111  38.34689525 -093.34368076
111  38.34701597 -093.34368284
111  38.34732123 -093.34366186
111  38.34731656 -093.34351211
111  38.34730859 -093.34351251
111  38.34730055 -093.34328577
111  38.34749958 -093.34327382
111  38.34750842 -093.34350139
111  38.34745857 -093.34350507
111  38.34746450 -093.34365182
111  38.34767254 -093.34363871
111  38.34767500 -093.34369986
111  38.34772913 -093.34369667
111  38.34773043 -093.34373938
111  38.34767830 -093.34374230
111  38.34771735 -093.34471949
111  38.34773176 -093.34508007
111  38.34774029 -093.34507916
114  38.34774029 -093.34507916  38.34775272 -093.34526031
111  38.34676138 -093.34360517
111  38.34647550 -093.34362249
112  38.34647550 -093.34362249  38.34648064 -093.34371328
111  38.34654271 -093.34370488
111  38.34654295 -093.34371139
111  38.34669929 -093.34370163
111  38.34669900 -093.34369437
114  38.34669900 -093.34369437  38.34676818 -093.34368948
111  38.34639519 -093.34363083
111  38.34611117 -093.34364883
112  38.34611117 -093.34364883  38.34611136 -093.34372879
111  38.34617847 -093.34373068
111  38.34617890 -093.34373663
111  38.34633669 -093.34372636
111  38.34633637 -093.34371791
114  38.34633637 -093.34371791  38.34640081 -093.34371222
110 2 0.00 0.0000 18 Turn Around
111  38.35334086 -093.34515116
111  38.35304525 -093.34516868
111  38.35303595 -093.34491569
112  38.35303595 -093.34491569  38.35322018 -093.34488157
111  38.35321730 -093.34470519
111  38.35322432 -093.34470464
111  38.35321871 -093.34453827
111  38.35321168 -093.34453827
111  38.35308739 -093.34439516
111  38.35308577 -093.34435504
111  38.35307593 -093.34411037
111  38.35329583 -093.34409897
113  38.35330596 -093.34433545
110 2 0.00 0.0000 36 Turn Around
111  38.34237221 -093.34589618
111  38.34233923 -093.34508131
111  38.34232948 -093.34484050
111  38.34254900 -093.34482814
111  38.34255875 -093.34506544
111  38.34256048 -093.34510752
111  38.34247059 -093.34523851
111  38.34244093 -093.34524025
111  38.34244829 -093.34543914
111  38.34245539 -093.34543860
112  38.34245539 -093.34543860  38.34246754 -093.34562414
111  38.34263205 -093.34562595
113  38.34264409 -093.34587775
130 Airport Boundary
111  38.34045726 -093.34455342
111  38.34061162 -093.34439933
111  38.34116705 -093.34434839
111  38.34116495 -093.34410779
111  38.34399120 -093.34390318
111  38.34396511 -093.34265585
111  38.34544116 -093.34256977
111  38.34757925 -093.34224156
111  38.34760716 -093.34254483
111  38.34801367 -093.34250924
111  38.34823767 -093.34205103
111  38.34849104 -093.34190992
111  38.34889149 -093.34188764
111  38.34890022 -093.34201576
111  38.35122171 -093.34185344
111  38.35125190 -093.34341279
111  38.35487522 -093.34296776
111  38.35655020 -093.34304389
111  38.35669832 -093.34666270
111  38.34779351 -093.34727521
111  38.34778947 -093.34710630
113  38.34050407 -093.34761179
120 HS-18
111  38.35308577 -093.34435504 54
115  38.35330596 -093.34433545
120 HS-Mid
111  38.34762287 -093.34472386 54
115  38.34771735 -093.34471949
120 HS-36
111  38.34233923 -093.34508131 54
115  38.34255875 -093.34506544
120 Linear Feature 22
112  38.34243896 -093.34562904  38.34241074 -093.34557537 51
111  38.34240510 -093.34550987 51
115  38.34238794 -093.34510033
120 Linear Feature 18
112  38.35323847 -093.34489531  38.35327448 -093.34483226 51
111  38.35327456 -093.34474541 51
115  38.35325906 -093.34436260
120 Linear Feature 17
111  38.34743043 -093.34396372 1
115  38.34742766 -093.34390138
120 Linear Feature 17
111  38.34730630 -093.34397171 1
115  38.34730353 -093.34390938
120 Linear Feature 17
111  38.34718267 -093.34397944 1
115  38.34717990 -093.34391711
120 Linear Feature 16
111  38.34746361 -093.34396163 1
111  38.34743043 -093.34396372 1
115  38.34739436 -093.34396598
120 Linear Feature 16
111  38.34733949 -093.34396963 1
111  38.34730630 -093.34397171 1
115  38.34727024 -093.34397398
120 Linear Feature 16
111  38.34721586 -093.34397736 1
111  38.34718267 -093.34397944 1
115  38.34714661 -093.34398171
120 Linear Feature 15
111  38.34711988 -093.34386326 1
115  38.34712198 -093.34392369
120 Linear Feature 15
111  38.34724796 -093.34385716 1
115  38.34725006 -093.34391759
120 Linear Feature 15
111  38.34736490 -093.34385044 1
115  38.34736701 -093.34391088
120 Linear Feature 15
111  38.34748656 -093.34384179 1
115  38.34748867 -093.34390222
120 Linear Feature 15
111  38.34700532 -093.34428800 1
115  38.34700743 -093.34434844
120 Linear Feature 15
111  38.34713374 -093.34427919 1
115  38.34713584 -093.34433963
120 Linear Feature 15
111  38.34725728 -093.34427038 1
115  38.34725938 -093.34433082
120 Linear Feature 15
111  38.34750397 -093.34425585 1
115  38.34750608 -093.34431629
120 Linear Feature 15
111  38.34737904 -093.34426335 1
115  38.34738115 -093.34432378
120 Linear Feature 14
111  38.34715066 -093.34386146 1
111  38.34711988 -093.34386326 1
115  38.34708629 -093.34386522
120 Linear Feature 14
111  38.34727874 -093.34385536 1
111  38.34724796 -093.34385716 1
115  38.34721437 -093.34385912
120 Linear Feature 14
111  38.34739568 -093.34384864 1
111  38.34736490 -093.34385044 1
115  38.34733131 -093.34385240
120 Linear Feature 14
111  38.34751734 -093.34383999 1
111  38.34748656 -093.34384179 1
115  38.34745297 -093.34384375
120 Linear Feature 14
111  38.34703610 -093.34428620 1
111  38.34700532 -093.34428800 1
115  38.34697173 -093.34428996
120 Linear Feature 14
111  38.34716452 -093.34427740 1
111  38.34713374 -093.34427919 1
115  38.34710015 -093.34428115
120 Linear Feature 14
111  38.34728806 -093.34426859 1
111  38.34725728 -093.34427038 1
115  38.34722369 -093.34427234
120 Linear Feature 14
111  38.34753475 -093.34425406 1
111  38.34750397 -093.34425585 1
115  38.34747038 -093.34425781
120 Linear Feature 14
111  38.34740982 -093.34426155 1
111  38.34737904 -093.34426335 1
115  38.34734545 -093.34426531
120 Linear Feature 13
112  38.34643883 -093.34366092  38.34643036 -093.34373684 51
115  38.34637462 -093.34376748
120 Linear Feature 12
111  38.34651051 -093.34375792 51
111  38.34637462 -093.34376748 51
111  38.34616089 -093.34378288
112  38.34616089 -093.34378288  38.34608979 -093.34377099 51
