I
1050 Generated by WorldEditor

1      8 1 0 MYE2 Blackpoint
100 22.86 1 0 0.25 0 2 0 12  24.09033959 -076.40174206    0    0 2 0 0 0 30  24.08824231 -076.39419999    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 20
111  24.09172404 -076.40101086
111  24.09161872 -076.40102047
111  24.09160293 -076.40100189
111  24.09160293 -076.40099099
111  24.09155670 -076.40098907
111  24.09155612 -076.40095254
111  24.09159532 -076.40095190
111  24.09159532 -076.40093844
111  24.09161521 -076.40091793
111  24.09163920 -076.40091473
111  24.09163745 -076.40088460
111  24.09167840 -076.40088653
111  24.09167899 -076.40090896
113  24.09171760 -076.40091152
110 2 0.00 0.0000 New Taxiway 19
111  24.09143384 -076.40073976
111  24.09136480 -076.40076796
111  24.09134198 -076.40069490
113  24.09140693 -076.40066862
110 2 0.00 0.0000 New Taxiway 21
111  24.09136657 -076.40139842
111  24.09140920 -076.40138326
111  24.09146144 -076.40136668
111  24.09150292 -076.40135392
111  24.09153725 -076.40148634
113  24.09139800 -076.40152713
110 1 0.00 0.0000 Ramp
111  24.09027465 -076.40114747
112  24.09030885 -076.40115769  24.09033476 -076.40115315
111  24.09084368 -076.40098965
111  24.09071827 -076.40062065
111  24.09125103 -076.40043899
111  24.09136504 -076.40081821
111  24.09146765 -076.40079437
111  24.09153917 -076.40101577
111  24.09144071 -076.40106913
111  24.09151222 -076.40130189
111  24.09144382 -076.40133141
111  24.09146144 -076.40136668
111  24.09140920 -076.40138326
111  24.09139717 -076.40135071
111  24.09098050 -076.40150966
111  24.09088514 -076.40113044
111  24.09034720 -076.40130756
112  24.09032751 -076.40133595  24.09032336 -076.40135979
113  24.09032751 -076.40133595
110 1 0.00 0.0000 New Taxiway 17
111  24.08834224 -076.39418522
111  24.08843428 -076.39414412
111  24.08850507 -076.39435583
112  24.08842720 -076.39449153  24.08842507 -076.39458459
113  24.08842720 -076.39449153
110 1 0.00 0.0000 New Taxiway 16
111  24.09024223 -076.40177348
111  24.09015058 -076.40180334
111  24.09010655 -076.40162354
112  24.09016779 -076.40150588  24.09021868 -076.40147182
113  24.09016779 -076.40150588
130 Airport Boundary
111  24.09032122 -076.40347025
111  24.08772794 -076.39368012
111  24.08847711 -076.39342189
111  24.09042600 -076.40056649
111  24.09174621 -076.40017051
113  24.09228582 -076.40262095
1300  24.09115545 -076.40059747 289.37 tie_down props GA 05
1301 A general_aviation 
1300  24.09100101 -076.40064289 288.82 tie_down props GA 04
1301 A general_aviation 
1300  24.09085694 -076.40068944 288.78 tie_down props GA 03
1301 A general_aviation 
1300  24.09106320 -076.40136500 110.75 tie_down props GA 02
1301 A general_aviation 
1300  24.09122075 -076.40130482 108.67 tie_down props GA 01
1301 A general_aviation 
1300  24.09143497 -076.40139409 111.66 hangar props Hangar 01
1301 A none 
18  24.08979551 -076.39847321 1 BCN
19  24.09085982 -076.40174120 1 WS
51 12280 UNICOM
99
