I
1050 Generated by WorldEditor 2.2.0r2

1   5871 0 0 M45 Alpine County
1302 city 
1302 country 
1302 datum_lat 38.73475
1302 datum_lon -119.767055556
1302 faa_code 
1302 iata_code 
1302 icao_code 
1302 region_code K2
1302 state 
1302 transition_alt 18000
1302 transition_level 18000
100 15.24 1 0 0.00 0 0 1 17  38.74083978 -119.76655462    0    0 1 0 0 0 35  38.72867929 -119.76758585    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 51
111  38.73053993 -119.76750118
112  38.73049971 -119.76761084  38.73049567 -119.76767652
111  38.73049971 -119.76761084
111  38.73051208 -119.76776319
112  38.73051208 -119.76776319  38.73051735 -119.76779815
112  38.73053510 -119.76784258  38.73054457 -119.76786136
111  38.73053510 -119.76784258
112  38.73053510 -119.76784258  38.73056383 -119.76789957
111  38.73060350 -119.76789349
111  38.73111709 -119.76785833
111  38.73111978 -119.76790727
111  38.73112570 -119.76804033
111  38.73120503 -119.76840226
111  38.73115465 -119.76842252
111  38.73109666 -119.76813064
112  38.73109666 -119.76813064  38.73108688 -119.76808335
111  38.73104610 -119.76809134
111  38.73101206 -119.76809450
111  38.73088926 -119.76810589
111  38.73076585 -119.76811733
111  38.73064333 -119.76812869
111  38.73051946 -119.76814018
111  38.73039623 -119.76815160
111  38.73027388 -119.76816295
111  38.73015054 -119.76817466
111  38.73002863 -119.76818600
111  38.72990425 -119.76819757
111  38.72984051 -119.76820350
111  38.72982936 -119.76803858
111  38.72982407 -119.76796022
111  38.73038719 -119.76791009
112  38.73044220 -119.76784760  38.73046214 -119.76779269
111  38.73044220 -119.76784760
112  38.73044220 -119.76784760  38.73044992 -119.76782635
112  38.73045564 -119.76776024  38.73045591 -119.76772249
111  38.73045564 -119.76776024
111  38.73044371 -119.76762680
112  38.73044371 -119.76762680  38.73042865 -119.76757510
113  38.73031786 -119.76752437
130 Airport Boundary 70
111  38.72847391 -119.76761164
111  38.72851345 -119.76720302
111  38.73158756 -119.76702878
111  38.73224402 -119.76707051
111  38.74086339 -119.76643058
111  38.74087908 -119.76677219
111  38.73243516 -119.76747553
111  38.73134539 -119.76851773
111  38.73111557 -119.76857159
111  38.73104391 -119.76818513
111  38.72987752 -119.76826115
113  38.72859994 -119.76786836
120 Linear Feature 69
111  38.73053510 -119.76784258 4
115  38.73044220 -119.76784760
120 Linear Feature 57
111  38.73104067 -119.76805749 1
111  38.73101173 -119.76805974 1
115  38.73097907 -119.76806199
120 Linear Feature 57
111  38.73091711 -119.76807002 1
111  38.73088817 -119.76807227 1
115  38.73085551 -119.76807453
120 Linear Feature 57
111  38.73079355 -119.76808199 1
111  38.73076461 -119.76808424 1
115  38.73073195 -119.76808649
120 Linear Feature 57
111  38.73067108 -119.76809338 1
111  38.73064214 -119.76809563 1
115  38.73060948 -119.76809788
120 Linear Feature 57
