I
1050 Generated by WorldEditor

1    664 0 0 6Y8 Welke
100 9.14 1 0 0.25 0 1 0 09  45.72036025 -085.52554383    0    0 1 0 0 0 27  45.72049799 -085.51577225   74    0 1 0 0 0
100 42.67 4 0 0.25 0 0 0 17  45.72666821 -085.51993188    0    0 1 0 0 0 35  45.71714455 -085.51819079    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 31
111  45.72383292 -085.51822721
111  45.72382552 -085.51805607
111  45.72398347 -085.51803906
111  45.72399423 -085.51820754
113  45.72394174 -085.51821394
110 2 0.00 0.0000 New Taxiway 27
111  45.71929809 -085.51508486
111  45.71904451 -085.51507457
111  45.71904668 -085.51500007
111  45.71895949 -085.51499675
111  45.71896569 -085.51474365
113  45.71929809 -085.51475972
110 2 0.00 0.0000 New Taxiway 26
111  45.71998186 -085.51553680
111  45.71984429 -085.51553580
111  45.71985127 -085.51535076
113  45.71998535 -085.51535277
110 2 0.00 0.0000 New Taxiway 30
111  45.71879402 -085.51469397
111  45.71864663 -085.51470034
111  45.71864408 -085.51450645
113  45.71879254 -085.51450543
110 2 0.00 0.0000 New Taxiway 29
111  45.71889743 -085.51436368
111  45.71866238 -085.51437334
111  45.71865574 -085.51396259
113  45.71888843 -085.51395292
110 2 0.00 0.0000 New Taxiway 28
111  45.71930568 -085.51437012
111  45.71916397 -085.51435401
111  45.71917409 -085.51418166
113  45.71931130 -085.51420260
110 2 0.00 0.0000 New Taxiway 24
111  45.71963710 -085.51611542
111  45.71954403 -085.51610936
111  45.71954198 -085.51616011
111  45.71947207 -085.51615289
111  45.71948606 -085.51591687
111  45.71955221 -085.51592631
111  45.71954787 -085.51601539
113  45.71964193 -085.51602822
110 2 0.00 0.0000 New Taxiway 23
111  45.71998521 -085.51613825
111  45.71987529 -085.51612986
111  45.71987423 -085.51619221
111  45.71979053 -085.51618976
111  45.71979659 -085.51602612
113  45.71998945 -085.51603525
110 2 0.00 0.0000 New Taxiway 22
111  45.71996233 -085.51655516
111  45.71986353 -085.51654873
111  45.71986503 -085.51645653
111  45.71981413 -085.51645010
111  45.71982162 -085.51628287
113  45.71996382 -085.51628501
110 2 0.00 0.0000 New Taxiway 21
111  45.71954875 -085.51794643
111  45.71942199 -085.51794129
111  45.71942843 -085.51771030
113  45.71955333 -085.51772085
110 2 0.00 0.0000 New Taxiway 20
111  45.71969755 -085.52003435
111  45.71951410 -085.52003319
111  45.71951635 -085.51983161
113  45.71969574 -085.51983827
110 2 0.00 0.0000 New Taxiway 19
111  45.71967343 -085.52031619
111  45.71951356 -085.52031439
111  45.71951278 -085.52011167
113  45.71967343 -085.52012050
110 2 0.00 0.0000 New Taxiway 18
111  45.71968551 -085.52081276
111  45.71950241 -085.52081276
111  45.71950613 -085.52060774
113  45.71968563 -085.52061508
110 2 0.00 0.0000 New Taxiway 17
111  45.71970029 -085.52109919
111  45.71949311 -085.52109499
111  45.71949683 -085.52088198
113  45.71969945 -085.52088598
110 2 0.00 0.0000 New Taxiway 16
111  45.71972372 -085.52153096
111  45.71956282 -085.52153031
111  45.71956282 -085.52134793
113  45.71972312 -085.52135110
110 2 0.00 0.0000 New Taxiway 15
111  45.71971804 -085.52185647
111  45.71956003 -085.52185381
111  45.71956189 -085.52167009
113  45.71971897 -085.52167941
110 2 0.00 0.0000 New Taxiway 14
111  45.71964090 -085.52226118
111  45.71948289 -085.52225452
111  45.71948939 -085.52205749
113  45.71964276 -085.52206415
110 2 0.00 0.0000 New Taxiway 13
111  45.71971339 -085.52270982
111  45.71956003 -085.52270316
111  45.71955818 -085.52250613
113  45.71971154 -085.52250746
110 2 0.00 0.0000 New Taxiway 12
111  45.71972083 -085.52314914
111  45.71948010 -085.52314115
111  45.71948754 -085.52293746
111  45.71972270 -085.52294378
113  45.71972248 -085.52296802
110 2 0.00 0.0000 New Taxiway 11
111  45.71971968 -085.52343403
111  45.71961766 -085.52343669
111  45.71961301 -085.52324765
113  45.71971689 -085.52325264
110 2 0.00 0.0000 New Taxiway 10
111  45.71971339 -085.52382941
111  45.71946895 -085.52383873
111  45.71946988 -085.52362972
113  45.71971339 -085.52363106
110 2 0.00 0.0000 New Taxiway 9
111  45.71971897 -085.52422613
111  45.71955911 -085.52423013
111  45.71956096 -085.52403044
113  45.71971618 -085.52403044
110 3 0.00 0.0000 New Taxiway 8
111  45.72412310 -085.51923130
111  45.72370889 -085.51917479
111  45.72363272 -085.51799533
111  45.72382258 -085.51798814
111  45.72382552 -085.51805607
111  45.72383292 -085.51822721
113  45.72394174 -085.51821394
110 4 0.00 0.0000 New Taxiway 5
111  45.71980380 -085.52205565
111  45.71980266 -085.52185561
111  45.71971804 -085.52185647
111  45.71971897 -085.52167941
111  45.71979935 -085.52167557
111  45.71979763 -085.52152849
111  45.71972372 -085.52153096
111  45.71972312 -085.52135110
111  45.71979522 -085.52135056
111  45.71979214 -085.52109675
111  45.71970029 -085.52109919
111  45.71969945 -085.52088598
111  45.71979042 -085.52088319
111  45.71979073 -085.52080591
111  45.71968551 -085.52081276
111  45.71968563 -085.52061508
111  45.71977949 -085.52061471
111  45.71977625 -085.52031490
111  45.71967343 -085.52031619
111  45.71967343 -085.52012050
111  45.71978561 -085.52012087
111  45.71978584 -085.52003005
111  45.71969755 -085.52003435
111  45.71969574 -085.51983827
111  45.71969686 -085.51978909
111  45.71981913 -085.51978614
111  45.71982227 -085.52019653
112  45.71991720 -085.52003668  45.71995184 -085.51999190
112  45.72005900 -085.51970883  45.72008699 -085.51954846
111  45.72006155 -085.51896215
111  45.72009606 -085.51898011
112  45.72008749 -085.51971959  45.72006186 -085.51991021
111  45.72008749 -085.51971959
112  45.72008749 -085.51971959  45.72004962 -085.51990826
112  45.71993490 -085.52007281  45.71988590 -085.52013453
111  45.71981941 -085.52033101
111  45.71984798 -085.52189810
111  45.71991644 -085.52305402
111  45.71986230 -085.52297961
111  45.71984239 -085.52269888
111  45.71971339 -085.52270982
111  45.71971154 -085.52250746
111  45.71984292 -085.52250190
111  45.71982872 -085.52225616
111  45.71964090 -085.52226118
113  45.71964276 -085.52206415
110 4 0.00 0.0000 New Taxiway 4
111  45.71996943 -085.52422092
111  45.71971897 -085.52422613
111  45.71971618 -085.52403044
111  45.71991522 -085.52402080
111  45.71990499 -085.52380923
111  45.71971339 -085.52382941
111  45.71971339 -085.52363106
111  45.71989294 -085.52361421
111  45.71988249 -085.52342719
111  45.71971968 -085.52343403
111  45.71971689 -085.52325264
111  45.71987392 -085.52326203
111  45.71986769 -085.52314915
113  45.71991867 -085.52314915
110 1 0.00 0.0000 New Taxiway 3
111  45.72035900 -085.52321740
112  45.72030185 -085.52314919  45.72027391 -085.52314519
111  45.71991867 -085.52314915
111  45.71986769 -085.52314915
111  45.71972083 -085.52314914
111  45.71972248 -085.52296802
