I
1050 Generated by WorldEditor 2.2.0r2

1   3703 0 0 2E5 Dell City Muni
1302 gui_label 2D
100 18.29 1 0 0.25 0 2 0 08  31.94763076 -105.19933517    0    0 1 0 0 0 26  31.94761700 -105.18420500  125    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 5
111  31.94754242 -105.19025492
111  31.94753756 -105.19025487
112  31.94753756 -105.19025487  31.94753043 -105.19021375
112  31.94744524 -105.19016604  31.94741416 -105.19016291
111  31.94744524 -105.19016604
111  31.94744696 -105.19008391
112  31.94744696 -105.19008391  31.94748591 -105.19007927
112  31.94753761 -105.19000032  31.94754443 -105.18996050
111  31.94753761 -105.19000032
113  31.94754295 -105.19000061
110 2 0.00 0.0000 New Taxiway 4
111  31.94699620 -105.19851495
111  31.94701538 -105.19157137
111  31.94708137 -105.19157677
113  31.94707691 -105.19851576
110 2 0.00 0.0000 New Taxiway 4
111  31.94701652 -105.19148625
111  31.94701860 -105.19048710
111  31.94663041 -105.19049177
111  31.94663113 -105.18984749
111  31.94701018 -105.18985216
111  31.94701527 -105.18446032
111  31.94745288 -105.18446374
112  31.94745288 -105.18446374  31.94744814 -105.18449567
112  31.94744257 -105.18455920  31.94744043 -105.18459087
111  31.94744257 -105.18455920
111  31.94708458 -105.18455873
111  31.94708175 -105.19000000
112  31.94708175 -105.19000000  31.94708395 -105.19003244
112  31.94713191 -105.19006692  31.94715539 -105.19007126
111  31.94713191 -105.19006692
111  31.94744696 -105.19008391
111  31.94744524 -105.19016604
111  31.94712922 -105.19015251
112  31.94712922 -105.19015251  31.94710941 -105.19015251
112  31.94708165 -105.19019920  31.94707795 -105.19023466
111  31.94708165 -105.19019920
113  31.94708100 -105.19149129
110 1 0.00 0.0000 New Taxiway 3
111  31.94754236 -105.19173159
112  31.94754236 -105.19173159  31.94753758 -105.19167968
112  31.94747303 -105.19160883  31.94743694 -105.19160070
111  31.94747303 -105.19160883
111  31.94728240 -105.19159322
111  31.94708137 -105.19157677
111  31.94701538 -105.19157137
111  31.94699428 -105.19156964
111  31.94699404 -105.19214874
111  31.94668803 -105.19214517
111  31.94668755 -105.19191706
111  31.94663366 -105.19192014
111  31.94663359 -105.19127807
111  31.94699378 -105.19127687
111  31.94699384 -105.19148448
111  31.94701652 -105.19148625
111  31.94708100 -105.19149129
111  31.94728615 -105.19150733
111  31.94747561 -105.19152214
112  31.94747561 -105.19152214  31.94750161 -105.19151401
112  31.94754248 -105.19142017  31.94755628 -105.19136889
113  31.94754248 -105.19142017
110 1 0.00 0.0000 New Taxiway 2
111  31.94751727 -105.18504681
112  31.94751727 -105.18504681  31.94745726 -105.18489701
112  31.94744257 -105.18455920  31.94745413 -105.18438788
111  31.94744257 -105.18455920
112  31.94744257 -105.18455920  31.94744471 -105.18452752
112  31.94745288 -105.18446374  31.94745763 -105.18443181
