I
1000 Generated by WorldEditor 2.2.0r2

1    651 0 0 95TX Chupadera Ranch
1302 gui_label 2D
100 12.80 1 0 0.00 0 0 0 13  28.19617033 -100.07684123    0    0 1 0 0 0 31  28.18886000 -100.06802100    0    0 1 0 0 0
110 2 0.00 0.0000 Taxiway 4
111  28.18883375 -100.06962353
111  28.18940638 -100.06901809
111  28.18946635 -100.06909067
111  28.18962258 -100.06927976
111  28.18968829 -100.06935929
113  28.18911365 -100.06996404
110 1 0.00 0.0000 Taxiway 3
111  28.18986572 -100.06932632
111  28.18974224 -100.06942458
111  28.18968829 -100.06935929
111  28.18962258 -100.06927976
111  28.18946635 -100.06909067
111  28.18940638 -100.06901809
111  28.18934395 -100.06894253
113  28.18945113 -100.06882530
110 1 0.00 0.0000 Taxiway 2
111  28.18901244 -100.06786133
111  28.18871018 -100.06818091
111  28.18852411 -100.06795132
113  28.18882294 -100.06763222
110 1 0.00 0.0000 Taxiway 1
111  28.19545707 -100.07588764
111  28.19549980 -100.07584373
111  28.19624904 -100.07675347
111  28.19632377 -100.07667462
111  28.19651016 -100.07690414
111  28.19620736 -100.07723318
111  28.19601979 -100.07699536
111  28.19609556 -100.07691411
113  28.19534378 -100.07600809
130 Airport Boundary
111  28.19620748 -100.07739522
111  28.18970130 -100.06955730
111  28.18950483 -100.06959400
111  28.18911181 -100.07002034
111  28.18878182 -100.06962640
111  28.18918320 -100.06920717
111  28.18923417 -100.06899032
111  28.18827850 -100.06782658
111  28.18878182 -100.06738205
113  28.19666421 -100.07690267
120 Linear Feature 6
111  28.18946635 -100.06909067 20
111  28.18948129 -100.06907534
112  28.18948129 -100.06907534  28.18952272 -100.06902777 20
116  28.18951354 -100.06890480  28.18949494 -100.06885526
120 Linear Feature 5
111  28.18962258 -100.06927976 20
111  28.18963547 -100.06926606
112  28.18963547 -100.06926606  28.18966645 -100.06923780 20
116  28.18979577 -100.06924518  28.18983763 -100.06927435
1300  28.18923368 -100.06950637  42.83 hangar props Hangar 01
99
