I
1050 Generated by WorldEditor 2.1.0r1

1    203 1 0 LFBM Mont de Marsan
1302 city Mont-de-Marsan
1302 country France
1302 datum_lat 43.9113889
1302 datum_lon -000.5094444
1302 icao_code LFBM
1302 region_code LF
1302 state Aquitaine
1302 transition_alt 5000
1302 flatten 1
100 45.00 2 0 0.25 0 2 1 09  43.91071670 -000.53177780    0  295 3 9 0 1 27  43.91229170 -000.48696390  123  299 3 2 0 1
102 H1  43.91009379 -000.50888127 357.00 53.10 53.10 2 0 0 0.25 0
110 2 0.00 153.0000 New Taxiway 68
111  43.90965151 -000.53017225
111  43.90961147 -000.53015990
111  43.90961193 -000.53014139
111  43.90962511 -000.52960886
111  43.90963149 -000.52935096
113  43.90967183 -000.52934938
110 2 0.00 153.0000 New Taxiway 85
111  43.90916754 -000.50160648
111  43.90927132 -000.50155847
111  43.90938339 -000.50152397
111  43.90937087 -000.50187546
111  43.90934365 -000.50189102
111  43.90931161 -000.50238232
111  43.90926209 -000.50237795
111  43.90923153 -000.50239343
111  43.90921712 -000.50253126
111  43.90899930 -000.50251348
111  43.90899610 -000.50258906
111  43.90882793 -000.50258239
111  43.90883312 -000.50219229
111  43.90901532 -000.50218268
111  43.90908451 -000.50214747
111  43.90914217 -000.50209305
111  43.90916523 -000.50192019
111  43.90913986 -000.50169291
113  43.90916292 -000.50168331
110 2 0.00 153.0000 New Taxiway 84
111  43.90847249 -000.51209880
111  43.90813485 -000.51206807
111  43.90815102 -000.51168672
113  43.90848866 -000.51171745
110 2 0.00 153.0000 New Taxiway 84
111  43.90844748 -000.51268841
111  43.90810984 -000.51265768
111  43.90812568 -000.51228408
113  43.90846332 -000.51231481
110 2 0.00 153.0000 New Taxiway 94
111  43.90869382 -000.50841233
111  43.90856569 -000.50840344
111  43.90857281 -000.50819593
113  43.90870094 -000.50820482
110 2 0.00 153.0000 New Taxiway 93
111  43.90878789 -000.50751971
111  43.90867207 -000.50759167
111  43.90864644 -000.50759390
111  43.90865811 -000.50727175
111  43.90847873 -000.50726064
111  43.90848903 -000.50697606
111  43.90866841 -000.50698717
111  43.90867839 -000.50671141
111  43.90850222 -000.50669808
111  43.90851203 -000.50642688
111  43.90868821 -000.50644021
111  43.90869665 -000.50620693
111  43.90850126 -000.50618692
111  43.90850440 -000.50610016
111  43.90869980 -000.50612017
111  43.90870125 -000.50608004
111  43.90853468 -000.50606225
111  43.90854193 -000.50586221
111  43.90870849 -000.50587999
111  43.90871050 -000.50582443
113  43.90885036 -000.50583467
110 2 0.00 153.0000 New Taxiway 67
111  43.90936211 -000.50925038
111  43.90918413 -000.50916561
