I
1100 Generated by WorldEditor 2.2.0r2

1    779 1 0 EG19 Fadmoor
1302 flatten 1
1302 drive_on_left 1
100 18.00 3 0 0.00 0 0 1 02  54.30415578 -000.97744767    0    0 0 0 0 0 20  54.30988629 -000.97476506    0    0 0 0 0 0
100 20.00 3 0 0.00 0 0 0 14  54.31030211 -000.97561789    0    0 0 0 0 0 32  54.30744228 -000.97030676    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 1
111  54.30805071 -000.97124616
111  54.30854374 -000.97142442
111  54.30858804 -000.97157296
111  54.30873055 -000.97162578
111  54.30883263 -000.97149043
111  54.30894240 -000.97153665
111  54.30900018 -000.97169840
111  54.30914270 -000.97174792
111  54.30926403 -000.97162908
111  54.30950477 -000.97169510
111  54.30953558 -000.97163568
112  54.30965081 -000.97143101  54.30967328 -000.97133198
111  54.30963958 -000.97123625
111  54.30955291 -000.97121974
111  54.30958783 -000.97101868
111  54.30972395 -000.97074926
112  54.30986106 -000.97078400  54.30991081 -000.97078400
111  54.31004595 -000.97075759
111  54.31025202 -000.97109430
112  54.31018846 -000.97125606  54.31014192 -000.97129732
111  54.31003054 -000.97127916
111  54.30989573 -000.97129897
111  54.30983217 -000.97135179
112  54.30976091 -000.97150364  54.30973844 -000.97157516
111  54.30972047 -000.97167199
112  54.30994965 -000.97170831  54.31003953 -000.97169180
111  54.31022313 -000.97158287
111  54.31060253 -000.97136499
112  54.31059675 -000.97155646  54.31056947 -000.97165274
111  54.31049083 -000.97170501
111  54.31026357 -000.97191628
111  54.31032905 -000.97202191
112  54.30959721 -000.97219686  54.30941104 -000.97211709
111  54.30959721 -000.97219686
112  54.30959721 -000.97219686  54.30959240 -000.97219686
113  54.30834152 -000.97180733
110 2 0.00 0.0000 New Taxiway 1
111  54.30958783 -000.97101868
111  54.30939013 -000.97071315
111  54.30953273 -000.97043817
113  54.30972395 -000.97074926
130 Airport Boundary 2
111  54.30966198 -000.97469810
111  54.30737308 -000.97043985
111  54.30735567 -000.97037773
111  54.30751652 -000.97018760
111  54.30798798 -000.97000697
111  54.30793807 -000.96938903
111  54.30814606 -000.96900401
111  54.30871459 -000.96906578
111  54.30922488 -000.96939377
111  54.30957709 -000.96988336
111  54.30988492 -000.97026839
111  54.31028151 -000.97092437
111  54.31059897 -000.97133977
111  54.31068756 -000.97162037
111  54.31095141 -000.97281207
111  54.31096489 -000.97328743
111  54.31034475 -000.97205611
111  54.31002505 -000.97218816
111  54.30964180 -000.97224758
111  54.30842463 -000.97185476
111  54.31027735 -000.97529777
111  54.31042949 -000.97508650
111  54.31065290 -000.97489504
111  54.31075112 -000.97517563
111  54.31061053 -000.97530768
111  54.31042757 -000.97548264
111  54.31014446 -000.97592497
111  54.30968802 -000.97506999
111  54.30416206 -000.97761578
111  54.30410236 -000.97753657
113  54.30407925 -000.97732203
120 Linear Feature 7
111  54.30975241 -000.97139699 20
112  54.30977009 -000.97112691  54.30974225 -000.97099904 20
115  54.30965924 -000.97088092
120 Linear Feature 6
112  54.30952973 -000.97181494  54.30953084 -000.97181112 20
111  54.30975241 -000.97139699 20
115  54.30992276 -000.97108591
14  54.30997649 -000.97179391   9.84 0 Tower View
1300  54.30961924 -000.97080820 317.07 hangar props Hangar
1301 A none 
1300  54.30982252 -000.97196810 175.85 tie_down props Grass Parking 1
1301 A general_aviation 
19  54.31046419 -000.97523270 1 WS
54 12322 Fadmoor Radio
51 13547 Safetycom
99
