I
1050 Generated by WorldEditor 2.2.0r2

1     23 1 0 NZAA Auckland Intl
1302 city Auckland
1302 country New Zealand
1302 datum_lat -37.008055556
1302 datum_lon 174.791666667
1302 faa_code 
1302 iata_code AKL
1302 icao_code NZAA
1302 region_code NZ
1302 state North Island
1302 transition_alt 13000
1302 transition_level 15000
100 46.02 2 0 0.25 1 3 1 05R -37.01744306  174.76671404  381    0 3 1 0 1 23L -37.00665295  174.80576229    0   40 3 1 1 1
110 3 0.00 0.0000 New Taxiway 617
111 -37.00484570  174.79418123
111 -37.00454514  174.79526028
111 -37.00441032  174.79520362
111 -37.00446191  174.79501523
111 -37.00455379  174.79467970
111 -37.00464776  174.79433655
113 -37.00470579  174.79412462
110 1 0.00 250.9600 New Taxiway 616
111 -37.00418599  174.79390526
111 -37.00416246  174.79389479
111 -37.00397670  174.79381654
111 -37.00398733  174.79377594
111 -37.00399056  174.79376359
111 -37.00431186  174.79389936
111 -37.00430843  174.79391288
111 -37.00432460  174.79392037
111 -37.00431386  174.79396213
111 -37.00426381  174.79414328
112 -37.00410242  174.79421574 -37.00399122  174.79418603
113 -37.00410242  174.79421574
110 1 0.00 250.9600 New Taxiway 616
111 -37.00407656  174.79431425
112 -37.00407656  174.79431425 -37.00418400  174.79436541
111 -37.00416756  174.79449144
111 -37.00414957  174.79455617
112 -37.00398859  174.79463238 -37.00387445  174.79460727
113 -37.00398859  174.79463238
110 1 0.00 0.0000 New Taxiway 616
111 -37.00396213  174.79472850
112 -37.00396213  174.79472850 -37.00406957  174.79477966
111 -37.00405313  174.79490569
111 -37.00403514  174.79496965
112 -37.00387508  174.79504548 -37.00376094  174.79502037
113 -37.00387508  174.79504548
110 1 0.00 0.0000 New Taxiway 116
111 -37.00458362  174.80218052
111 -37.00453216  174.80215720
111 -37.00451460  174.80222016
111 -37.00441153  174.80217734
111 -37.00439403  174.80224018
111 -37.00408780  174.80210840
111 -37.00421071  174.80166266
111 -37.00451799  174.80179536
111 -37.00450041  174.80185820
111 -37.00460229  174.80190153
111 -37.00458530  174.80196640
113 -37.00463637  174.80198770
111 -37.00427025  174.80172316
111 -37.00416512  174.80210634
111 -37.00426981  174.80215505
112 -37.00426981  174.80215505 -37.00430732  174.80216839
111 -37.00434662  174.80216279
111 -37.00446184  174.80213274
112 -37.00446184  174.80213274 -37.00457083  174.80206030
111 -37.00451602  174.80193478
111 -37.00444123  174.80181577
113 -37.00437711  174.80176856
110 1 0.00 0.0000 New Taxiway 93
111 -37.00565028  174.78131828
111 -37.00588921  174.78193643
111 -37.00585940  174.78191554
111 -37.00585537  174.78192218
111 -37.00584656  174.78193667
111 -37.00582080  174.78192002 20
113 -37.00556802  174.78127947
110 2 0.00 0.0000 New Taxiway 72
111 -37.00237514  174.80369181
111 -37.00237600  174.80372590
111 -37.00240113  174.80472743
111 -37.00241428  174.80474060
111 -37.00240190  174.80475838
111 -37.00241294  174.80519813
111 -37.00242606  174.80520965
111 -37.00241414  174.80522431
111 -37.00241707  174.80533952
111 -37.00176636  174.80506803
111 -37.00188773  174.80462694
111 -37.00217792  174.80475026
111 -37.00218459  174.80472312
111 -37.00174009  174.80453197
111 -37.00187190  174.80405822
111 -37.00216867  174.80418548
111 -37.00217282  174.80416960
111 -37.00183071  174.80402386
111 -37.00194732  174.80358479
113 -37.00229444  174.80373613
110 2 0.00 0.0000 New Taxiway 71
111 -37.00366299  174.80320478
111 -37.00354767  174.80362760
111 -37.00346806  174.80359185
111 -37.00337766  174.80355125
111 -37.00334044  174.80353453
111 -37.00329188  174.80351272
111 -37.00320541  174.80347420
111 -37.00316153  174.80363477
111 -37.00305031  174.80358699
111 -37.00296036  174.80354835
111 -37.00296553  174.80348475
111 -37.00287106  174.80343915
113 -37.00301316  174.80292081
110 1 0.00 0.0000 New Taxiway 70
111 -37.00487957  174.80608053
111 -37.00494564  174.80617954
111 -37.00492796  174.80619790
111 -37.00488537  174.80613206
