I
1050 Generated by WorldEditor 1.6.1r1

1   1789 0 0 CYQZ QUESNEL
100 60.96 1 0 0.25 0 2 0 13  53.03249194 -122.51665900    0    0 3 11 0 0 31  53.01954229 -122.50403911    0    0 3 11 0 0
102 H3  53.02653498 -122.50743046 150.89 15.60 15.30 2 0 0 0.00 1
110 1 0.00 0.0000 New Taxiway 9
111  53.02594003 -122.50593976
111  53.02596050 -122.50588052
111  53.02600743 -122.50574469
111  53.02606054 -122.50559097
111  53.02630107 -122.50582601
111  53.02621808 -122.50604239
111  53.02617193 -122.50616335
113  53.02597742 -122.50597520
110 2 0.00 0.0000 New Taxiway 8
111  53.02821811 -122.50817051
111  53.02791241 -122.50788689
111  53.02799195 -122.50766382
111  53.02806957 -122.50773552
111  53.02811269 -122.50761762
111  53.02816923 -122.50767179
111  53.02816157 -122.50769250
113  53.02833310 -122.50785343
110 1 0.00 0.0000 New Taxiway 13
111  53.02619809 -122.50618962
111  53.02624562 -122.50606923
111  53.02645185 -122.50627024
111  53.02640530 -122.50640054
113  53.02633075 -122.50632283
110 2 0.00 0.0000 New Taxiway 14
111  53.02518388 -122.50515004
111  53.02505001 -122.50502658
111  53.02514375 -122.50476587
111  53.02527399 -122.50488143
113  53.02521404 -122.50505928
110 2 0.00 0.0000 New Taxiway 15
111  53.02451197 -122.50450020
111  53.02456142 -122.50436638
111  53.02473276 -122.50454227
113  53.02468217 -122.50467609
110 2 0.00 0.0000 New Taxiway 16
111  53.02847630 -122.50841374
111  53.02848176 -122.50839733
111  53.02851902 -122.50828719
111  53.02862803 -122.50838586
113  53.02858687 -122.50851248
110 2 0.00 0.0000 New Taxiway 20
111  53.02081842 -122.50095421
111  53.02089146 -122.50074842
111  53.02094091 -122.50079622
111  53.02098346 -122.50067960
111  53.02115020 -122.50084401
113  53.02103678 -122.50116539
110 2 0.00 0.0000 New Taxiway 21
111  53.02130044 -122.50142260
111  53.02140028 -122.50114067
111  53.02155936 -122.50129042
113  53.02145845 -122.50156989
110 1 0.00 0.0000 New Taxiway 3
111  53.03234753 -122.51704555
111  53.03262539 -122.51625916
111  53.03278655 -122.51641242
113  53.03250532 -122.51720491
110 3 0.00 0.0000 Grass Ramp
111  53.02495039 -122.50628634
111  53.02469213 -122.50704822
111  53.02423399 -122.50663296
111  53.02432231 -122.50538490
111  53.02443567 -122.50510710
113  53.02511874 -122.50579996
110 1 0.00 0.0000 New Taxiway 10
111  53.02565408 -122.50696926
111  53.02495039 -122.50628634
111  53.02511874 -122.50579996
111  53.02443567 -122.50510710
111  53.02447707 -122.50500386
111  53.02566946 -122.50617871
111  53.02592022 -122.50545729
111  53.02598371 -122.50551777
111  53.02592826 -122.50567440
111  53.02588090 -122.50580817
111  53.02572751 -122.50624146
111  53.02577501 -122.50629274
113  53.02586932 -122.50638442
110 1 0.00 0.0000 New Taxiway 2
111  53.02686862 -122.51066415
111  53.02695362 -122.51060725
111  53.02712210 -122.51011891
111  53.02773108 -122.50835372
112  53.02771728 -122.50817935  53.02765595 -122.50812199
111  53.02771728 -122.50817935
111  53.02762409 -122.50809108
111  53.02792302 -122.50721660
111  53.02823063 -122.50751005
111  53.02828786 -122.50733163
111  53.02867416 -122.50767657
111  53.02871083 -122.50771129
111  53.02876051 -122.50800269
111  53.02862803 -122.50838586
111  53.02851902 -122.50828719
111  53.02848176 -122.50839733
111  53.02833165 -122.50825558
111  53.02820811 -122.50862199
111  53.02793807 -122.50835832
112  53.02779018 -122.50841320  53.02775089 -122.50851995
111  53.02779018 -122.50841320
111  53.02717629 -122.51017098
111  53.02700909 -122.51065223
113  53.02700937 -122.51079723
111  53.02821811 -122.50817051
111  53.02833310 -122.50785343
111  53.02816157 -122.50769250
111  53.02816923 -122.50767179
111  53.02811269 -122.50761762
