I
1050 Generated by WorldEditor 2.3.0r2

1    200 0 0 EITM Trim
100 11.89 3 0 0.00 0 0 0 10  53.57442547 -006.74258113   25    0 0 0 0 2 28  53.57397100 -006.73255896  106    0 0 0 0 2
110 2 0.00 0.0000 New Taxiway 11
111  53.57483698 -006.74115753
111  53.57480556 -006.74115788
111  53.57480546 -006.74109215
113  53.57483687 -006.74109180
110 2 0.00 0.0000 New Taxiway 10
111  53.57468842 -006.74106765
111  53.57465743 -006.74106818
111  53.57465690 -006.74101563
113  53.57468789 -006.74101510
110 2 0.00 0.0000 New Taxiway 9
111  53.57474333 -006.74071285
111  53.57471770 -006.74068317
111  53.57473548 -006.74064049
113  53.57476111 -006.74067018
110 2 0.00 0.0000 New Taxiway 8
111  53.57467064 -006.74059464
111  53.57462579 -006.74059108
111  53.57462886 -006.74050825
113  53.57467370 -006.74051181
110 2 0.00 0.0000 New Taxiway 7
111  53.57489050 -006.74091065
111  53.57486199 -006.74087335
111  53.57489247 -006.74081093
113  53.57492098 -006.74084823
110 2 0.00 0.0000 New Taxiway 6
111  53.57595498 -006.74198413
111  53.57603457 -006.74215570
111  53.57582645 -006.74242406
113  53.57574686 -006.74225249
110 3 0.00 0.0000 New Taxiway 5
111  53.57440963 -006.74116098
111  53.57457679 -006.74117587
111  53.57454962 -006.74039844
111  53.57455988 -006.74038869
111  53.57484570 -006.74044720
111  53.57483675 -006.74068876
112  53.57488886 -006.74077076  53.57492285 -006.74078368
111  53.57488886 -006.74077076
111  53.57495307 -006.74077785
111  53.57495597 -006.74118784
112  53.57495597 -006.74118784  53.57499734 -006.74118997
111  53.57507229 -006.74126186
111  53.57578798 -006.74139453
111  53.57581745 -006.74139231
111  53.57587720 -006.74118177
112  53.57587720 -006.74118177  53.57593442 -006.74104199
111  53.57598510 -006.74112902
111  53.57605511 -006.74149825
111  53.57608590 -006.74159133
111  53.57613380 -006.74169682
111  53.57610484 -006.74176200
111  53.57602108 -006.74158520
112  53.57590890 -006.74150669  53.57584756 -006.74149299
111  53.57590890 -006.74150669
112  53.57590890 -006.74150669  53.57589032 -006.74150284
111  53.57589337 -006.74154509
111  53.57591421 -006.74168020
111  53.57598527 -006.74194508
111  53.57595498 -006.74198413
111  53.57574686 -006.74225249
111  53.57571974 -006.74217419
112  53.57571075 -006.74209304  53.57571354 -006.74205478
111  53.57571075 -006.74209304
111  53.57576417 -006.74151086
111  53.57507035 -006.74135946
111  53.57490455 -006.74141118
111  53.57459109 -006.74135053
111  53.57459095 -006.74132015
113  53.57441195 -006.74130384
110 3 0.00 0.0000 New Taxiway 4
111  53.57395764 -006.73338294
112  53.57395764 -006.73338294  53.57395435 -006.73334108
111  53.57392564 -006.73327998
111  53.57383377 -006.73307549
112  53.57383377 -006.73307549  53.57378388 -006.73295795
112  53.57383150 -006.73271323  53.57385740 -006.73263611
111  53.57383150 -006.73271323
111  53.57393246 -006.73245819
112  53.57401199 -006.73234703  53.57404294 -006.73231352
111  53.57401199 -006.73234703
111  53.57402436 -006.73255211
113  53.57402433 -006.73258067
110 3 0.00 0.0000 New Taxiway 3
111  53.57382410 -006.73423479
111  53.57382096 -006.73416552
111  53.57426032 -006.73409724
113  53.57426346 -006.73416650
110 3 0.00 0.0000 New Taxiway 2
111  53.57446328 -006.74264210
111  53.57435180 -006.74263571
112  53.57435180 -006.74263571  53.57429148 -006.74261338
112  53.57431643 -006.74225596  53.57434817 -006.74213682
111  53.57431643 -006.74225596
111  53.57419168 -006.74226713
111  53.57418852 -006.74220011
111  53.57433064 -006.74218362
111  53.57435054 -006.74207033
111  53.57445722 -006.74217270
111  53.57462408 -006.74215186
111  53.57462790 -006.74222805
111  53.57446104 -006.74224888
111  53.57447408 -006.74249441
114  53.57447408 -006.74249441  53.57450661 -006.74262153
130 Airport Boundary 12
111  53.57519772 -006.74337391
111  53.57532244 -006.74388105
111  53.57522500 -006.74410737
111  53.57514484 -006.74403325
111  53.57501382 -006.74443729
111  53.57534878 -006.74493166
111  53.57518963 -006.74539042
111  53.57371933 -006.74487870
111  53.57392803 -006.74305814
111  53.57327806 -006.73391282
111  53.57393554 -006.73231961
111  53.57420565 -006.73229990
111  53.57455248 -006.74033943
111  53.57578260 -006.74056855
111  53.57605594 -006.74078026
111  53.57640901 -006.74245360
111  53.57606952 -006.74300058
111  53.57573229 -006.74380866
111  53.57548899 -006.74355327
113  53.57542449 -006.74306919
1300  53.57592631 -006.74129501 -124.34 tie_down props Grass Stand
1301 A general_aviation 
1300  53.57590823 -006.74206372 127.29 hangar props Hangar 2
1301 A none 
1300  53.57580590 -006.74219829 127.29 hangar props Hangar 1
1301 A none 
19  53.57519364 -006.74052425 1 New Windsock 1
51 12330 Trim Radio
99
