A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       29 0 0 WAMK Kao/Kuabang (Local Gov)
100   22.86   1   0 0.25 0 0 0 18   01.18950874  127.89616713    0.00    0.00 2  0 0 0 36   01.18107675  127.89588921    0.00    0.00 2  0 0 0
110   2 0.00  91.90 Ramp
111  01.18702716  127.89497827 
111  01.18702091  127.89538830 
111  01.18741425  127.89538963 
112  01.18741027  127.89594364  01.18740894  127.89598081 
111  01.18736286  127.89599990 
111  01.18759756  127.89600796 
112  01.18756228  127.89594544  01.18756228  127.89590828 
113  01.18757480  127.89498453 
110   2 0.00  91.90 Path
111  01.18709601  127.89459914 
111  01.18709641  127.89498685 
111  01.18716203  127.89498645 
113  01.18716284  127.89459954 
130 Airport Boundary
111  01.17975762  127.89545092 
111  01.17975467  127.89634811 
111  01.19132838  127.89674978 
111  01.19132972  127.89576430 
111  01.18770864  127.89570069 
111  01.18773748  127.89470174 
111  01.18693576  127.89469460 
113  01.18691798  127.89565999 
14   01.18712730  127.89453381    9 0 Viewpoint
15   01.18721614  127.89526066   1.90 Ramp Start
19   01.18722750  127.89580225 0 Windsock

99
