I
1050 Generated by WorldEditor 2.3.0r2

1    785 0 0 CCC3 Cooks Creek
100 12.19 3 0 0.00 0 0 0 09  50.03192280 -096.73719089    0    0 0 0 0 0 27  50.03193982 -096.72804852    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 34
111  50.03197827 -096.73615429
111  50.03198768 -096.73620088
111  50.03199516 -096.73676087
112  50.03218472 -096.73726434  50.03235786 -096.73734575
111  50.03218472 -096.73726434
111  50.03218512 -096.73728130
111  50.03207566 -096.73727937
112  50.03204889 -096.73731453  50.03204774 -096.73734544
111  50.03204889 -096.73731453
111  50.03206228 -096.73768573
112  50.03206228 -096.73768573  50.03207064 -096.73774868
111  50.03214427 -096.73779773
111  50.03217439 -096.73829787
112  50.03233502 -096.73856877  50.03243642 -096.73859847
111  50.03233502 -096.73856877
111  50.03246721 -096.73857659
112  50.03246721 -096.73857659  50.03251741 -096.73852992
111  50.03265461 -096.73851928
111  50.03266047 -096.73894127
111  50.03217355 -096.73890871
112  50.03201710 -096.73895169  50.03193135 -096.73888548
111  50.03201710 -096.73895169
111  50.03201892 -096.73868834
111  50.03214440 -096.73868834
111  50.03214440 -096.73849803
111  50.03201892 -096.73849803
111  50.03205726 -096.73837992
111  50.03206328 -096.73790168
112  50.03192594 -096.73763685  50.03190618 -096.73753012
111  50.03192594 -096.73763685
111  50.03192036 -096.73729822
112  50.03185064 -096.73722984  50.03179602 -096.73723165
111  50.03185064 -096.73722984
111  50.03185972 -096.73640150
113  50.03187102 -096.73629284
110 3 0.00 0.0000 New Taxiway 33
111  50.03188935 -096.73013675
111  50.03184501 -096.72848789
112  50.03184501 -096.72848789  50.03183734 -096.72831424
112  50.03166931 -096.72817401  50.03152500 -096.72815990
111  50.03166931 -096.72817401
111  50.03167072 -096.72800251
111  50.03223961 -096.72801890
111  50.03223845 -096.72807163
112  50.03210091 -096.72836077  50.03205233 -096.72859033
111  50.03210091 -096.72836077
112  50.03210091 -096.72836077  50.03199682 -096.72907646
113  50.03198766 -096.73067730
110 2 0.00 0.0000 New Taxiway 32
111  50.03214440 -096.73868834
111  50.03201892 -096.73868834
111  50.03201892 -096.73849803
113  50.03214440 -096.73849803
130 Airport Boundary 35
111  50.03103975 -096.72795333
111  50.03289469 -096.72791830
111  50.03296759 -096.73914605
113  50.03103080 -096.73918629
1300  50.03208235 -096.73852248  90.12 hangar props Hangar
1301 A none 
19  50.03215235 -096.73852646 1 New Windsock 22
51 12320 Cooks Creek Traffic
99
