I
1100 Generated by WorldEditor 1.6.1r1

1    169 1 0 EGTD Dunsfold
1302 city Dunsfold
1302 country United Kingdom
1302 datum_lat 51.117
1302 datum_lon -0.536333333
1302 faa_code 
1302 iata_code 
1302 icao_code EGTD
1302 region_code EG
1302 state England
1302 transition_alt 
1302 transition_level 
100 46.02 1 0 0.00 0 1 0 07  51.11388208 -000.54830225  158    0 4 0 0 0 25  51.12060111 -000.52361806   44    0 4 0 0 0
110 2 0.00 43.0000 New Taxiway 2
111  51.11491263 -000.53538698
111  51.11480522 -000.53553849
111  51.11478753 -000.53550667
111  51.11487972 -000.53537663
111  51.11483923 -000.53528857
111  51.11477089 -000.53538701
111  51.11475098 -000.53535118
111  51.11484827 -000.53521395
111  51.11481477 -000.53515368
111  51.11483872 -000.53511990
111  51.11481936 -000.53508508
111  51.11485471 -000.53503522
111  51.11491261 -000.53513938
111  51.11492810 -000.53511753
111  51.11502821 -000.53530335
111  51.11498496 -000.53535757
113  51.11496395 -000.53531503
110 2 0.00 346.0000 New Taxiway 2
111  51.11805199 -000.53970824
111  51.11800598 -000.53975712
111  51.11803604 -000.53953024
111  51.11807015 -000.53959693
111  51.11821903 -000.53965937
112  51.11826505 -000.53962679  51.11828720 -000.53962679
112  51.11832869 -000.53967927  51.11834513 -000.53972900
112  51.11831449 -000.53980960  51.11829915 -000.53983404
112  51.11825198 -000.53982861  51.11821960 -000.53981503
113  51.11820652 -000.53976434
110 2 0.00 28.0000 New Taxiway 1
111  51.11735282 -000.54356980
111  51.11732533 -000.54347276
111  51.11722430 -000.54314268
111  51.11719747 -000.54310812
111  51.11726083 -000.54296263
111  51.11727281 -000.54297446
111  51.11727852 -000.54295991
111  51.11727053 -000.54294536
111  51.11729222 -000.54290080
111  51.11732419 -000.54293808
111  51.11730307 -000.54298719
111  51.11729222 -000.54297536
111  51.11728594 -000.54298810
111  51.11729736 -000.54300264
111  51.11726425 -000.54307175
111  51.11730192 -000.54320815
111  51.11733846 -000.54318178
111  51.11735729 -000.54323634
111  51.11735159 -000.54327362
111  51.11732647 -000.54329362
111  51.11736586 -000.54341638
113  51.11741430 -000.54346971
110 2 0.00 70.0000 New Taxiway 17
111  51.11886800 -000.53521572
111  51.11870696 -000.53512412
111  51.11887971 -000.53434336
113  51.11904505 -000.53444023 20
110 1 0.00 0.0000 New Taxiway 16
112  51.12117405 -000.52603509  51.12122435 -000.52604742
111  51.12117405 -000.52603509
111  51.12167696 -000.52606096
111  51.12171416 -000.52603910
111  51.12190809 -000.52606245
111  51.12190244 -000.52630562
111  51.12166114 -000.52630904
111  51.12166360 -000.52626941
111  51.12123672 -000.52624713 20
111  51.12112534 -000.52624662 20
112  51.12104569 -000.52633931  51.12103263 -000.52641574
111  51.12104569 -000.52633931
112  51.12104569 -000.52633931  51.12105876 -000.52626287 22
112  51.12107252 -000.52591063  51.12107048 -000.52574491
113  51.12107252 -000.52591063
110 5 0.00 0.0000 New Taxiway 37
111  51.12144684 -000.52958403
111  51.12156832 -000.52964983
111  51.12152942 -000.52982663
113  51.12141274 -000.52976574
110 2 0.00 0.0000 New Taxiway 38
111  51.12128777 -000.53006323
111  51.12090046 -000.52989476
111  51.12098378 -000.52944548
111  51.12137733 -000.52962730
113  51.12131364 -000.52994940
110 1 0.00 0.0000 New Taxiway 36
111  51.12056230 -000.52843983
