I
1050 Generated by WorldEditor 2.0.0r4

1    867 0 0 K12Y Le Sueur Muni
100 22.86 1 0 0.00 0 2 0 13  44.44381132 -093.91991869    0    0 2 0 0 1 31  44.43798733 -093.91179992    0    0 2 0 0 1
110 2 0.00 0.0000 New Taxiway 33
111  44.44158978 -093.91254018
111  44.44172237 -093.91235592
111  44.44181973 -093.91248939
111  44.44168919 -093.91267378
112  44.44168919 -093.91267378  44.44168484 -093.91267095
112  44.44167606 -093.91266199  44.44167287 -093.91265761
113  44.44167606 -093.91266199
110 2 0.00 0.0000 New Taxiway 32
111  44.44146986 -093.91237397
111  44.44160705 -093.91218249
111  44.44170463 -093.91231772
113  44.44156706 -093.91250919
110 2 0.00 0.0000 New Taxiway 31
111  44.44112471 -093.91178964
111  44.44120474 -093.91167974
111  44.44123078 -093.91171530
111  44.44125098 -093.91168875
111  44.44128599 -093.91173546
111  44.44126583 -093.91176318
111  44.44129092 -093.91179744
111  44.44121336 -093.91190753
111  44.44118518 -093.91187005
111  44.44114713 -093.91191911
111  44.44111646 -093.91187703
113  44.44115268 -093.91182683
110 3 0.00 0.0000 New Taxiway 30
111  44.44110087 -093.91174496
111  44.44106074 -093.91180018
111  44.44097738 -093.91168522
113  44.44101723 -093.91163021
110 2 0.00 0.0000 New Taxiway 29
111  44.44101723 -093.91163021
111  44.44111087 -093.91149713
111  44.44119354 -093.91161388
113  44.44110087 -093.91174496
110 2 0.00 0.0000 New Taxiway 28
111  44.44074905 -093.91126290
111  44.44076345 -093.91124354
111  44.44076878 -093.91125162
111  44.44084956 -093.91114162
111  44.44094520 -093.91127491
111  44.44085369 -093.91140575
111  44.44081985 -093.91136047
111  44.44078006 -093.91141310
111  44.44075125 -093.91137305
113  44.44079098 -093.91132014
110 2 0.00 0.0000 New Taxiway 27
111  44.44091363 -093.91190185
111  44.44068594 -093.91221837
111  44.44057439 -093.91207731
111  44.44080631 -093.91175476
111  44.44084588 -093.91180899
111  44.44087594 -093.91176589
111  44.44090402 -093.91180278
113  44.44087350 -093.91184685
110 2 0.00 0.0000 New Taxiway 26
111  44.44105399 -093.91209589
111  44.44095799 -093.91222932
111  44.44085946 -093.91209166
111  44.44095451 -093.91195955
111  44.44096112 -093.91196862
111  44.44098968 -093.91192509
111  44.44107820 -093.91204779
113  44.44104869 -093.91208863
110 2 0.00 0.0000 New Taxiway 25
111  44.44143753 -093.91260946
111  44.44135869 -093.91272129
111  44.44136949 -093.91273644
111  44.44134924 -093.91276440
111  44.44133802 -093.91275060
111  44.44133404 -093.91275625
111  44.44122859 -093.91261514
111  44.44132720 -093.91248087
111  44.44133154 -093.91248597
111  44.44136226 -093.91244335
111  44.44143905 -093.91254998
113  44.44141757 -093.91258256
110 2 0.00 0.0000 New Taxiway 24
111  44.44124857 -093.91314359
111  44.44123634 -093.91315204
111  44.44123048 -093.91313828
113  44.44124271 -093.91312975
110 2 0.00 0.0000 New Taxiway 23
111  44.44108299 -093.91293025
111  44.44111018 -093.91289269
111  44.44113777 -093.91293033
113  44.44110969 -093.91296745
110 2 0.00 0.0000 New Taxiway 23
111  44.44096315 -093.91276246
111  44.44099017 -093.91272434
111  44.44101775 -093.91276198
113  44.44098967 -093.91280027
110 2 0.00 0.0000 New Taxiway 22
111  44.44071693 -093.91277951
111  44.44074452 -093.91274142
111  44.44077281 -093.91277840
113  44.44074392 -093.91281607
110 2 0.00 0.0000 New Taxiway 21
111  44.44094521 -093.91277160
111  44.44093816 -093.91276298
111  44.44094516 -093.91275376
113  44.44095197 -093.91276252
110 2 0.00 0.0000 New Taxiway 20
111  44.44028781 -093.91269715
111  44.44030700 -093.91267076
111  44.44034744 -093.91261516
111  44.44033707 -093.91259994
111  44.44059342 -093.91224850
111  44.44076996 -093.91249243
113  44.44045744 -093.91293209
110 2 0.00 0.0000 New Taxiway 19
111  44.43999405 -093.91289786
111  44.43998549 -093.91290887
111  44.43997762 -093.91289824
113  44.43998640 -093.91288741
110 2 0.00 0.0000 New Taxiway 19
111  44.44005062 -093.91288523
111  44.44004206 -093.91289624
111  44.44003419 -093.91288562
