I
1050 Generated by WorldEditor 2.1.0r1

1   3030 0 0 LEJO Madrigalejo del Monte
100 50.00 4 0 0.00 0 0 0 04  42.13267434 -003.73436143    0    0 0 0 0 0 22  42.13593449 -003.72866885    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 74
111  42.13368931 -003.73048580
111  42.13356831 -003.73022960
111  42.13368860 -003.73012624
113  42.13381069 -003.73038759
110 4 0.00 0.0000 New Taxiway 73
111  42.13416603 -003.73129460
112  42.13414366 -003.73094616  42.13405193 -003.73086773
112  42.13378633 -003.73062523  42.13372341 -003.73055609
111  42.13368931 -003.73048580
111  42.13381069 -003.73038759
111  42.13368860 -003.73012624
111  42.13437569 -003.72951811
112  42.13437569 -003.72951811  42.13449762 -003.72941253
112  42.13461931 -003.72903508  42.13463542 -003.72880050
111  42.13458688 -003.72867261
111  42.13534557 -003.72894634
111  42.13569173 -003.72843565
113  42.13578214 -003.72852496
130 Airport Boundary 72
111  42.13304936 -003.73467022
111  42.13279654 -003.73498925
111  42.13263881 -003.73500176
111  42.13231294 -003.73481944
111  42.13222209 -003.73451971
111  42.13409254 -003.73107304
111  42.13410182 -003.73096044
111  42.13372654 -003.73060591
111  42.13357754 -003.73034708
111  42.13355027 -003.73015676
111  42.13443347 -003.72940198
111  42.13455335 -003.72919250
111  42.13457107 -003.72891231
111  42.13450825 -003.72867772
111  42.13448731 -003.72857564
111  42.13536935 -003.72874584
111  42.13571170 -003.72821662
111  42.13622050 -003.72887041
113  42.13591656 -003.72958656
14  42.13432702 -003.72959761   9.84 0 New Tower Viewpoint 17
1300  42.13479414 -003.72961137 -43.92 tie_down props Tie Down 06
1301 A general_aviation 
1300  42.13467445 -003.72978778 -43.92 tie_down props Tie Down 05
1301 A general_aviation 
1300  42.13455042 -003.72993548 -47.49 tie_down props Tie Down 04
1301 A general_aviation 
1300  42.13444218 -003.73008405 -47.49 tie_down props Tie Down 03
1301 A general_aviation 
1300  42.13433587 -003.73023262 -47.49 tie_down props Tie Down 02
1301 A general_aviation 
1300  42.13421990 -003.73037815 -47.49 tie_down props Tie Down 01
1301 A general_aviation 
18  42.13432702 -003.72959761 1 New Airport Beacon 11
99
