I
1100 Generated by WorldEditor 1.6.1r1

1      7 0 0 EGCL Fenland
100 29.87 3 0 0.00 0 0 1 18  52.74228773 -000.02978935  103    0 1 0 0 0 36  52.73650427 -000.02994064   20    0 1 0 0 0
100 17.98 3 0 0.00 0 0 0 08  52.73588740 -000.03672771    0    0 0 0 0 0 26  52.73719501 -000.02530193    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 123
111  52.74144087 -000.02644250
111  52.74123436 -000.02645035
111  52.74123436 -000.02648073
111  52.74119578 -000.02647877
111  52.74119697 -000.02640134
111  52.74143256 -000.02639937
111  52.74144265 -000.02638271
111  52.74144740 -000.02612394
111  52.74152395 -000.02612198
111  52.74152691 -000.02780496
111  52.74148893 -000.02780693
111  52.74148953 -000.02831172
113  52.74144918 -000.02831368
110 3 0.00 0.0000 New Taxiway 28
111  52.74250099 -000.03047234
111  52.73750310 -000.03054500
111  52.73746276 -000.03079216
112  52.73744398 -000.03086497  52.73743093 -000.03088508
111  52.73740433 -000.03089469
111  52.73700452 -000.03090685
111  52.73641307 -000.03663285
112  52.73638846 -000.03678436  52.73635287 -000.03683754
111  52.73627543 -000.03683494
111  52.73562870 -000.03683506
111  52.73694572 -000.02516393
111  52.73738590 -000.02527242
111  52.73689224 -000.02939299
111  52.74084899 -000.02931795
111  52.74092411 -000.02515482
111  52.74152372 -000.02519903
111  52.74152395 -000.02612198
111  52.74144740 -000.02612394
111  52.74144265 -000.02638271
111  52.74143256 -000.02639937
111  52.74119697 -000.02640134
111  52.74119578 -000.02647877
111  52.74123436 -000.02648073
111  52.74123436 -000.02645035
111  52.74144087 -000.02644250
111  52.74144918 -000.02831368
112  52.74147589 -000.02843874  52.74149789 -000.02852287
111  52.74153045 -000.02854417
111  52.74160676 -000.02854501
111  52.74165238 -000.02857700
111  52.74175953 -000.02863732
111  52.74176935 -000.02883518
111  52.74220356 -000.02889467
111  52.74221481 -000.02904578
111  52.74240622 -000.02907939
111  52.74246448 -000.02897959
111  52.74259073 -000.02898783
112  52.74260045 -000.02893838  52.74263022 -000.02888921
113  52.74270664 -000.02892178
130 Airport Boundary 32
111  52.73557994 -000.03693673
111  52.73692000 -000.02509482
111  52.73740940 -000.02519146
111  52.73695889 -000.02933513
111  52.74082636 -000.02924081
111  52.74088534 -000.02505391
111  52.74171383 -000.02510976
111  52.74163863 -000.02572871
111  52.74164106 -000.02827862
111  52.74281240 -000.02833860
111  52.74253886 -000.03054293
111  52.73754764 -000.03059640
111  52.73749598 -000.03089902
111  52.73713661 -000.03091800
113  52.73641216 -000.03690683
21  52.74027781 -000.02935056 2 180.0000 4.30 New PAPI-4L
14  52.74187701 -000.02890427  36.09 0 ATC Tower
1300  52.74136156 -000.02680952 270.00 tie_down props Grass Parking 4
1301 A general_aviation 
1300  52.74121765 -000.02898926 270.00 tie_down props Grass Parking 3
1301 A general_aviation 
1300  52.74134523 -000.02899277 270.00 tie_down props Grass Parking 2
1301 A general_aviation 
1300  52.74147069 -000.02899980 270.00 tie_down props Grass Parking 1
1301 A general_aviation 
18  52.74190743 -000.02875068 1 New Airport Beacon 13
19  52.74265813 -000.02899131 0 WS
19  52.73741579 -000.03072695 0 WS
99
