A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       65 0 0 SFDS Douglas Station
100   29.87   3   0 0.00 0 0 0 05  -51.46153522 -058.61572142    0.00    0.00 1  0 0 0 23  -51.45929903 -058.61058264    0.00    0.00 1  0 0 0
100   29.87   3   0 0.00 0 0 0 15  -51.46054028 -058.61150984    0.00    0.00 1  0 0 0 33  -51.45789565 -058.61414844    0.00    0.00 1  0 0 0
130 DGS BDRY
111 -51.46252681 -058.61585307 
111 -51.46071261 -058.61224584 
111 -51.46146195 -058.61173956 
111 -51.46067317 -058.61003087 
111 -51.46019990 -058.61034730 
111 -51.45937167 -058.60939802 
111 -51.45822793 -058.61110671 
111 -51.45692644 -058.61401781 
111 -51.45747859 -058.61522022 
111 -51.45988438 -058.61332168 
113 -51.46161971 -058.61737190 
18  -51.45807018 -058.61218255 1 DGS BCN
19  -51.45855838 -058.61168327 0 WINDSOCK

99
