I
1050 Generated by WorldEditor 2.1.0r1

1   1231 0 0 3Y2 George L Scott Muni
100 18.29 2 0 0.25 0 2 0 17  42.99087457 -091.79162451    0    0 2 0 0 0 35  42.97958544 -091.78965548    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 5
111  42.97959583 -091.78954409 102
111  42.97964988 -091.78895223 102
111  42.97964179 -091.78895093 102
111  42.97964379 -091.78892825 102
111  42.97964503 -091.78891214 102
111  42.97963989 -091.78883979 102
111  42.97959358 -091.78881005 102
111  42.97956030 -091.78880478 102
111  42.97956060 -091.78879424 102
111  42.97948190 -091.78878267
111  42.97945692 -091.78901737
111  42.97902009 -091.78893947
111  42.97888018 -091.78871564
111  42.97883291 -091.78870999
111  42.97882747 -091.78871624
111  42.97881658 -091.78870076
111  42.97881789 -091.78866503
111  42.97882921 -091.78866622
111  42.97883074 -091.78862687
111  42.97882890 -091.78854109
111  42.97884029 -091.78841393
111  42.97883323 -091.78841170
111  42.97884834 -091.78825042
111  42.97887091 -091.78825507
111  42.97889626 -091.78800026
111  42.97950976 -091.78810942
111  42.97956714 -091.78752489
111  42.97973006 -091.78755098
111  42.97974516 -091.78740569
111  42.98005751 -091.78746409
111  42.98005423 -091.78752145
112  42.98002169 -091.78754203  42.98001450 -091.78757091
111  42.98002169 -091.78754203
111  42.98001934 -091.78757074
111  42.98001218 -091.78760020
111  42.97996982 -091.78806476
111  42.97992127 -091.78805583
111  42.97991205 -091.78815648
112  42.97991205 -091.78815648  42.97991281 -091.78818170
111  42.97992825 -091.78818959
111  42.97994384 -091.78819057
111  42.97993857 -091.78824886
111  42.97957121 -091.78818050
111  42.97953516 -091.78855354 102
111  42.97954322 -091.78866884 102
111  42.97960418 -091.78870134
111  42.97963494 -091.78870537 102
111  42.97963520 -091.78871330
112  42.97963520 -091.78871330  42.97970873 -091.78873997 102
112  42.97972658 -091.78886646  42.97972658 -091.78893736
111  42.97972658 -091.78886646 102
111  42.97971994 -091.78894265 102
111  42.97966970 -091.78948172 102
111  42.97967590 -091.78948298
112  42.97967590 -091.78948298  42.97967213 -091.78955029 102
111  42.97967670 -091.78955801
113  42.97963528 -091.78959530
111  42.97972258 -091.78814881
112  42.97974336 -091.78812288  42.97974742 -091.78810003
111  42.97974336 -091.78812288
111  42.97975826 -091.78795495
111  42.97969186 -091.78793890
112  42.97958753 -091.78801607  42.97956494 -091.78808707
111  42.97958753 -091.78801607
113  42.97957714 -091.78812164
111  42.97946951 -091.78849523
111  42.97948323 -091.78836066
111  42.97940858 -091.78834912
113  42.97939937 -091.78848452
110 2 0.00 0.0000 New Taxiway 3
111  42.99058291 -091.79146133
112  42.99067991 -091.79131924  42.99069942 -091.79119920
111  42.99067991 -091.79131924
111  42.99069814 -091.79113173
111  42.99071683 -091.79093943
111  42.99093446 -091.79097439
111  42.99091654 -091.79116944
111  42.99088455 -091.79151764
113  42.99075126 -091.79159903
130 Airport Boundary 1
111  42.99338926 -091.79282804
111  42.98223592 -091.79087479
111  42.97867117 -091.79098123
111  42.97854644 -091.78925268
111  42.97859052 -091.78719702
111  42.98008193 -091.78742977
111  42.98018569 -091.78764488
111  42.98020693 -091.78857723
111  42.98017306 -091.78899819
113  42.99336632 -091.79130374
120 Linear Feature 11
111  42.97964379 -091.78892825 54
115  42.97971994 -091.78894265
120 Linear Feature 12
111  42.97962889 -091.78954967 51
111  42.97969271 -091.78886904 51
112  42.97963713 -091.78876082  42.97957471 -091.78874050
111  42.97963713 -091.78876082 51
111  42.97954356 -091.78874429 51
116  42.97949110 -091.78867847  42.97947944 -091.78862702
120 Linear Feature 4
111  42.99069814 -091.79113173 54
115  42.99091654 -091.79116944
21  42.98844688 -091.79086984 2 172.7300 3.00 17  PAPI-4L
21  42.98118559 -091.79027826 2 352.7300 3.00 35  PAPI-4L
14  42.97885406 -091.78839796  10.01 0 New Tower Viewpoint 1
1300  42.97981421 -091.78773542 172.75 hangar jets|turboprops|props Hangar 2
1301 B none 
1300  42.97934575 -091.78885619 351.15 tie_down jets|turboprops|props Ramp 1
1301 B general_aviation 
1300  42.97890021 -091.78836172 -96.89 hangar props Hangar 1-8
1301 A none 
1300  42.97897579 -091.78829643  82.77 hangar props Hangar 1-7
1301 A none 
1300  42.97903772 -091.78838574 -97.50 hangar props Hangar 1-6
1301 A none 
1300  42.97910971 -091.78831999  83.21 hangar props Hangar 1-5
1301 A none 
1300  42.97916953 -091.78840880 -97.29 hangar props Hangar 1-4
1301 A none 
1300  42.97924387 -091.78834031  83.37 hangar props Hangar 1-3
1301 A none 
1300  42.97930354 -091.78843011 -97.62 hangar props Hangar 1-2
1301 A none 
1300  42.97937902 -091.78836552  84.04 hangar props Hangar 1-1
1301 A none 
18  42.97908248 -091.78771516 1 New Airport Beacon 3
19  42.97992275 -091.78858132 1 New Windsock 2
51 12280 CTAF
99
