I
1050 Generated by WorldEditor 2.1.0r1

1    470 0 0 LETF Tomás Fernández Espada
100 15.24 1 0 0.00 0 0 0 06  36.87107567 -005.65022428    0  112 1 0 0 0 24  36.87306600 -005.64634201    0   49 1 0 0 0
110 2 0.00 0.0000 New Taxiway 2
111  36.87228867 -005.64929799
111  36.87225359 -005.64939307
111  36.87226281 -005.64941749
111  36.87229818 -005.64943545
111  36.87231878 -005.64938649
111  36.87236585 -005.64940845
111  36.87245183 -005.64917505
112  36.87245211 -005.64916575  36.87245249 -005.64916000
111  36.87245211 -005.64916575
111  36.87261342 -005.64925430
111  36.87233612 -005.64998949
111  36.87212038 -005.64987112
111  36.87213369 -005.64982954
111  36.87212652 -005.64982314
111  36.87213343 -005.64978699
111  36.87212627 -005.64978091
111  36.87212806 -005.64977739
111  36.87208967 -005.64975948
111  36.87207918 -005.64975308
113  36.87226217 -005.64927673
111  36.87212728 -005.64971662
111  36.87213701 -005.64974093
111  36.87214596 -005.64974669
111  36.87218384 -005.64968943
111  36.87219126 -005.64969423
111  36.87221352 -005.64963697
111  36.87222299 -005.64964240
111  36.87224014 -005.64960018
111  36.87220073 -005.64957682
113  36.87217770 -005.64958610
111  36.87228390 -005.64947510
111  36.87227469 -005.64946390
111  36.87224705 -005.64944950
111  36.87222760 -005.64946006
111  36.87220636 -005.64951572
111  36.87221250 -005.64954100
113  36.87225293 -005.64956115
110 1 0.00 0.0000 New Taxiway 1
111  36.87189585 -005.64878619
111  36.87206733 -005.64892836
111  36.87222229 -005.64905682
112  36.87227235 -005.64907410  36.87229446 -005.64907563
111  36.87227235 -005.64907410
111  36.87240546 -005.64906642
111  36.87242143 -005.64904953
111  36.87252492 -005.64903110
111  36.87252861 -005.64907755
111  36.87249083 -005.64908830
112  36.87249083 -005.64908830  36.87245964 -005.64910699
112  36.87245211 -005.64916575  36.87245087 -005.64918404
111  36.87245211 -005.64916575
112  36.87245211 -005.64916575  36.87245173 -005.64917150
111  36.87245183 -005.64917505
111  36.87236585 -005.64940845
111  36.87231878 -005.64938649
111  36.87227126 -005.64936431
111  36.87229429 -005.64930250
111  36.87228867 -005.64929799
111  36.87226217 -005.64927673
111  36.87199756 -005.64906442
111  36.87184238 -005.64893991
112  36.87184238 -005.64893991  36.87182053 -005.64893313
111  36.87180834 -005.64894792
111  36.87180023 -005.64893506
113  36.87188899 -005.64878725
130 Airport Boundary 9
111  36.87086399 -005.65146237
111  36.87076587 -005.65151085
111  36.87062212 -005.65150515
111  36.87026617 -005.65119711
111  36.87077500 -005.65021312
111  36.87084117 -005.64988227
111  36.87285138 -005.64596334
111  36.87332141 -005.64565530
111  36.87369106 -005.64602894
111  36.87281113 -005.64789191
111  36.87307070 -005.64818763
111  36.87275856 -005.64924728
111  36.87234456 -005.65034388
111  36.87186156 -005.65036031
111  36.87155271 -005.65046709
113  36.87146071 -005.65055334
120 Linear Feature 7
111  36.87196922 -005.64894541 51
115  36.87194008 -005.64891436
120 Linear Feature 6
111  36.87201070 -005.64897590 51
111  36.87196922 -005.64894541 51
115  36.87194221 -005.64892556
120 Linear Feature 5
111  36.87206733 -005.64892836 54
115  36.87199756 -005.64906442
14  36.87233829 -005.64871540   9.00 0 New Tower Viewpoint 3
1300  36.87244285 -005.64930268 156.96 hangar props Hangar 04
1301 A none 
1300  36.87238554 -005.64946889 156.96 hangar props Hangar 03
1301 A none 
1300  36.87232593 -005.64961599 156.96 hangar props Hangar 02
1301 A none 
1300  36.87220749 -005.64981277 156.96 hangar props Hangar 01
1301 A none 
18  36.87233829 -005.64871540 1 New Airport Beacon 1
99
