I
1050 Generated by WorldEditor 2.1.0r1

1   2168 0 0 CEB5 Fairview
100 22.86 1 0 0.25 0 1 0 04  56.07877598 -118.44066812    0    0 1 0 0 0 22  56.08375817 -118.42599739    0    0 1 0 0 0
110 3 0.00 0.0000 Grass
111  56.07828497 -118.43729626
111  56.07854769 -118.43651661
112  56.07854769 -118.43651661  56.07857832 -118.43647290
111  56.07862998 -118.43650893
111  56.07896896 -118.43687989
112  56.07896896 -118.43687989  56.07902512 -118.43697294
111  56.07898142 -118.43711921
111  56.07810332 -118.43966046
112  56.07810332 -118.43966046  56.07807015 -118.43973647
111  56.07800935 -118.43972170
111  56.07779784 -118.43948774
113  56.07846282 -118.43748642
110 1 0.00 0.0000 New Taxiway 11
111  56.08376970 -118.42651471
111  56.08348980 -118.42620910
111  56.08361689 -118.42583689
113  56.08389537 -118.42614280
110 2 0.00 0.0000 New Taxiway 9
111  56.07807379 -118.43791902
111  56.07798596 -118.43782168
111  56.07804678 -118.43764377
113  56.07813419 -118.43774089
110 2 0.00 0.0000 New Taxiway 9
111  56.07794476 -118.43829953
111  56.07784011 -118.43818245
111  56.07790819 -118.43798142
113  56.07801308 -118.43809805
110 2 0.00 0.0000 New Taxiway 9
111  56.07782286 -118.43865900
111  56.07768851 -118.43850941
111  56.07776823 -118.43827768
113  56.07790161 -118.43842676
110 2 0.00 0.0000 New Taxiway 9
111  56.07760457 -118.43930273
111  56.07751183 -118.43919871
111  56.07758297 -118.43899067
113  56.07767581 -118.43909265
110 2 0.00 0.0000 New Taxiway 9
111  56.07750525 -118.43959562
111  56.07743296 -118.43951479
111  56.07749192 -118.43934328
113  56.07756387 -118.43942275
110 2 0.00 0.0000 New Taxiway 8
111  56.07729032 -118.43986425
111  56.07735860 -118.43966703
111  56.07744681 -118.43976797
113  56.07737996 -118.43996509
110 2 0.00 0.0000 New Taxiway 8
111  56.07716462 -118.44022125
111  56.07723582 -118.44001713
111  56.07732756 -118.44011961
113  56.07725820 -118.44032415
110 2 0.00 0.0000 New Taxiway 8
111  56.07703666 -118.44059239
111  56.07711394 -118.44036876
111  56.07720801 -118.44047217
113  56.07713170 -118.44069718
110 1 0.00 0.0000 New Taxiway 6
111  56.07826812 -118.44026436
111  56.07846697 -118.44026544
111  56.07886280 -118.44006204
111  56.07903735 -118.44025159
111  56.07886375 -118.44076380
111  56.07852447 -118.44169887
111  56.07837203 -118.44196913
111  56.07818925 -118.44251725
112  56.07818925 -118.44251725  56.07799250 -118.44301710
111  56.07768837 -118.44278829
111  56.07710762 -118.44217420
111  56.07695385 -118.44200863
111  56.07677643 -118.44181759
111  56.07690984 -118.44142175
111  56.07712347 -118.44078788
111  56.07713170 -118.44069718
111  56.07720801 -118.44047217
111  56.07725820 -118.44032415
111  56.07732756 -118.44011961
111  56.07737996 -118.43996509
111  56.07744681 -118.43976797
111  56.07750525 -118.43959562
111  56.07756387 -118.43942275
