I
1050 Generated by WorldEditor 1.6.1r1

1    147 1 0 FACT Cape Town International Airport
100 46.00 1 0 0.00 0 2 1 16 -33.96138730  018.59746332    0   50 2 9 0 1 34 -33.97226850  018.61044546    0    0 2 9 0 1
100 61.00 1 0 0.00 1 2 1 01 -33.98773259  018.60886988    0   61 3 9 0 1 19 -33.95986918  018.60005347    0   59 3 9 0 1
110 2 0.00 0.0000 New Taxiway 7
111 -33.97670830  018.59811465
111 -33.97693028  018.59821255
111 -33.97694668  018.59815511
111 -33.97743024  018.59836559
111 -33.97727871  018.59887000
111 -33.97657891  018.59855721
113 -33.97661567  018.59843147
110 2 0.00 0.0000 New Taxiway 7
111 -33.97701863  018.59561954
111 -33.97725046  018.59572138
111 -33.97725543  018.59570620
111 -33.97748190  018.59580920
111 -33.97766521  018.59589257
111 -33.97756810  018.59621861
111 -33.97738368  018.59613999
111 -33.97733443  018.59628773
111 -33.97712774  018.59619732
111 -33.97714911  018.59612184
111 -33.97698464  018.59605375
111 -33.97695903  018.59614973
111 -33.97690159  018.59612792
111 -33.97687131  018.59623007
111 -33.97643648  018.59603442
111 -33.97656112  018.59562318
111 -33.97671023  018.59568853
111 -33.97692582  018.59578302
113 -33.97696227  018.59579900
110 2 0.00 0.0000 New Taxiway 7
111 -33.97921204  018.59898095
111 -33.97972720  018.59920085
111 -33.97979267  018.59899207
111 -33.97989005  018.59903568
111 -33.97975938  018.59948359
113 -33.97913379  018.59924018
110 2 0.00 0.0000 New Taxiway 7
111 -33.97904597  018.59753505
111 -33.97927830  018.59762883
111 -33.97930149  018.59754839
111 -33.97998823  018.59784210
111 -33.97986755  018.59824162
113 -33.97895428  018.59785303
110 2 0.00 0.0000 New Taxiway 7
111 -33.97779140  018.59592176
111 -33.97831210  018.59615858
111 -33.97822280  018.59646427
113 -33.97769405  018.59623553
110 2 0.00 0.0000 New Taxiway 7
111 -33.97781747  018.59687074
111 -33.97812861  018.59700861
111 -33.97805364  018.59724678
113 -33.97774268  018.59710893
110 2 0.00 0.0000 New Taxiway 7
111 -33.97742933  018.59679230
111 -33.97775121  018.59692935
111 -33.97770518  018.59707380
111 -33.97761663  018.59735165
113 -33.97730509  018.59721170
110 2 0.00 0.0000 New Taxiway 11
111 -33.98536621  018.60349331
111 -33.98548556  018.60309823
111 -33.98552392  018.60311361
111 -33.98560518  018.60284184
111 -33.98575716  018.60291029
111 -33.98567973  018.60316460
111 -33.98597793  018.60328408
113 -33.98586050  018.60369715
110 2 0.00 0.0000 New Taxiway 10
111 -33.98393626  018.60262894
111 -33.98407051  018.60216822
111 -33.98509802  018.60261459
111 -33.98503136  018.60284761
111 -33.98509498  018.60288057
111 -33.98511146  018.60282889
111 -33.98516613  018.60285566
111 -33.98521239  018.60270393
111 -33.98539087  018.60277984
111 -33.98535073  018.60292868
111 -33.98541627  018.60295459
111 -33.98539997  018.60300845
111 -33.98543949  018.60302650
111 -33.98534075  018.60334299
111 -33.98530551  018.60332888
111 -33.98528431  018.60340757
111 -33.98521704  018.60337922
111 -33.98520337  018.60342710
111 -33.98511684  018.60339034
111 -33.98512727  018.60334306
111 -33.98504422  018.60330899
111 -33.98505186  018.60328041
111 -33.98498491  018.60325052
111 -33.98499862  018.60320564
111 -33.98496677  018.60319215
113 -33.98499913  018.60308103
110 2 0.00 0.0000 New Taxiway 7
111 -33.98268433  018.60130768
111 -33.98277268  018.60132618
111 -33.98316982  018.60146407
111 -33.98342780  018.60120735
111 -33.98400903  018.60147896
111 -33.98367195  018.60266260
111 -33.98313735  018.60241745
111 -33.98302955  018.60251099
111 -33.98293144  018.60237306
111 -33.98250843  018.60220904
111 -33.98252036  018.60217028
111 -33.98240752  018.60212269
111 -33.98246500  018.60192014
113 -33.98250646  018.60192541
110 2 0.00 0.0000 New Taxiway 7
111 -33.98000056  018.59666092
111 -33.98029736  018.59679653
111 -33.98008679  018.59751521
113 -33.97977949  018.59739307
110 2 0.00 0.0000 New Taxiway 7
111 -33.97860973  018.59491460
111 -33.97904747  018.59509950
111 -33.97901529  018.59520516
111 -33.97893179  018.59547929
113 -33.97849590  018.59530015
110 2 0.00 0.0000 New Taxiway 7
111 -33.97796093  018.59476403
111 -33.97847466  018.59498734
111 -33.97837976  018.59530396
113 -33.97787045  018.59508433
110 2 0.00 0.0000 New Taxiway 7
111 -33.97765694  018.59460608
111 -33.97795090  018.59472824
111 -33.97791983  018.59483240
113 -33.97762606  018.59470793
110 2 0.00 0.0000 New Taxiway 7
111 -33.97719549  018.59449956
111 -33.97741198  018.59459417
111 -33.97730408  018.59496427
113 -33.97708674  018.59487371
110 2 0.00 0.0000 New Taxiway 7
111 -33.97692125  018.59652668
111 -33.97733478  018.59670593
111 -33.97715254  018.59730601
111 -33.97704637  018.59726317
111 -33.97703814  018.59728858
113 -33.97673583  018.59714804
110 2 0.00 0.0000 New Taxiway 7
111 -33.97634157  018.59642986
111 -33.97683057  018.59663508
111 -33.97671646  018.59702147
113 -33.97623297  018.59681643
110 2 0.00 0.0000 New Taxiway 7
111 -33.97828327  018.59708590
111 -33.97843850  018.59715635
111 -33.97825223  018.59776084
113 -33.97810030  018.59769214
110 2 0.00 0.0000 New Taxiway 7
111 -33.97595736  018.59792010
111 -33.97604389  018.59795338
111 -33.97596453  018.59821168
113 -33.97588108  018.59817856
110 2 0.00 0.0000 New Taxiway 7
111 -33.97760241  018.59930011
111 -33.97776095  018.59936493
111 -33.97757553  018.59998369
113 -33.97741558  018.59991722
110 2 0.00 0.0000 New Taxiway 7
111 -33.97722700  018.59928114
111 -33.97730492  018.59931546
111 -33.97715198  018.59980888
113 -33.97707203  018.59977439
110 2 0.00 0.0000 New Taxiway 7
111 -33.97552390  018.59862346
111 -33.97558380  018.59842936
111 -33.97616722  018.59867630
111 -33.97615067  018.59873035
111 -33.97630523  018.59879840
111 -33.97632283  018.59874458
111 -33.97675360  018.59892659
111 -33.97671735  018.59905781
111 -33.97716416  018.59925347
111 -33.97714651  018.59931350
111 -33.97700276  018.59924769
111 -33.97687612  018.59965985
111 -33.97655123  018.59952369
111 -33.97657471  018.59943213
111 -33.97600397  018.59919310
113 -33.97610482  018.59886323
110 2 0.00 0.0000 New Taxiway 6
111 -33.97551991  018.59792337
111 -33.97554044  018.59785627
111 -33.97559140  018.59783624
111 -33.97564236  018.59786003
111 -33.97566212  018.59791638
111 -33.97564236  018.59798025
111 -33.97560131  018.59799995
113 -33.97553631  018.59797366
110 2 0.00 0.0000 New Taxiway 3
111 -33.97478167  018.59724660
111 -33.97478159  018.59730539
111 -33.97483964  018.59730644
111 -33.97484452  018.59824810
111 -33.97435415  018.59824433
111 -33.97435282  018.59807186
111 -33.97439847  018.59807221
113 -33.97439186  018.59724753
110 2 0.00 0.0000 New Taxiway 30
111 -33.96573629  018.59632362
111 -33.96578485  018.59611733
111 -33.96567592  018.59608040
111 -33.96574813  018.59575404
111 -33.96578364  018.59576842
111 -33.96581825  018.59564212
112 -33.96602383  018.59565507 -33.96608196  018.59566674
111 -33.96612887  018.59568668
111 -33.96614052  018.59567742
112 -33.96620326  018.59572368 -33.96621100  018.59572939
112 -33.96621798  018.59575523 -33.96621639  018.59577158
111 -33.96621423  018.59578445
111 -33.96738653  018.59617359
111 -33.96742889  018.59597640
111 -33.96767211  018.59605140
111 -33.96762968  018.59624946
111 -33.96856894  018.59656116
111 -33.96870978  018.59593261
111 -33.97021198  018.59641125
111 -33.97010072  018.59691097
111 -33.97025224  018.59696332
111 -33.97022206  018.59710858
111 -33.97124327  018.59726218
111 -33.97178714  018.59743785
111 -33.97178294  018.59746010
111 -33.97188613  018.59749277
111 -33.97183869  018.59770612
111 -33.97201240  018.59776001
111 -33.97199273  018.59786283
111 -33.97209203  018.59789224
111 -33.97210196  018.59784441
111 -33.97225057  018.59788915
111 -33.97223937  018.59795138
111 -33.97261595  018.59806722
111 -33.97264855  018.59792202
111 -33.97278662  018.59796815
111 -33.97268327  018.59842687
111 -33.97309936  018.59855173
111 -33.97307634  018.59867154
111 -33.97211634  018.59836044
111 -33.97210238  018.59843244
111 -33.97159027  018.59827415
111 -33.97160250  018.59821585
111 -33.97153012  018.59819301
111 -33.97147418  018.59843507
111 -33.96971888  018.59788862
111 -33.96978075  018.59764556
111 -33.96950474  018.59755956
111 -33.96949090  018.59763102
111 -33.96891309  018.59744356
111 -33.96892919  018.59737428
111 -33.96848482  018.59722963
111 -33.96847558  018.59726936
111 -33.96748783  018.59694839
113 -33.96749913  018.59689076
111 -33.97026036  018.59720587
111 -33.97021668  018.59737567
111 -33.97033025  018.59741774
111 -33.97024908  018.59777843
111 -33.97100794  018.59802583
111 -33.97106035  018.59778917
111 -33.97095678  018.59776137
111 -33.97102171  018.59748051
111 -33.97117245  018.59753571
113 -33.97122007  018.59734251
110 2 0.00 0.0000 New Taxiway 29
111 -33.96343375  018.59427380
111 -33.96461226  018.59452338
111 -33.96446485  018.59554703
113 -33.96327977  018.59530510
110 2 0.00 0.0000 New Taxiway 29
111 -33.96100869  018.59425289
111 -33.96245167  018.59455712
111 -33.96241855  018.59478891
111 -33.96256680  018.59482032
111 -33.96260290  018.59458786
111 -33.96282150  018.59463913
111 -33.96271682  018.59535664
111 -33.96121661  018.59505068
