A
1050 Generated by WorldEditor 1.6.1r1

1    850 0 0 KASW WARSAW MUNI
100 30.48 1 0 0.25 0 3 0 09  41.27241286 -085.84625205    0    0 2 0 0 1 27  41.27275813 -085.82435544  275    0 3 0 0 1
100 22.86 1 0 0.25 0 2 0 18  41.28338921 -085.84727495    0  118 2 0 0 0 36  41.27236079 -085.84706707    0  177 2 0 0 0
110 2 0.00 0.0000 New Taxiway 49
111  41.27544063 -085.84059526
111  41.27536433 -085.84059526
111  41.27536433 -085.84060756
111  41.27498272 -085.84059372
111  41.27498942 -085.84022316
111  41.27537230 -085.84022685
111  41.27536952 -085.84041144
113  41.27544180 -085.84041251
110 2 0.00 0.0000 New Taxiway 48
111  41.27589689 -085.84061701
111  41.27589986 -085.84023010
111  41.27596763 -085.84023105
111  41.27596720 -085.84025455
111  41.27610889 -085.84025455
111  41.27624049 -085.84025455
111  41.27623501 -085.84063212
111  41.27595797 -085.84062455
113  41.27595630 -085.84061772
110 2 0.00 0.0000 New Taxiway 38
111  41.27788738 -085.84515539
111  41.27784564 -085.84515539
111  41.27784644 -085.84517783
111  41.27768106 -085.84517783
111  41.27768186 -085.84505818
111  41.27777017 -085.84505728
113  41.27788420 -085.84505611
110 2 0.00 0.0000 New Taxiway 37
111  41.27788659 -085.84481649
111  41.27785189 -085.84481714
111  41.27781146 -085.84481593
111  41.27774497 -085.84481393
111  41.27774497 -085.84472419
111  41.27776906 -085.84472548
111  41.27777002 -085.84468445
113  41.27788562 -085.84468317
110 2 0.00 0.0000 New Taxiway 36
111  41.27805807 -085.84481777
111  41.27802340 -085.84481739
111  41.27798295 -085.84481694
111  41.27794150 -085.84481649
111  41.27794150 -085.84468317
113  41.27805807 -085.84468189
110 2 0.00 0.0000 New Taxiway 32
111  41.27872028 -085.84443264
111  41.27863912 -085.84443219
111  41.27852580 -085.84443157
111  41.27852545 -085.84430917
111  41.27860928 -085.84431082
113  41.27872100 -085.84431107
110 2 0.00 0.0000 New Taxiway 31
111  41.27827449 -085.84394465
111  41.27818338 -085.84394387
111  41.27814523 -085.84394355
111  41.27807007 -085.84394291
111  41.27802964 -085.84394256
111  41.27795794 -085.84394195
111  41.27791748 -085.84394160
111  41.27784811 -085.84394101
111  41.27780535 -085.84394065
111  41.27776400 -085.84394029
111  41.27776451 -085.84374093
111  41.27786318 -085.84374228
111  41.27790708 -085.84374288
111  41.27797761 -085.84374384
111  41.27802153 -085.84374444
111  41.27809208 -085.84374540
111  41.27813598 -085.84374600
111  41.27820306 -085.84374691
113  41.27827650 -085.84374792
110 2 0.00 0.0000 New Taxiway 30
111  41.27889920 -085.84404615
111  41.27889823 -085.84399359
111  41.27862962 -085.84398594
111  41.27844864 -085.84398079
111  41.27845123 -085.84375644
111  41.27895700 -085.84376285
111  41.27895554 -085.84385728
111  41.27909604 -085.84385835
113  41.27909476 -085.84404615
110 2 0.00 0.0000 New Taxiway 29
111  41.27942912 -085.84418195
111  41.27934402 -085.84412212
111  41.27936695 -085.84406504
111  41.27938918 -085.84400972
111  41.27941067 -085.84395623
111  41.27942562 -085.84391904
111  41.27943072 -085.84390633
111  41.27947728 -085.84393838
111  41.27945240 -085.84400675
113  41.27949013 -085.84403025
110 2 0.00 0.0000 New Taxiway 28
111  41.27931672 -085.84446931
111  41.27922601 -085.84442765
111  41.27926566 -085.84427603
111  41.27927846 -085.84422709
