I
1100 Generated by WorldEditor 1.6.1r1

1    283 1 0 EGBO Wolverhampton
1302 city Wolverhampton
1302 country United Kingdom
1302 datum_lat 52.517713889
1302 datum_lon -2.259783333
1302 faa_code 
1302 iata_code 
1302 icao_code EGBO
1302 region_code EG
1302 state England
1302 transition_alt 6000
1302 transition_level 
100 29.87 1 1 0.00 0 1 0 16  52.52205600 -002.26299200  197    0 2 0 0 0 34  52.51292293 -002.25627312  139    0 2 0 0 0
100 22.86 1 1 0.00 0 0 0 10  52.51734652 -002.26933068  141    0 2 0 0 0 28  52.51624345 -002.25420517  108    0 2 0 0 0
100 14.94 3 0 0.00 0 0 0 10L  52.51668517 -002.26505098    0    0 0 0 0 0 28R  52.51630887 -002.25987193    0    0 0 0 0 0
100 17.98 1 0 0.00 0 0 0 04  52.51555599 -002.26754517  121    0 2 0 0 0 22  52.52016531 -002.26191315    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 46
111  52.51471959 -002.26336379
111  52.51467169 -002.26257674
111  52.51474145 -002.26256673
111  52.51487829 -002.26254710
111  52.51493409 -002.26253910
111  52.51498407 -002.26331931
111  52.51493072 -002.26332828
113  52.51477936 -002.26335374
110 1 0.00 0.0000 New Taxiway 45
111  52.51743612 -002.26930930
111  52.51718222 -002.26571711
111  52.52020755 -002.26201930
111  52.52018632 -002.26196986
111  52.52022814 -002.26199413
111  52.52044194 -002.26218018
111  52.51731050 -002.26598964
111  52.51747247 -002.26819744
111  52.51760263 -002.26842084
111  52.51781955 -002.26840183
111  52.51792802 -002.26855868
113  52.51749651 -002.26934524
110 2 0.00 0.0000 New Taxiway 48
111  52.51443287 -002.26477023
111  52.51438255 -002.26397462
111  52.51443423 -002.26396518
111  52.51458608 -002.26393746
111  52.51464807 -002.26392614
111  52.51470360 -002.26473031
111  52.51464122 -002.26473951
113  52.51449695 -002.26476078
110 2 0.00 0.0000 New Taxiway 47
111  52.51480599 -002.26471035
111  52.51475393 -002.26391188
111  52.51481390 -002.26390240
111  52.51496484 -002.26387855
111  52.51502465 -002.26386910
111  52.51507151 -002.26465902
111  52.51500820 -002.26467210
113  52.51485724 -002.26470329
110 1 0.00 5.0000 New Taxiway 27
111  52.51582432 -002.26368724 20
111  52.51581450 -002.26349173 20
111  52.51593261 -002.26347404 20
113  52.51594196 -002.26367202 20
110 1 0.00 0.0000 Main Apron
111  52.51533381 -002.26314278
111  52.51531602 -002.26284279
111  52.51525074 -002.26285095
111  52.51524188 -002.26271344
111  52.51530810 -002.26270557
111  52.51528981 -002.26242326
111  52.51573448 -002.26234588
113  52.51577890 -002.26306053
110 1 0.00 35.0000 Taxiway Alpha 04/10
111  52.51566752 -002.26835511
112  52.51545095 -002.26823369  52.51540415 -002.26829093
111  52.51545095 -002.26823369
111  52.51527412 -002.26788328
111  52.51555599 -002.26754517
111  52.51560390 -002.26764789
111  52.51694927 -002.26600459
111  52.51719702 -002.26935534
111  52.51743612 -002.26930930
111  52.51749651 -002.26934524
111  52.51728960 -002.26968289
112  52.51722373 -002.26977307  52.51717431 -002.26982973
112  52.51706702 -002.26992226  52.51701063 -002.26995566
111  52.51706702 -002.26992226
112  52.51706702 -002.26992226  52.51695425 -002.26998906
111  52.51619090 -002.27038841
111  52.51614888 -002.27021674
