I
1050 Generated by WorldEditor 2.1.0r1

1    553 1 0 HECW Cairo West Airbase
1302 city El Cairo
1302 country Egypt
1302 datum_lat 30.116361111
1302 datum_lon 30.915444444
1302 iata_code CWE
1302 icao_code HECW
1302 region_code HE
1302 state Giza Governorate
1302 transition_alt 4500
100 60.00 1 0 0.25 0 1 0 16L  30.13236110  030.91084440    0  297 3 7 0 1 34R  30.10590830  030.91861940   42  305 3 1 0 1
100 38.00 1 0 0.25 0 1 0 10  30.11887500  030.90587780    0  334 3 0 0 1 28  30.11121390  030.93611940    0  312 3 7 0 1
110 2 0.00 84.0000 New Taxiway 68
111  30.13552447  030.91583513
111  30.13543394  030.91554697
111  30.13522291  030.91564576
111  30.13518231  030.91575279
111  30.13503197  030.91581747
111  30.13508023  030.91596582
111  30.13523057  030.91590113
113  30.13531381  030.91593076
110 2 0.00 84.0000 New Taxiway 65
111  30.13425864  030.90583529
111  30.13432716  030.90572571
111  30.13494706  030.90624013
111  30.13495593  030.90674393
111  30.13548710  030.90613367
111  30.13535078  030.90611037
111  30.13502181  030.90612059
111  30.13440191  030.90560616
111  30.13446306  030.90550837
111  30.13422171  030.90530732
111  30.13404165  030.90529810
111  30.13395851  030.90543106
113  30.13401729  030.90563424
110 2 0.00 84.0000 New Taxiway 65
111  30.13487944  030.90346852
111  30.13495558  030.90336588
111  30.13630533  030.90471064
111  30.13630725  030.90519141
111  30.13667314  030.90477103
111  30.13651595  030.90472576
111  30.13503864  030.90325391
111  30.13510658  030.90316231
111  30.13488047  030.90293883
111  30.13470169  030.90291239
111  30.13460931  030.90303693
113  30.13465333  030.90324505
110 2 0.00 84.0000 New Taxiway 65
111  30.13753578  030.90521812
111  30.13748382  030.90533927
111  30.13678753  030.90494401
111  30.13679001  030.90480528
111  30.13636071  030.90529850
111  30.13690249  030.90517360
111  30.13742713  030.90547142
111  30.13738075  030.90557954
111  30.13764745  030.90573185
111  30.13782636  030.90570664
111  30.13788942  030.90555966
113  30.13780248  030.90537044
110 2 0.00 84.0000 New Taxiway 65
111  30.13961980  030.92578043
111  30.13954118  030.92588055
111  30.13945542  030.92598977
111  30.13938526  030.92607912
111  30.13960582  030.92630990
111  30.13978389  030.92634217
111  30.13987927  030.92622070
113  30.13984036  030.92601121
110 2 0.00 84.0000 New Taxiway 65
111  30.13874351  030.92736730
111  30.13863251  030.92740986
111  30.13851142  030.92745630
111  30.13841235  030.92749428
111  30.13850645  030.92782057
111  30.13864785  030.92794981
111  30.13878254  030.92789817
113  30.13883761  030.92769359
110 2 0.00 84.0000 New Taxiway 65
111  30.13460092  030.92737169
111  30.13448406  030.92737714
111  30.13446649  030.92680891
111  30.13452175  030.92659776
111  30.13458255  030.92640502
111  30.13471548  030.92612800
111  30.13444725  030.92642322
111  30.13432858  030.92647732
111  30.13435659  030.92738308
