I
1000 Generated by WorldEditor

1   5916 0 0 KGWS Glenwood Springs Municipal Airport
100 15.24 1 0 0.25 0 0 0 14  39.51005558 -107.31174536    1    0 2 0 0 0 32  39.50191352 -107.30657141    0    0 2 0 0 0
110 1 0.00 0.0000 New Taxiway 115
111  39.51030915 -107.31105975
111  39.51036082 -107.31093000
111  39.51069666 -107.31114346
113  39.51064176 -107.31127740
110 1 0.00 0.0000 New Taxiway 117
111  39.50716150 -107.30906738
111  39.50718335 -107.30900782
111  39.50720971 -107.30902247
111  39.50722854 -107.30897170
111  39.50728503 -107.30900685
111  39.50726545 -107.30905371
111  39.50729031 -107.30907714
113  39.50726846 -107.30913376
110 1 0.00 0.0000 New Taxiway 121
111  39.50462310 -107.30753935
111  39.50469592 -107.30738513
111  39.50490194 -107.30753705
113  39.50482557 -107.30768897
110 1 0.00 0.0000 New Taxiway 120
111  39.50582646 -107.30827529
111  39.50589544 -107.30810788
111  39.50614791 -107.30829622
113  39.50608186 -107.30845412
110 1 0.00 0.0000 New Taxiway 119
111  39.50644432 -107.30892023
111  39.50660273 -107.30846285
111  39.50673607 -107.30855121
113  39.50656363 -107.30899820
110 1 0.00 0.0000 New Taxiway 118
111  39.50672905 -107.30862787
111  39.50682930 -107.30869284
111  39.50669296 -107.30904368
113  39.50658669 -107.30897221
110 1 0.00 0.0000 New Taxiway 116
111  39.50745366 -107.30907727
111  39.50757798 -107.30915393
111  39.50751582 -107.30931506
113  39.50739552 -107.30923319
110 1 0.00 0.0000 New Taxiway 115
111  39.50838963 -107.30980352
111  39.50844129 -107.30967377
111  39.50877713 -107.30988723
113  39.50872224 -107.31002117
110 1 0.00 0.0000 New Taxiway 115
111  39.50877495 -107.31005170
111  39.50882662 -107.30992195
111  39.50916246 -107.31013541
113  39.50910756 -107.31026935
110 1 0.00 0.0000 New Taxiway 115
111  39.50916264 -107.31030294
111  39.50921430 -107.31017319
111  39.50955014 -107.31038666
113  39.50949525 -107.31052059
110 1 0.00 0.0000 New Taxiway 115
111  39.50954087 -107.31055725
111  39.50959254 -107.31042750
111  39.50992837 -107.31064097
113  39.50987348 -107.31077490
110 1 0.00 0.0000 New Taxiway 115
111  39.50992856 -107.31080544
111  39.50998022 -107.31067569
111  39.51031606 -107.31088915
113  39.51026117 -107.31102309
110 1 0.00 0.0000 New Taxiway 16
111  39.51002135 -107.31181940
111  39.50995806 -107.31197548
111  39.50986544 -107.31191460
112  39.50984547 -107.31189614  39.50983188 -107.31187967
111  39.50981880 -107.31182576
113  39.50978089 -107.31166788
110 2 0.00 0.0000 Taxiway 1
111  39.51003779 -107.31163892
111  39.51017344 -107.31130512
112  39.51018229 -107.31123711  39.51017904 -107.31121099
111  39.51013938 -107.31118906
111  39.50829282 -107.30998165
111  39.50825893 -107.31006703
111  39.50774639 -107.30969983
111  39.50778972 -107.30957728
111  39.50764092 -107.30946792
111  39.50748401 -107.30951988
111  39.50734257 -107.30992432
111  39.50728384 -107.30988588
111  39.50732900 -107.30974956
112  39.50733025 -107.30966138  39.50732170 -107.30963388
112  39.50729994 -107.30961091  39.50729806 -107.30960973
111  39.50637440 -107.30903755
112  39.50634699 -107.30904889  39.50633984 -107.30906418
111  39.50633814 -107.30906917
112  39.50631163 -107.30915545  39.50630662 -107.30917816
111  39.50630825 -107.30926752
111  39.50619650 -107.30919749
112  39.50624704 -107.30916662  39.50626062 -107.30914531
111  39.50629707 -107.30904435
112  39.50630461 -107.30901133  39.50630496 -107.30899512
111  39.50629648 -107.30898245
111  39.50569654 -107.30860584
111  39.50561335 -107.30884241
111  39.50508651 -107.30851052
111  39.50518830 -107.30826522
112  39.50518908 -107.30822298  39.50518594 -107.30820941
111  39.50516245 -107.30819294
111  39.50338971 -107.30707290
112  39.50287225 -107.30676605  39.50281754 -107.30674322
112  39.50248002 -107.30664622  39.50243605 -107.30664283
111  39.50213761 -107.30662342
111  39.50200263 -107.30653913
112  39.50245929 -107.30658054  39.50251111 -107.30658868
112  39.50288318 -107.30671191  39.50297276 -107.30675313
111  39.50352022 -107.30708928
111  39.50356226 -107.30699025
111  39.50465538 -107.30767594
111  39.50468365 -107.30760733
111  39.50482611 -107.30771419
111  39.50478673 -107.30781524
112  39.50481678 -107.30790508  39.50481925 -107.30790740
111  39.50515098 -107.30811266
111  39.50518271 -107.30804132
111  39.50554023 -107.30830140
111  39.50551009 -107.30837781
111  39.50558453 -107.30842571
111  39.50561796 -107.30834119
111  39.50575034 -107.30842985
111  39.50571105 -107.30852636
111  39.50681551 -107.30923304
111  39.50687996 -107.30904542
111  39.50715677 -107.30908784
111  39.50739290 -107.30925131
111  39.50751996 -107.30932842
111  39.50756913 -107.30918504
111  39.50837476 -107.30973637
111  39.50836712 -107.30975833
111  39.50840283 -107.30978376
111  39.50838943 -107.30981745
111  39.51064094 -107.31129873
111  39.51057703 -107.31146428
111  39.51029879 -107.31128488
112  39.51025195 -107.31127561  39.51023786 -107.31128275
111  39.51021619 -107.31130978
113  39.51007583 -107.31166481
130 Airport Boundary
111  39.51044237 -107.31053702
112  39.51047294 -107.31055791  39.51048618 -107.31056985
111  39.51046800 -107.31060668
112  39.51044639 -107.31078871  39.51045214 -107.31084095
112  39.51049010 -107.31088172  39.51050162 -107.31089963
111  39.51067598 -107.31100174
111  39.51049079 -107.31157783
112  39.51047601 -107.31183348  39.51049962 -107.31194915
111  39.51058776 -107.31209816
111  39.51055358 -107.31215541
112  39.51033590 -107.31201084  39.51030308 -107.31199517
112  39.51008072 -107.31191731  39.51006229 -107.31191134
112  39.50996325 -107.31194474  39.50991028 -107.31193504
111  39.50957300 -107.31169324
112  39.50954623 -107.31169268  39.50952922 -107.31169365
111  39.50951425 -107.31170186
111  39.50921249 -107.31211591
111  39.50903570 -107.31171841
111  39.50901189 -107.31173556
111  39.50885538 -107.31140651
112  39.50856678 -107.31123787  39.50849874 -107.31124096
111  39.50814148 -107.31154352
111  39.50804359 -107.31135150
111  39.50802256 -107.31091478
111  39.50837164 -107.31090917
111  39.50687422 -107.30990448
111  39.50685042 -107.31037081
111  39.50594032 -107.31041195
111  39.50590845 -107.30925649
111  39.50560088 -107.30920841
111  39.50560869 -107.30903286
111  39.50509544 -107.30873455
111  39.50392872 -107.30809678
111  39.50271174 -107.30728416
111  39.50132808 -107.30640984
111  39.50156883 -107.30567267
111  39.50219849 -107.30592639
112  39.50293316 -107.30613632  39.50288100 -107.30612103
111  39.50349219 -107.30633098
111  39.50461658 -107.30686244
112  39.50564573 -107.30736305  39.50569580 -107.30738949
112  39.50576544 -107.30748458  39.50578862 -107.30753145
111  39.50588675 -107.30757189
111  39.50680715 -107.30814141
113  39.50729130 -107.30847402
120 Linear Feature 13
111  39.50733425 -107.30971293 4
115  39.50740136 -107.30975497
120 Linear Feature 14
111  39.50255667 -107.30660601 4
115  39.50255074 -107.30666149
120 Linear Feature 12
111  39.50733111 -107.30985500 1
115  39.50737225 -107.30973438
120 Linear Feature 5
111  39.50516562 -107.30833199 4
115  39.50567719 -107.30865901
120 Linear Feature 11
111  39.50627884 -107.30917432 1
112  39.50614371 -107.30924293  39.50606763 -107.30919595 1
115  39.50563832 -107.30892257
120 Linear Feature 10
111  39.50733111 -107.30985498 1
112  39.50718117 -107.30990351  39.50708181 -107.30984180 1
111  39.50632002 -107.30935910 1
116  39.50627932 -107.30917159  39.50632924 -107.30904938
120 Linear Feature 9
111  39.50788369 -107.31035512 1
112  39.50737626 -107.31003017  39.50737704 -107.31003065 1
116  39.50733111 -107.30985498  39.50736124 -107.30973672
14  39.50532378 -107.30777054  82.02 0 Tower Viewpoint
1300  39.50792046 -107.30947781 -120.31 misc props GA 04
1300  39.50815573 -107.30961786 -117.82 misc props GA 02
1300  39.50824615 -107.30967746 -119.95 misc props GA 01
1300  39.50803464 -107.30955032 -115.73 misc props GA 03
19  39.51021898 -107.31158978 1 WS
19  39.50145099 -107.30635170 1 WS
51 12300 CTAF/UNICOM
99
