I
1050 Generated by WorldEditor 2.1.0r1

1   1386 0 0 KMKN Comanche Co City Rgnl
100 22.86 1 0 0.25 0 2 0 17  31.92649092 -098.59938307    0    0 2 0 0 0 35  31.91413128 -098.59903802    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 29
111  31.91415864 -098.60004349
111  31.91397040 -098.60003615
111  31.91397870 -098.59978259
111  31.91416971 -098.59978667
113  31.91415933 -098.60003941
110 2 0.00 0.0000 New Taxiway 28
111  31.91504281 -098.60043692
111  31.91490435 -098.60043419
111  31.91491060 -098.60015752
113  31.91504975 -098.60016182
110 2 0.00 0.0000 New Taxiway 27
111  31.91469406 -098.60025116
111  31.91469088 -098.60041671
111  31.91397957 -098.60039968
111  31.91397961 -098.60037817
111  31.91332242 -098.60035743
111  31.91332563 -098.60017807
111  31.91397587 -098.60019951
111  31.91397588 -098.60019195
111  31.91420274 -098.60019758
113  31.91420300 -098.60023493
110 1 0.00 0.0000 New Taxiway 1
111  31.91432923 -098.59912308
112  31.91422051 -098.59922511  31.91419780 -098.59927944
111  31.91422051 -098.59922511
111  31.91420405 -098.59964953
112  31.91420405 -098.59964953  31.91421686 -098.59969058
111  31.91426859 -098.59970843
111  31.91506051 -098.59973577
111  31.91504975 -098.60016182
111  31.91504281 -098.60043692
111  31.91490435 -098.60043419
111  31.91489911 -098.60043409
111  31.91489716 -098.60057346
111  31.91361097 -098.60053606
112  31.91361097 -098.60053606  31.91343968 -098.60053130
111  31.91332078 -098.60044924
111  31.91332242 -098.60035743
111  31.91332563 -098.60017807
111  31.91332951 -098.59996107
111  31.91348174 -098.59996414
112  31.91348174 -098.59996414  31.91348805 -098.59996145
111  31.91349098 -098.59995156
111  31.91349788 -098.59969234
112  31.91349788 -098.59969234  31.91349820 -098.59968548
111  31.91350440 -098.59968546
111  31.91404552 -098.59970179
112  31.91404552 -098.59970179  31.91410960 -098.59970102
111  31.91410934 -098.59961896
113  31.91412910 -098.59911535
110 1 0.00 0.0000 New Taxiway 2
111  31.92648957 -098.59945040
111  31.92647976 -098.60006683
111  31.92631533 -098.60005822
111  31.92632007 -098.59966502
112  31.92632007 -098.59966502  31.92628754 -098.59948794
112  31.92611539 -098.59944298  31.92610155 -098.59941525
113  31.92611539 -098.59944298
130 Airport Boundary
111  31.91210317 -098.60063950
111  31.91212618 -098.59834542
111  31.91337848 -098.59800408
111  31.91352309 -098.59807343
111  31.92786389 -098.59831148
111  31.92788373 -098.60048772
111  31.91763174 -098.60033016
111  31.92153152 -098.60514910
111  31.92083117 -098.60593358
113  31.91645996 -098.60075809
120 Linear Feature 26
111  31.92648441 -098.59977428 4
115  31.92631877 -098.59977235
120 Linear Feature 23
111  31.91487296 -098.59993782 1
115  31.91487142 -098.59999796
120 Linear Feature 22
111  31.91491078 -098.59999948 1
115  31.91483449 -098.59999652
120 Linear Feature 21
111  31.91481097 -098.59994629 1
115  31.91481107 -098.59988493
120 Linear Feature 20
111  31.91484992 -098.59988589 1
115  31.91477356 -098.59988400
120 Linear Feature 19
111  31.91474914 -098.59993326 1
115  31.91474909 -098.59999307
120 Linear Feature 18
111  31.91471102 -098.59999128 1
115  31.91478553 -098.59999478
120 Linear Feature 17
111  31.91468746 -098.59994170 1
115  31.91468800 -098.59988093
120 Linear Feature 16
111  31.91472611 -098.59988212 1
115  31.91464992 -098.59987971
120 Linear Feature 15
111  31.91462548 -098.59992865 1
115  31.91462543 -098.59998813
120 Linear Feature 14
111  31.91466370 -098.59998928 1
115  31.91458785 -098.59998698
120 Linear Feature 13
111  31.91460244 -098.59987776 1
115  31.91452647 -098.59987543
120 Linear Feature 12
111  31.91456347 -098.59993927 1
115  31.91456422 -098.59987660
120 Linear Feature 11
111  31.91443890 -098.59993256 1
115  31.91444018 -098.59987185
120 Linear Feature 10
111  31.91440161 -098.59987027 1
115  31.91447821 -098.59987336
120 Linear Feature 9
111  31.91432433 -098.59984007 1
115  31.91432161 -098.59997873
120 Linear Feature 8
111  31.91439337 -098.59998006 1
115  31.91424992 -098.59997738
120 Linear Feature 7
111  31.91450144 -098.59992324 1
115  31.91450154 -098.59998362
120 Linear Feature 6
111  31.91453812 -098.59998485 1
115  31.91446176 -098.59998229
120 Linear Feature 4
111  31.91420279 -098.59916720 1
112  31.91417100 -098.59926941  31.91416911 -098.59931246
111  31.91417100 -098.59926941 1
115  31.91415173 -098.59970675
120 Linear Feature 25
111  31.92639813 -098.59996201 1
111  31.92640552 -098.59961360
112  31.92640552 -098.59961360  31.92640281 -098.59956789 1
116  31.92637755 -098.59949944  31.92635985 -098.59947628
120 Linear Feature 3
111  31.91421209 -098.59943664 4
115  31.91411654 -098.59943534
21  31.91547408 -098.59939122 2 357.7910 3.00 35 PAPI-4L
21  31.92518332 -098.59902795 3 180.0000 3.00 17  PAPI-4R
14  31.91442557 -098.60066982  19.69 0 Tower
1300  31.91337386 -098.60020746  88.21 hangar props Hangar 5-03
1301 A none 
1300  31.91345911 -098.60033526 -90.00 hangar props Hangar 5-02
1301 A none 
1300  31.91353691 -098.60020749  90.00 hangar props Hangar 5-01
1301 A none 
1300  31.91363630 -098.60022008  87.82 hangar props Hangar 4-05
1301 A none 
1300  31.91370804 -098.60034728 270.00 hangar props Hangar 4-04
1301 A none 
1300  31.91379079 -098.60022370  90.00 hangar props Hangar 4-03
1301 A none 
1300  31.91386957 -098.60034970 267.80 hangar props Hangar 4-02
1301 A none 
1300  31.91393821 -098.60023132  90.00 hangar props Hangar 4-01
1301 A none 
1300  31.91402434 -098.60022354  90.00 hangar props Hangar 3-03
1301 A none 
1300  31.91408697 -098.60037318 -90.00 hangar props Hangar 3-02
1301 A none 
1300  31.91415829 -098.60022062  90.00 hangar props Hangar 3-01
1301 A none 
1300  31.91487142 -098.59999796 -91.85 tie_down props Tie-Down 09
1301 A general_aviation 
1300  31.91481107 -098.59988493  90.00 tie_down props Tie-Down 08
1301 A general_aviation 
1300  31.91474909 -098.59999307 -90.00 tie_down props Tie-Down 07
1301 A general_aviation 
1300  31.91468800 -098.59988093  90.00 tie_down props Tie-Down 06
1301 A general_aviation 
1300  31.91462543 -098.59998813 -90.00 tie_down props Tie-Down 05
