A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     2941 0 0 KSGU [X] St George Muni
100   29.87   1   0 0.00 0 0 1 16   37.09965032 -113.59303424   59.13   46.02 2  0 0 0 34   37.08153031 -113.59311600    0.00    0.00 2  0 0 0
110   1 0.00   0.00 xxx
111  37.08997015 -113.59380061 
111  37.08996209 -113.59380927   1 
111  37.08990170 -113.59380925   1 
111  37.08986702 -113.59383226   1 
111  37.08983641 -113.59386807   1 
111  37.08980989 -113.59392305   1 
111  37.08980785 -113.59406371   1 
111  37.08980599 -113.59428528 
111  37.08980272 -113.59495906 106 
111  37.08980140 -113.59514504 106 
111  37.08980140 -113.59528919 106 
111  37.08976854 -113.59534068 
111  37.08961598 -113.59522135 
111  37.08964489 -113.59512621 
111  37.08971175 -113.59518964 
111  37.08970994 -113.59497897 
111  37.08971230 -113.59410062 
111  37.08971366 -113.59368848   1 
111  37.08996868 -113.59368537 
113  37.08997557 -113.59369402 
110   1 0.00   0.00 xxx
111  37.09433225 -113.59229003 106 
111  37.09433414 -113.59154534 106 
111  37.09549389 -113.59154081 106 
111  37.09593085 -113.59154430 106 
111  37.09593051 -113.59228505 
111  37.09593281 -113.59242203   1 
113  37.09432824 -113.59243134 
110   1 0.00   0.00 xxx
111  37.08952432 -113.59232254 106 
111  37.08952199 -113.59180825 106 
111  37.08952058 -113.59139497 106 
111  37.08952173 -113.59137046 106 
111  37.08961281 -113.59137133 106 
111  37.08975677 -113.59137095 106 
111  37.08996422 -113.59136123 106 
111  37.08996720 -113.59132187 106 
111  37.08998668 -113.59129047 106 
111  37.09000895 -113.59125732 106 
111  37.09003817 -113.59123638 106 
111  37.09007435 -113.59122941 106 
111  37.09011193 -113.59122766 106 
111  37.09011610 -113.59133233 106 
111  37.09045575 -113.59132056 106 
111  37.09048351 -113.59132760 106 
111  37.09051106 -113.59135062 106 
111  37.09054168 -113.59136214 106 
111  37.09062434 -113.59137941 106 
111  37.09102491 -113.59144812 106 
111  37.09115961 -113.59147307 106 
111  37.09116114 -113.59150953 106 
111  37.09129279 -113.59152872 106 
111  37.09130906 -113.59161695 106 
111  37.09145908 -113.59167836 106 
111  37.09145295 -113.59205833 106 
111  37.09149825 -113.59207995 106 
111  37.09165236 -113.59210302 106 
111  37.09172482 -113.59211599 106 
111  37.09179267 -113.59221692 106 
111  37.09182124 -113.59225012   1 
111  37.09186426 -113.59227233   1 
111  37.09192498 -113.59229136   1 
111  37.09198824 -113.59230246   1 
111  37.09209956 -113.59230405   1 
111  37.09314163 -113.59230175   1 
111  37.09433245 -113.59229063 
111  37.09432865 -113.59243124   1 
111  37.09276273 -113.59243647   1 
111  37.09153856 -113.59244249   1 
111  37.09147022 -113.59244505   1 
111  37.09143776 -113.59246540   1 
111  37.09140789 -113.59249876   1 
111  37.09138193 -113.59256387   1 
111  37.09137998 -113.59262654   1 
111  37.09137868 -113.59274780   1 
111  37.09138940 -113.59278907   1 
111  37.09140590 -113.59282059   1 
111  37.09143104 -113.59285210   1 
111  37.09146324 -113.59287573   1 
111  37.09150016 -113.59289937 
111  37.09149938 -113.59291808 
111  37.09109754 -113.59291342 
111  37.09111396 -113.59290151   1 
111  37.09115544 -113.59287768   1 
111  37.09119000 -113.59285168   1 
111  37.09121851 -113.59280835   1 
111  37.09123320 -113.59277477   1 
111  37.09123580 -113.59272927   1 
111  37.09123666 -113.59261445   1 
111  37.09123407 -113.59256571   1 
111  37.09122197 -113.59253213   1 
111  37.09120382 -113.59249746   1 
111  37.09116667 -113.59246280   1 
111  37.09113729 -113.59244763   1 
111  37.09104096 -113.59244576   1 
111  37.09044500 -113.59244695   1 
113  37.08952511 -113.59246274 
110   1 0.00   0.00 xxx
111  37.08274837 -113.59295958 
111  37.08278497 -113.59293861   1 
111  37.08281633 -113.59292551   1 
111  37.08283829 -113.59291502   1 
