I
1050 Generated by WorldEditor 2.2.0r2

1     26 1 0 MUBA Baracoa/Gustavo Rizo
100 29.87 2 0 0.25 0 0 0 16  20.37272410 -074.50970998   49    0 3 0 0 0 34  20.35796604 -074.50239601   52    0 3 0 0 0
110 2 0.00 0.0000 New Taxiway 29
111  20.36868158 -074.50755706
111  20.36880074 -074.50727477
111  20.36995550 -074.50786413
113  20.36983978 -074.50813442
110 2 0.00 0.0000 New Taxiway 18
111  20.35907424 -074.50309981
112  20.35907424 -074.50309981  20.35889874 -074.50308380 3
111  20.35882504 -074.50319731 3
111  20.35866981 -074.50353037 3
111  20.35860573 -074.50366785
112  20.35860573 -074.50366785  20.35855169 -074.50381711 3
111  20.35867851 -074.50390032 3
111  20.35881916 -074.50397581 3
111  20.35858785 -074.50447410
111  20.35856841 -074.50451596
111  20.35827125 -074.50436075
111  20.35818646 -074.50453631
111  20.35780239 -074.50435100
111  20.35782443 -074.50410174
111  20.35788164 -074.50395530
111  20.35798360 -074.50395503 3
111  20.35812683 -074.50364770 3
111  20.35825296 -074.50370282 3
112  20.35849818 -074.50360895  20.35857854 -074.50344491
111  20.35849818 -074.50360895 3
111  20.35855691 -074.50347393 3
111  20.35870591 -074.50313136 3
112  20.35861447 -074.50286979  20.35846206 -074.50274294
113  20.35861447 -074.50286979
110 2 0.00 0.0000 New Taxiway 17
111  20.35828047 -074.50287711
111  20.35784233 -074.50266549
111  20.35805304 -074.50218647
113  20.35848025 -074.50240782
110 2 0.00 0.0000 New Taxiway 16
111  20.37265032 -074.50988347
111  20.37244582 -074.51034105
111  20.37202850 -074.51014419
111  20.37222920 -074.50970507
112  20.37220339 -074.50960411  20.37216330 -074.50956049
111  20.37220339 -074.50960411
111  20.37230975 -074.50935041
112  20.37230975 -074.50935041  20.37237229 -074.50936238
111  20.37240344 -074.50932384
111  20.37241921 -074.50928933
111  20.37282656 -074.50949152
111  20.37279164 -074.50956601
111  20.37292133 -074.50975932
111  20.37297666 -074.50993235
113  20.37293842 -074.51002990
130 Airport Boundary
111  20.37287618 -074.50948501
111  20.37316588 -074.51007242
111  20.37313715 -074.51045040
111  20.37279239 -074.51054489
111  20.37192093 -074.51016072
111  20.36036315 -074.50444579
111  20.35929263 -074.50503531
111  20.35917886 -074.50498383
111  20.35882031 -074.50489189
111  20.35856767 -074.50477636
111  20.35840715 -074.50519725
111  20.35774934 -074.50495455
111  20.35773737 -074.50477579
111  20.35730281 -074.50476312
111  20.35721950 -074.50444749
111  20.35709596 -074.50437701
111  20.35696380 -074.50422379
111  20.35686324 -074.50414412
111  20.35725420 -074.50262564
111  20.35754459 -074.50193324
111  20.35778018 -074.50194243
111  20.35877114 -074.50234376
111  20.35955903 -074.50266006
111  20.36787510 -074.50684671
111  20.36827641 -074.50673198
111  20.36932590 -074.50735336
111  20.37025675 -074.50773289
111  20.37039451 -074.50803033
113  20.37249965 -074.50911468
120 Runway Hold
111  20.35866981 -074.50353037 4
115  20.35855691 -074.50347393
120 Linear Feature 28
111  20.35822245 -074.50375785 1
111  20.35822900 -074.50374302 1
115  20.35823566 -074.50372790
120 Linear Feature 28
111  20.35805613 -074.50413309 1
111  20.35806284 -074.50411836 1
115  20.35806966 -074.50410337
120 Linear Feature 27
111  20.35867718 -074.50396696 1
111  20.35868297 -074.50395338 1
115  20.35868844 -074.50394058
120 Linear Feature 27
111  20.35849697 -074.50434965 1
111  20.35850281 -074.50433646 1
115  20.35850861 -074.50432335
120 Linear Feature 26
111  20.35819855 -074.50372862 1
115  20.35814311 -074.50370239
120 Linear Feature 25
111  20.35842386 -074.50391694 1
112  20.35826110 -074.50395782  20.35816568 -074.50391848
111  20.35826110 -074.50395782 1
111  20.35813601 -074.50390308
112  20.35813601 -074.50390308  20.35803980 -074.50385348 1
112  20.35819855 -074.50372862  20.35829156 -074.50375684
111  20.35819855 -074.50372862 1
111  20.35822900 -074.50374302 1
111  20.35829076 -074.50377223
112  20.35829076 -074.50377223  20.35843669 -074.50382953 1
115  20.35851399 -074.50371482
120 Linear Feature 24
111  20.35869491 -074.50395904 1
115  20.35878426 -074.50400415
120 Linear Feature 23
111  20.35842386 -074.50391694 1
112  20.35849130 -074.50406614  20.35856907 -074.50411318
111  20.35849130 -074.50406614 1
111  20.35861558 -074.50412686
112  20.35861558 -074.50412686  20.35870859 -074.50417219 1
112  20.35869491 -074.50395904  20.35860228 -074.50390327
111  20.35869491 -074.50395904 1
111  20.35868297 -074.50395338 1
111  20.35860831 -074.50391799
112  20.35860831 -074.50391799  20.35850327 -074.50385299 1
115  20.35851399 -074.50371482
120 Linear Feature 22
111  20.35833036 -074.50412658 1
112  20.35839320 -074.50428258  20.35847472 -074.50433675
111  20.35839320 -074.50428258 1
111  20.35850281 -074.50433646
111  20.35852804 -074.50434394
