I
1050 Generated by WorldEditor

1   1568 0 0 KREI REDLANDS MUNI
100 22.86 1 1 0.00 0 2 0 08  34.08522752 -117.15382814    0   60 0 0 0 1 26  34.08530561 -117.13894673    0   63 0 0 0 1
110 2 0.00 0.0000 New Taxiway 2
111  34.08374725 -117.14630481
111  34.08446977 -117.14631048
111  34.08446215 -117.14649257
113  34.08375256 -117.14648812
110 2 0.00 0.0000 New Taxiway 1
111  34.08375070 -117.14668408
111  34.08457049 -117.14668766
111  34.08456982 -117.14682125
114  34.08374780 -117.14682257  34.08375033 -117.14682257
110 2 0.00 0.0000 New Taxiway 4
111  34.08376430 -117.14554079
111  34.08458086 -117.14554599
111  34.08457728 -117.14565376
113  34.08375793 -117.14564264
110 2 0.00 0.0000 New Taxiway 3
111  34.08375252 -117.14587058
111  34.08457867 -117.14587341
111  34.08457154 -117.14611341
113  34.08374693 -117.14610249
110 2 0.00 0.0000 New Taxiway 6
111  34.08372255 -117.14494917
111  34.08372223 -117.14477930
111  34.08458939 -117.14478386
113  34.08458576 -117.14495368
110 2 0.00 0.0000 New Taxiway 5
111  34.08376003 -117.14532628
111  34.08376602 -117.14516481
111  34.08458471 -117.14517291
113  34.08458404 -117.14533362
110 2 0.00 0.0000 New Taxiway 7
111  34.08352590 -117.14436859
111  34.08352816 -117.14419463
111  34.08459464 -117.14421594
113  34.08459527 -117.14437532
110 2 0.00 0.0000 New Taxiway 8
111  34.08347477 -117.14367957
111  34.08460140 -117.14370237
111  34.08459232 -117.14398406
113  34.08347399 -117.14397640
110 2 0.00 0.0000 New Taxiway 9
111  34.08347636 -117.14344001
111  34.08347981 -117.14308053
111  34.08460785 -117.14309121
113  34.08459841 -117.14345861
110 2 0.00 0.0000 New Taxiway 10
111  34.08348746 -117.14251398
111  34.08460837 -117.14252350
111  34.08459715 -117.14284692
113  34.08348418 -117.14283785
110 2 0.00 0.0000 New Taxiway 14
111  34.08338414 -117.14025512
111  34.08386406 -117.14025660
111  34.08386667 -117.14041190
113  34.08339457 -117.14041831
110 2 0.00 0.0000 New Taxiway 13
111  34.08347446 -117.14071517
111  34.08388558 -117.14071348
111  34.08388342 -117.14074469
111  34.08424203 -117.14074165
111  34.08424276 -117.14091902
111  34.08388368 -117.14090821
111  34.08388331 -117.14092655
113  34.08347772 -117.14092308
110 2 0.00 0.0000 New Taxiway 12
