A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      800 1 0 LKMH Mnichovo Hradiste
100   60.05   3   0 0.00 0 0 0 07L  50.53833639  014.99775539    0.00    0.00 1  0 0 0 25R  50.54183407  015.01043544    0.00    0.00 1  0 0 0
100   29.87   2   0 0.00 0 0 0 07R  50.53721115  014.99619360    0.00    0.00 1  0 0 0 25L  50.54276214  015.01628109    0.00    0.00 1  0 0 0
110   1 0.00  66.50 TWY
111  50.53567322  014.99394701 
111  50.53620110  014.99584587 
111  50.53641822  014.99568352 
111  50.53657060  014.99576574 
111  50.53659885  014.99563081 
112  50.53659885  014.99563081  50.53648941  014.99558953 
112  50.53629863  014.99527559  50.53623116  014.99506448 
111  50.53629863  014.99527559 
111  50.53598962  014.99413101 
111  50.53601991  014.99384844 
111  50.53610301  014.99377057 
113  50.53606718  014.99364734 
110   2 0.00  66.50 TWY
111  50.53862497  014.99689215 
111  50.53860629  014.99680746 
111  50.53861890  014.99661389 
111  50.53873653  014.99644598 
111  50.53886672  014.99632209 
111  50.53780122  014.99244927 
111  50.53765676  014.99255955 
111  50.53750704  014.99258748 
111  50.53739256  014.99243164 
111  50.53656995  014.98947016 
111  50.53544773  014.99023919 
111  50.53547456  014.99042507 
111  50.53626081  014.99325062 
111  50.53622955  014.99342426 
111  50.53613150  014.99359174 
111  50.53606718  014.99364734 
111  50.53610301  014.99377057 
111  50.53616472  014.99373654 
111  50.53628250  014.99373867 
111  50.53641742  014.99383118 
111  50.53691076  014.99560990 
111  50.53686551  014.99570816 
111  50.53677353  014.99571873 
111  50.53659885  014.99563081 
111  50.53657060  014.99576574 
111  50.53692720  014.99595947 
111  50.53704804  014.99612244 
111  50.53708917  014.99627623 
111  50.53733380  014.99610881 
111  50.53666103  014.99368124 
111  50.53667543  014.99344374 
111  50.53675613  014.99334208 
111  50.53724954  014.99299306 
111  50.53741923  014.99304658 
111  50.53747977  014.99312766 
113  50.53854618  014.99694583 
111  50.53629656  014.98987428 
112  50.53629656  014.98987428  50.53642497  014.98986392 
112  50.53661266  014.99011482  50.53670705  014.99025469 
111  50.53661266  014.99011482 
111  50.53731176  014.99264583 
111  50.53721478  014.99287037 
111  50.53675722  014.99317467 
112  50.53675722  014.99317467  50.53664446  014.99322535 
112  50.53648980  014.99305788  50.53645758  014.99299452 
111  50.53648980  014.99305788 
111  50.53582843  014.99067151 
112  50.53582843  014.99067151  50.53581746  014.99046430 
112  50.53590960  014.99013484  50.53596886  014.99001397 
113  50.53590960  014.99013484 
110   2 0.00  66.50 TWY
111  50.54264034  015.01636505 
111  50.54430800  015.02238523 
112  50.54430800  015.02238523  50.54435611  015.02257379 
111  50.54440616  015.02257320 
111  50.54551718  015.02181674 
111  50.54519017  015.02062867 
111  50.54533035  015.02042137 
111  50.54549420  015.02029851 
111  50.54441639  015.01640252 
111  50.54425855  015.01651178 
111  50.54405681  015.01651990 
111  50.54397583  015.01657349 
111  50.54445382  015.01829557 
111  50.54439809  015.01855662 
111  50.54432903  015.01862588 
111  50.54388058  015.01893006 
111  50.54372490  015.01896416 
111  50.54361361  015.01884396 
113  50.54288553  015.01619713 
111  50.54436040  015.01875486 
111  50.54446246  015.01874276 
111  50.54455403  015.01883046 
111  50.54523575  015.02129078 
111  50.54525501  015.02163462 
111  50.54515739  015.02183852 
111  50.54477828  015.02210699 
111  50.54458675  015.02207159 
111  50.54443872  015.02182765 
111  50.54377089  015.01943083 
111  50.54377941  015.01921029 
113  50.54388636  015.01908800 
110   2 0.00  66.50 TWY
111  50.54224847  015.00998590 
111  50.54229732  015.00995295 
111  50.54217362  015.00950476 
111  50.54212477  015.00953380 
111  50.53984431  015.00129548 
111  50.53989316  015.00126327 
111  50.53974597  015.00072956 
111  50.53969425  015.00075666 
111  50.53862497  014.99689215 
111  50.53854618  014.99694583 
111  50.54397583  015.01657349 
113  50.54405681  015.01651990 
130 Airport Boundary 41
111  50.53863520  014.97938620 
111  50.52917606  014.98717502 
111  50.54192356  015.03378027 
113  50.55048956  015.02573607 
14   50.53511084  014.99256969   82 0 TWR
15   50.53577390  014.99400152 333.76 Appron S 1
19   50.53540492  014.99308419 0 WS
54 13020 INFO

99
