I
1050 Generated by WorldEditor 2.1.0r1

1   1774 1 0 CYOD Cold Lake AB
1302 city Cold Lake
1302 country Canada
1302 iata_code YOD
1302 state Alberta
100 60.96 1 0 0.25 0 3 0 13L  54.41917836 -110.30461233    0   29 2 5 0 0 31R  54.39134479 -110.26969598    0   31 2 5 0 0
100 45.72 1 0 0.25 0 3 0 13R  54.41674372 -110.31036341    0   61 3 5 0 0 31L  54.39467633 -110.28256432    0   61 3 5 0 0
100 60.96 1 0 0.25 0 3 0 04  54.39699906 -110.28505226    0    0 3 0 0 0 22  54.41013656 -110.25426722    0   64 3 5 0 0
110 2 0.00 144.0000 Apron
111  54.41009326 -110.28404948
111  54.41010233 -110.28425526
111  54.40942643 -110.28584321
111  54.40939101 -110.28592642
111  54.40878491 -110.28516658
111  54.40816639 -110.28439117
111  54.40658985 -110.28241472
111  54.40598121 -110.28165169
111  54.40429229 -110.27953437
111  54.40416837 -110.27881814
111  54.40408962 -110.27792150
111  54.40408121 -110.27719626
111  54.40456367 -110.27606568
111  54.40455769 -110.27593945
111  54.40426515 -110.27556993
111  54.40435361 -110.27536092
111  54.40465074 -110.27572008
111  54.40472071 -110.27569900
111  54.40471626 -110.27556220
111  54.40442194 -110.27518021
111  54.40451304 -110.27497800
111  54.40480847 -110.27534547
111  54.40486381 -110.27532620
111  54.40479920 -110.27524629
111  54.40482671 -110.27518123
111  54.40490240 -110.27527189
111  54.40522650 -110.27451241
111  54.40568303 -110.27344258
111  54.40733310 -110.26957580
111  54.40777718 -110.26853514
111  54.40913281 -110.26535836
111  54.40918302 -110.26541784
111  54.40924158 -110.26528032
111  54.40930192 -110.26513863
111  54.40942909 -110.26529663
111  54.40972137 -110.26566050
111  54.40990200 -110.26560238
111  54.40991775 -110.26555577
111  54.40986857 -110.26503377
111  54.40992945 -110.26501799
111  54.40997012 -110.26550638
111  54.41058107 -110.26535406
111  54.41058720 -110.26543698
111  54.41035355 -110.26549262
111  54.41039118 -110.26594972
111  54.41014154 -110.26601697
111  54.41002276 -110.26604896
111  54.40992648 -110.26627249
111  54.40956009 -110.26712309
111  54.40951755 -110.26707212
111  54.40941997 -110.26729805
111  54.40944794 -110.26733474
111  54.40933726 -110.26759446
111  54.40911240 -110.26732411
111  54.40901260 -110.26756314
111  54.40982373 -110.26858580
111  54.40964999 -110.26900095
111  54.40961772 -110.26907807
111  54.40940178 -110.26959406
111  54.40938818 -110.26957703
111  54.40905722 -110.26916272
111  54.40904476 -110.26914712
111  54.40907664 -110.26907501
111  54.40895176 -110.26892023
111  54.40885697 -110.26880275
111  54.40866270 -110.26885688
111  54.40836430 -110.26955605
111  54.40839405 -110.26988233
111  54.40850121 -110.27001499
111  54.40861632 -110.27015748
111  54.40867311 -110.27002227
111  54.40868557 -110.27003787
111  54.40901605 -110.27045305
111  54.40902966 -110.27047008
111  54.40895362 -110.27064746
111  54.40888170 -110.27081522
111  54.40877765 -110.27105795
111  54.40862541 -110.27141309
111  54.40857452 -110.27153181
111  54.40854388 -110.27160328
111  54.40853310 -110.27158979
111  54.40819550 -110.27116716
111  54.40818685 -110.27115634
111  54.40821816 -110.27108642
111  54.40809639 -110.27093220
111  54.40800113 -110.27081154
111  54.40779811 -110.27087470
111  54.40750845 -110.27156182
111  54.40753471 -110.27189260
111  54.40763252 -110.27201262
111  54.40775594 -110.27216406
111  54.40781520 -110.27203149
111  54.40782385 -110.27204231
111  54.40816097 -110.27246581
111  54.40817175 -110.27247930
111  54.40787734 -110.27316909
111  54.40782470 -110.27329241
111  54.40777897 -110.27339955
111  54.40767977 -110.27363380
111  54.40766679 -110.27362057
111  54.40733235 -110.27320053
111  54.40719493 -110.27302929
111  54.40704465 -110.27284436
111  54.40694752 -110.27286692
111  54.40665261 -110.27356906
111  54.40667886 -110.27389833
111  54.40676309 -110.27400667
111  54.40690026 -110.27418310
111  54.40695278 -110.27405622
111  54.40696325 -110.27406938
111  54.40729769 -110.27448942
111  54.40730933 -110.27450404
111  54.40725255 -110.27463753
111  54.40719868 -110.27476418
111  54.40710185 -110.27499182
111  54.40705099 -110.27511138
111  54.40669573 -110.27594660
111  54.40664210 -110.27607271
111  54.40656975 -110.27624280
111  54.40660499 -110.27662105
111  54.40659383 -110.27662398
111  54.40580304 -110.27683142
111  54.40579334 -110.27683396
111  54.40579957 -110.27691330
111  54.40571070 -110.27693577
111  54.40588268 -110.27885869
111  54.40596197 -110.27883650
111  54.40596853 -110.27890453
111  54.40598161 -110.27890203
111  54.40677529 -110.27868940
111  54.40678645 -110.27868647
111  54.40683453 -110.27917423
111  54.40731513 -110.27977684
111  54.40744000 -110.27993340
111  54.40782451 -110.28041552
111  54.40781957 -110.28042713
111  54.40756846 -110.28101690
111  54.40756383 -110.28102778
