I
1050 Generated by WorldEditor 2.2.0r2

1   2730 0 0 63F Stanton Muni
1302 gui_label 2D
100 18.29 1 0 0.25 0 1 0 16  32.17911757 -101.82424889    0    0 1 0 0 0 34  32.16786000 -101.82066100    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 5
111  32.17145965 -101.81830524
111  32.17123030 -101.81927535
111  32.17114885 -101.81924795
113  32.17137815 -101.81827754
110 2 0.00 0.0000 New Taxiway 4
111  32.17091122 -101.81981887
111  32.17098439 -101.81949721
111  32.17119549 -101.81956624
113  32.17112254 -101.81989040
110 1 0.00 0.0000 New Taxiway 3
111  32.17063688 -101.82144279
112  32.17063688 -101.82144279  32.17072221 -101.82145791
112  32.17081109 -101.82131175  32.17084309 -101.82120506
111  32.17081109 -101.82131175
111  32.17094761 -101.82069936
111  32.17094761 -101.82065652
111  32.17089997 -101.82056243
111  32.17071794 -101.82050195
111  32.17087935 -101.81980808
111  32.17091122 -101.81981887
111  32.17112254 -101.81989040
111  32.17111543 -101.81992148
111  32.17115596 -101.81993493
111  32.17123915 -101.81957119
112  32.17123915 -101.81957119  32.17124200 -101.81954011
112  32.17120147 -101.81950987  32.17117729 -101.81950147
111  32.17120147 -101.81950987
111  32.17098032 -101.81943258
111  32.17098032 -101.81943258
111  32.17126404 -101.81823973
111  32.17137815 -101.81827754
111  32.17114885 -101.81924795
111  32.17123030 -101.81927535
111  32.17145965 -101.81830524
111  32.17157335 -101.81834221
111  32.17133870 -101.81934942
112  32.17133870 -101.81934942  32.17133015 -101.81939771
112  32.17133870 -101.81948216  32.17134559 -101.81953075
111  32.17133870 -101.81948216
112  32.17133870 -101.81948216  32.17134654 -101.81952457
112  32.17134013 -101.81963503  32.17132991 -101.81968727
111  32.17134013 -101.81963503
111  32.17126617 -101.81997021
111  32.17148092 -101.82003321
111  32.17132519 -101.82069516
111  32.17120147 -101.82065568
112  32.17120147 -101.82065568  32.17114174 -101.82064476
112  32.17105499 -101.82075901  32.17102939 -101.82084469
111  32.17105499 -101.82075901
111  32.17091064 -101.82138651
112  32.17091064 -101.82138651  32.17090424 -101.82143944
112  32.17100450 -101.82156040  32.17108201 -101.82159484
111  32.17100450 -101.82156040
111  32.17100308 -101.82156628
113  32.17063617 -101.82144868
110 1 0.00 0.0000 New Taxiway 2
111  32.16788383 -101.82057044
111  32.16794391 -101.82031523
111  32.16814760 -101.82038134
111  32.16811921 -101.82049218
112  32.16811921 -101.82049218  32.16810727 -101.82056898
112  32.16820645 -101.82066864  32.16826940 -101.82069440
111  32.16820645 -101.82066864
113  32.16820562 -101.82067253
110 1 0.00 0.0000 New Taxiway 1
111  32.17879238 -101.82404799
111  32.17879336 -101.82404390
112  32.17879336 -101.82404390  32.17888175 -101.82405382
112  32.17897064 -101.82392780  32.17900175 -101.82383037
111  32.17897064 -101.82392780
111  32.17908125 -101.82345057
111  32.17910199 -101.82345582
111  32.17911433 -101.82341148
111  32.17928568 -101.82346749
113  32.17913655 -101.82415709
130 Airport Boundary
111  32.16675298 -101.81929889
111  32.17066500 -101.82055822
111  32.17156719 -101.81658541
111  32.17244190 -101.81684151
111  32.17154249 -101.82081166
111  32.18063505 -101.82371429
111  32.18022781 -101.82544968
111  32.17331629 -101.82323266
111  32.17321539 -101.82359386
111  32.17072424 -101.82279212
111  32.17080017 -101.82244547
111  32.16728209 -101.82133040
111  32.16693275 -101.82089372
113  32.16642870 -101.82073488
120 Linear Feature 27
111  32.17131986 -101.81852933 1
115  32.17129385 -101.81852123
120 Linear Feature 26
111  32.17082266 -101.82032148 1
115  32.17077541 -101.82030716
120 Linear Feature 25
111  32.17081491 -101.82035578 1
111  32.17082266 -101.82032148 1
115  32.17083046 -101.82028693
120 Linear Feature 24
111  32.17088247 -101.82005427 1
115  32.17083338 -101.82003825
120 Linear Feature 23
111  32.17087458 -101.82008938 1
111  32.17088247 -101.82005427 1
115  32.17089022 -101.82001986
120 Linear Feature 22
111  32.17085172 -101.82018906 1
115  32.17080668 -101.82017445
120 Linear Feature 21
111  32.17084409 -101.82022355 1
111  32.17085172 -101.82018906 1
115  32.17085935 -101.82015452
120 Linear Feature 18
111  32.17096984 -101.82005952 1
115  32.17101613 -101.81985494
120 Linear Feature 17
111  32.17099372 -101.82031013 1
115  32.17104111 -101.82032554
120 Linear Feature 16
111  32.17100213 -101.82027592 1
111  32.17099372 -101.82031013 1
115  32.17098646 -101.82033967
120 Linear Feature 15
111  32.17102621 -101.82017050 1
115  32.17107222 -101.82018643
120 Linear Feature 14
111  32.17103356 -101.82013952 1
111  32.17102621 -101.82017050 1
115  32.17101942 -101.82019911
120 Linear Feature 13
111  32.17113266 -101.82013086 1
115  32.17108670 -101.82011608
120 Linear Feature 12
111  32.17112510 -101.82016249 1
