A
1050 Generated by WorldEditor 1.6.0r1

1     57 0 0 1N2 Spadro Airport
100 30.48 3 0 0.25 0 0 0 18R  40.82798369 -072.75097970    0    0 0 0 0 0 36L  40.82207987 -072.75074636    0    0 0 0 0 0
100 7.62 1 0 0.25 0 0 0 18  40.82942065 -072.74998346    0    0 1 0 0 0 36  40.82285081 -072.74869377  150    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 25
111  40.82443787 -072.74993514
111  40.82443908 -072.74990655
111  40.82441340 -072.74990486
111  40.82441374 -072.74986638
111  40.82444062 -072.74987011
111  40.82444197 -072.74983804
111  40.82446811 -072.74984245
113  40.82446333 -072.74993767
110 4 0.00 0.0000 New Taxiway 62
111  40.82731555 -072.74984990
111  40.82738169 -072.74975794
111  40.82738707 -072.74961211
111  40.82742321 -072.74961922
111  40.82742090 -072.74976200
113  40.82746512 -072.74986667
110 2 0.00 0.0000 New Taxiway 60
111  40.82453971 -072.74982041
111  40.82458024 -072.74982305
111  40.82458024 -072.74985992
111  40.82460096 -072.74985955
111  40.82460097 -072.74989398
111  40.82458097 -072.74989355
111  40.82458092 -072.74992732
113  40.82453905 -072.74992753
110 2 0.00 0.0000 New Taxiway 59
111  40.82453214 -072.75006946
111  40.82456580 -072.75007124
111  40.82456482 -072.75011248
111  40.82458862 -072.75011218
111  40.82458795 -072.75015355
111  40.82456344 -072.75015329
111  40.82456204 -072.75019413
113  40.82452683 -072.75019500
110 2 0.00 0.0000 New Taxiway 58
111  40.82449173 -072.74945045
111  40.82448584 -072.74952489
111  40.82445771 -072.74952102
111  40.82445151 -072.74958482
111  40.82439880 -072.74958067
111  40.82440510 -072.74951405
111  40.82437544 -072.74951040
113  40.82438458 -072.74943528
110 2 0.00 0.0000 New Taxiway 57
111  40.82410874 -072.74955067
111  40.82411690 -072.74938801
111  40.82422663 -072.74940453
113  40.82422194 -072.74955677
110 2 0.00 0.0000 New Taxiway 56
111  40.82407175 -072.74937878
111  40.82406904 -072.74951472
111  40.82395491 -072.74950615
113  40.82396094 -072.74936409
110 2 0.00 0.0000 New Taxiway 55
111  40.82600159 -072.74983195
111  40.82600384 -072.74966959
111  40.82604305 -072.74967050
111  40.82608317 -072.74967144
111  40.82611679 -072.74967222
113  40.82611617 -072.74982868
110 2 0.00 0.0000 New Taxiway 54
111  40.82613234 -072.74985370
111  40.82613705 -072.74968479
111  40.82618327 -072.74968813
111  40.82622155 -072.74969090
111  40.82625820 -072.74969325
113  40.82625656 -072.74985709
110 2 0.00 0.0000 New Taxiway 52
111  40.82690380 -072.74979043
111  40.82689470 -072.74994177
111  40.82678445 -072.74993022
113  40.82679599 -072.74977363
110 2 0.00 0.0000 New Taxiway 51
111  40.82699108 -072.74994396
111  40.82699653 -072.74980489
111  40.82709619 -072.74982069
113  40.82708989 -072.74995135
110 2 0.00 0.0000 New Taxiway 50
111  40.82724846 -072.74984387
111  40.82724288 -072.74995766
111  40.82713333 -072.74994649
113  40.82714083 -072.74982806
110 2 0.00 0.0000 New Taxiway 49
111  40.82730821 -072.75008757
111  40.82731555 -072.74984990
111  40.82746512 -072.74986667
113  40.82746109 -072.75008848
110 2 0.00 0.0000 New Taxiway 48
111  40.82752376 -072.75007153
111  40.82752459 -072.74987581
111  40.82756427 -072.74987842
111  40.82763569 -072.74988382
113  40.82763126 -072.75007580
110 2 0.00 0.0000 New Taxiway 47
111  40.82775701 -072.75003086
111  40.82776393 -072.74990333
111  40.82787233 -072.74991726
113  40.82786682 -072.75003564
110 3 0.00 0.0000 New Taxiway 46
111  40.82207699 -072.75091204
111  40.82116025 -072.75073551
111  40.82119487 -072.75033602
111  40.82154710 -072.75034491
111  40.82178516 -072.75043142
111  40.82197164 -072.75058609
113  40.82208644 -072.75057147
110 3 0.00 0.0000 New Taxiway 45
111  40.82208395 -072.75056623
111  40.82210999 -072.75014434
111  40.82231746 -072.75008674
111  40.82242201 -072.75010209
111  40.82258445 -072.75014434
111  40.82303743 -072.75020114
111  40.82306485 -072.75031851
113  40.82309134 -072.75061492
110 4 0.00 0.0000 New Taxiway 44
111  40.82466113 -072.74907890
111  40.82460756 -072.74968449
111  40.82453971 -072.74982041
111  40.82453905 -072.74992753
111  40.82453214 -072.75006946
111  40.82452683 -072.75019500
111  40.82445731 -072.75068114
111  40.82309134 -072.75061492
111  40.82306485 -072.75031851
111  40.82405809 -072.75046504
111  40.82436306 -072.75047544
111  40.82445040 -072.75020037
111  40.82446333 -072.74993767
111  40.82446811 -072.74984245
111  40.82450377 -072.74945625
111  40.82449173 -072.74945045
111  40.82438458 -072.74943528
111  40.82422663 -072.74940453
111  40.82411690 -072.74938801
111  40.82407175 -072.74937878
111  40.82396094 -072.74936409
111  40.82339164 -072.74921879
111  40.82297448 -072.74894859
111  40.82282286 -072.74890578
111  40.82284798 -072.74872304
111  40.82303469 -072.74876162
111  40.82301931 -072.74887397
111  40.82343387 -072.74912455
111  40.82452013 -072.74932804
113  40.82458376 -072.74905836
110 4 0.00 0.0000 New Taxiway 43
111  40.82604305 -072.74967050
111  40.82607119 -072.74936273
111  40.82611233 -072.74937411
113  40.82608317 -072.74967144
110 4 0.00 0.0000 New Taxiway 42
111  40.82618327 -072.74968813
111  40.82620896 -072.74939434
111  40.82624531 -072.74940136
113  40.82622155 -072.74969090
110 4 0.00 0.0000 New Taxiway 40
111  40.82679599 -072.74977363
111  40.82679998 -072.74967608
111  40.82700400 -072.74971454
111  40.82702042 -072.74954998
111  40.82708396 -072.74956122
111  40.82706865 -072.74972558
111  40.82725139 -072.74975492
111  40.82724846 -072.74984387
111  40.82714083 -072.74982806
111  40.82709619 -072.74982069
111  40.82699653 -072.74980489
113  40.82690380 -072.74979043
110 4 0.00 0.0000 New Taxiway 38
111  40.82756427 -072.74987842
111  40.82757276 -072.74965956
111  40.82764430 -072.74967173
113  40.82763569 -072.74988382
110 4 0.00 0.0000 New Taxiway 37
111  40.82786296 -072.74971126
111  40.82785415 -072.74981611
111  40.82787233 -072.74991726
111  40.82776393 -072.74990333
111  40.82781998 -072.74981450
113  40.82782556 -072.74970209
110 1 0.00 0.0000 New Taxiway 36
111  40.82908869 -072.74995253
112  40.82908869 -072.74995253  40.82911099 -072.75003078
112  40.82875575 -072.75022013  40.82842024 -072.75013672
111  40.82875575 -072.75022013
111  40.82861923 -072.75018464
112  40.82861923 -072.75018464  40.82806483 -072.75000000
112  40.82802607 -072.74974371  40.82798287 -072.74965913
111  40.82802607 -072.74974371
111  40.82813840 -072.74976409
112  40.82813840 -072.74976409  40.82817231 -072.74984096
112  40.82862676 -072.75009912  40.82904222 -072.75025535
111  40.82862676 -072.75009912
111  40.82876447 -072.75013378
112  40.82876447 -072.75013378  40.82902756 -072.75019194
112  40.82901888 -072.74993466  40.82899120 -072.74986098
113  40.82901888 -072.74993466
110 2 0.00 0.0000 New Taxiway 61
111  40.82231746 -072.75008674
111  40.82232782 -072.75000730
111  40.82235844 -072.75001462
111  40.82236725 -072.74995748
111  40.82241101 -072.74997322
111  40.82240422 -072.75002509
111  40.82243062 -072.75002975
113  40.82242201 -072.75010209
130 Airport Boundary
111  40.82283638 -072.74810768
111  40.82091055 -072.75027736
111  40.82089784 -072.75076310
111  40.82221798 -072.75136214
111  40.82585924 -072.75153918
111  40.82777423 -072.75135543
111  40.82942317 -072.75072075
113  40.82954473 -072.74979406
14  40.82471284 -072.74996776  82.02 0 New Tower Viewpoint 4
1300  40.82133557 -072.75040092 265.89 tie_down props GA Stand 01
1301 A general_aviation 
1300  40.82144519 -072.75040092 265.89 tie_down props GA Stand 02
1301 A general_aviation 
1300  40.82218850 -072.75041528 301.56 tie_down props GA Stand 03
1301 A general_aviation 
1300  40.82248268 -072.75017617 268.96 tie_down props GA Stand 04
1301 A general_aviation 
1300  40.82278085 -072.75023898 271.22 tie_down props GA Stand 05
1301 A general_aviation 
1300  40.82289256 -072.75023898 271.22 tie_down props GA Stand 06
1301 A general_aviation 
1300  40.82237509 -072.75007895 261.73 hangar props Hangar 01
1301 A none 
1300  40.82454335 -072.75013264 179.54 hangar props Hangar 02
1301 A none 
1300  40.82445005 -072.74988790  -2.61 hangar props Hangar 03
1301 A none 
1300  40.82455008 -072.74987520 180.27 hangar props Hangar 04
1301 A none 
1300  40.82443751 -072.74945288  83.07 hangar props Hangar 05
1301 A none 
1300  40.82416866 -072.74942962  85.79 hangar props Hangar 06
1301 A none 
