A
1000 Generated by WorldEditor

1     19 1 0 KPBI Palm Beach Intl
100 45.72 1 0 0.25 0 3 1 10L  26.68320800 -080.10837800  366    0 3 8 1 0 28R  26.68187200 -080.07776700  247    0 3 0 1 1
100 45.72 1 0 0.25 0 2 1 14  26.69183300 -080.10402200    0    0 2 0 0 1 32  26.67830800 -080.08906100  130    0 2 0 0 1
100 22.86 1 0 0.25 0 2 0 10R  26.68118900 -080.10628900    0    0 2 0 0 0 28L  26.68076100 -080.09646100    0    0 2 0 0 0
110 1 0.35 91.9000 xxx
111  26.68377846 -080.10737880
111  26.68291422 -080.07822135
111  26.68313354 -080.07821320
113  26.68399778 -080.10737065
110 1 0.25 92.8000 xxx
111  26.68240590 -080.10833594
111  26.68181632 -080.09484455
111  26.68200810 -080.09483406
113  26.68259768 -080.10832545
110 1 0.35 135.3400 xxx
111  26.69193584 -080.10243450
111  26.68348192 -080.09308420
111  26.68363616 -080.09290950
113  26.69209008 -080.10225980
110 1 0.35 92.7900 xxx
111  26.68079282 -080.10615094
111  26.68037559 -080.09656904
111  26.68048518 -080.09656306
113  26.68090241 -080.10614496
110 1 0.35 249.3400 xxx
111  26.68770553 -080.09576066
111  26.68475379 -080.10452199
111  26.68454847 -080.10443534
113  26.68750021 -080.09567401
110 1 0.35 252.8000 xxx
111  26.68083200 -080.08103654
111  26.67860142 -080.08910101
111  26.67841800 -080.08903746
113  26.68064858 -080.08097299
110 1 0.35 92.7900 xxx
111  26.67992260 -080.10186299
111  26.67957546 -080.09389089
111  26.68012340 -080.09386101
113  26.68047054 -080.10183311
110 2 0.25 45.3400 xxx
111  26.68429058 -080.09292361
111  26.68621862 -080.09073994
111  26.68953542 -080.09440839
113  26.68760738 -080.09659206
110 2 0.25 91.9000 xxx
111  26.68401365 -080.09117762
111  26.68383176 -080.08504109
111  26.68492835 -080.08500038
113  26.68511024 -080.09113691
110 2 0.25 91.9000 xxx
111  26.68593431 -080.09265719
111  26.68578880 -080.08774788
111  26.68743369 -080.08768681
113  26.68757920 -080.09259612
110 1 0.25 2.8000 xxx
111  26.68058654 -080.08086981
111  26.68612074 -080.08056689
111  26.68613146 -080.08081219
113  26.68059726 -080.08111511
110 2 0.25 72.8000 xxx
111  26.67839104 -080.08528647
111  26.67968884 -080.08059442
111  26.68073696 -080.08095753
113  26.67943916 -080.08564958
110 1 0.25 92.8000 xxx
111  26.68041812 -080.10843723
111  26.68018229 -080.10304076
111  26.68029188 -080.10303477
113  26.68052771 -080.10843124
110 1 0.25 135.3400 xxx
111  26.68352292 -080.09675957
111  26.68020612 -080.09309128
111  26.68034108 -080.09293843
113  26.68365788 -080.09660672
110 1 0.25 92.8000 xxx
111  26.68384591 -080.08535170
111  26.68364492 -080.08075230
111  26.68386409 -080.08074030
113  26.68406508 -080.08533970
110 2 0.25 86.0000 xxx
111  26.67916975 -080.08300529
111  26.67939936 -080.07933047
111  26.68022025 -080.07939471
113  26.67999064 -080.08306953
110 1 0.25 20.0000 xxx
111  26.67871318 -080.08808258
111  26.68232176 -080.08661265
111  26.68239682 -080.08684342
113  26.67878824 -080.08831335
110 1 0.25 135.3400 xxx
111  26.68073162 -080.09354678
111  26.67800014 -080.09052590
111  26.67815438 -080.09035122
113  26.68088586 -080.09337210
110 2 0.25 90.0000 xxx
111  26.68488340 -080.09062299
111  26.68488340 -080.08755301
111  26.68598060 -080.08755301
113  26.68598060 -080.09062299
110 2 0.25 98.0000 xxx
111  26.67961762 -080.08124143
111  26.67923587 -080.07820147
111  26.68032238 -080.07803057
113  26.68070413 -080.08107053
110 1 0.25 90.0000 xxx
111  26.68455928 -080.10841747
111  26.68455928 -080.10442653
111  26.68477872 -080.10442653
113  26.68477872 -080.10841747
110 2 0.25 135.0000 xxx
111  26.68879885 -080.09429905
111  26.68685927 -080.09212820
111  26.68744115 -080.09147695
113  26.68938073 -080.09364780
110 2 0.25 140.0000 xxx
111  26.68556471 -080.08894027
111  26.68388371 -080.08736160
111  26.68476529 -080.08618573
113  26.68644629 -080.08776440
110 1 0.25 90.0000 xxx
111  26.68439028 -080.10842497
111  26.68439028 -080.10474103
111  26.68460972 -080.10474103
113  26.68460972 -080.10842497
110 1 0.25 52.0000 xxx
111  26.68012529 -080.09085385
111  26.68215179 -080.08795095
111  26.68232471 -080.08810215
113  26.68029821 -080.09100505
