I
1050 Generated by WorldEditor 2.1.0r1

1    246 0 0 TN41 100 Aker Wood
100 22.86 3 0 0.00 0 0 0 12  35.77366753 -084.76746595    0    0 0 0 0 0 30  35.77084100 -084.76245012    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 4
111  35.77300556 -084.76608425
111  35.77373496 -084.76677345
112  35.77373496 -084.76677345  35.77377115 -084.76683732
112  35.77379949 -084.76708576  35.77380166 -084.76719517
112  35.77370813 -084.76751662  35.77363214 -084.76763419
111  35.77370813 -084.76751662
112  35.77370813 -084.76751662  35.77368146 -084.76754153
112  35.77358310 -084.76753797  35.77355550 -084.76751433
113  35.77358310 -084.76753797
110 3 0.00 0.0000 New Taxiway 3
111  35.77040702 -084.76257857
111  35.77021025 -084.76266385
111  35.77013837 -084.76251736
111  35.77029086 -084.76247719
113  35.77033625 -084.76244276
110 2 0.00 0.0000 New Taxiway 2
111  35.77024429 -084.76236385
111  35.77048292 -084.76219743
111  35.77052832 -084.76229211
111  35.77057605 -084.76226055
112  35.77057605 -084.76226055  35.77059933 -084.76224477
112  35.77066452 -084.76224764  35.77068663 -084.76225481
112  35.77072621 -084.76229211  35.77074312 -084.76229841
112  35.77078092 -084.76229355  35.77079838 -084.76228638
111  35.77078092 -084.76229355
111  35.77085151 -084.76224310
111  35.77092886 -084.76238378
111  35.77075993 -084.76252722
111  35.77049922 -084.76275551
111  35.77040702 -084.76257857
111  35.77033625 -084.76244276
111  35.77029086 -084.76247719
111  35.77013837 -084.76251736
113  35.77008948 -084.76240258
130 Airport Boundary 1
111  35.77281588 -084.76833107
111  35.77299607 -084.76686535
111  35.77099959 -084.76332989
111  35.77048065 -084.76374740
111  35.76983919 -084.76255707
111  35.77145366 -084.76126016
111  35.77208792 -084.76230835
111  35.77151132 -084.76282356
111  35.77225370 -084.76423597
111  35.77284471 -084.76511540
111  35.77386818 -084.76682097
113  35.77517273 -084.76707858
14  35.77144538 -084.76191287  20.00 0 Tower Viewpoint
1300  35.77061466 -084.76246492 126.24 hangar props Hangar 01-01
1301 A none 
1300  35.77049709 -084.76256391 121.12 hangar props Hangar 01-02
1301 A none 
1300  35.77046217 -084.76231858 297.92 hangar props Hangar 02-01
1301 A none 
1300  35.77035740 -084.76239031 296.05 hangar props Hangar 02-02
1301 A none 
1300  35.77021422 -084.76246922 286.05 hangar props Hangar 02-03
1301 A none 
19  35.77124863 -084.76241313 0 Windsock 1
99
