I
1050 Generated by WorldEditor

1   7522 0 0 KANK HARRIET ALEXANDER FLD
100 22.86 1 0 0.25 0 1 0 06  38.53494220 -106.06076155    0    0 1 0 0 0 24  38.54162320 -106.03653355    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 31
111  38.53667712 -106.04787012
111  38.53651636 -106.04778972
111  38.53655981 -106.04763362
113  38.53672158 -106.04771667
110 2 0.00 0.0000 New Taxiway 31
111  38.53653816 -106.04805735
111  38.53643759 -106.04801393
111  38.53648104 -106.04785783
113  38.53658262 -106.04789718
110 2 0.00 0.0000 New Taxiway 31
111  38.53584546 -106.05106854
111  38.53574490 -106.05102512
111  38.53578834 -106.05086902
113  38.53588992 -106.05090837
110 2 0.00 0.0000 New Taxiway 31
111  38.53597459 -106.05315990 20
111  38.53564032 -106.05300896 20
111  38.53578326 -106.05251462 20
113  38.53611535 -106.05266556 20
110 2 0.00 0.0000 New Taxiway 31
111  38.53576856 -106.05238021
111  38.53560428 -106.05231235
111  38.53574722 -106.05181802
113  38.53590933 -106.05188587
110 2 0.00 0.0000 New Taxiway 31
111  38.53568457 -106.05164894
111  38.53552029 -106.05158108
111  38.53562267 -106.05122744
113  38.53578478 -106.05129530
110 2 0.00 0.0000 New Taxiway 31
111  38.53583807 -106.05066917
111  38.53571838 -106.05061353
111  38.53580325 -106.05033117
113  38.53592076 -106.05038681
110 2 0.00 0.0000 New Taxiway 31
111  38.53601509 -106.05013130
111  38.53589540 -106.05007566
111  38.53598027 -106.04979330
113  38.53609778 -106.04984893
110 2 0.00 0.0000 New Taxiway 31
111  38.53606187 -106.04978078
111  38.53589323 -106.04970010
111  38.53593893 -106.04954710
113  38.53610757 -106.04962778
110 2 0.00 0.0000 New Taxiway 31
111  38.53612171 -106.04944000
111  38.53593784 -106.04935237
111  38.53600421 -106.04912425
113  38.53618808 -106.04921188
110 2 0.00 0.0000 New Taxiway 30
111  38.53609118 -106.04777475
111  38.53598876 -106.04777442
111  38.53599126 -106.04762042
113  38.53609237 -106.04761907
110 2 0.00 0.0000 New Taxiway 30
111  38.53626786 -106.04775068
111  38.53614371 -106.04775035
111  38.53614621 -106.04761856
113  38.53626904 -106.04761722
110 2 0.00 0.0000 New Taxiway 30
111  38.53626351 -106.04735449
111  38.53613937 -106.04735416
111  38.53614187 -106.04722238
113  38.53626470 -106.04722103
110 2 0.00 0.0000 New Taxiway 30
111  38.53639240 -106.04736745
111  38.53630011 -106.04736712
111  38.53630116 -106.04725755
113  38.53639214 -106.04725620
110 2 0.00 0.0000 New Taxiway 30
111  38.53649614 -106.04780118
111  38.53628945 -106.04780454
111  38.53629340 -106.04758575
113  38.53649877 -106.04758070
110 2 0.00 0.0000 New Taxiway 30
111  38.53674233 -106.04734170
111  38.53657381 -106.04734339
111  38.53657776 -106.04712459
113  38.53674496 -106.04712122
110 2 0.00 0.0000 New Taxiway 30
111  38.53697140 -106.04731141
111  38.53685423 -106.04730973
111  38.53685818 -106.04714142
113  38.53697403 -106.04714142
110 2 0.00 0.0000 New Taxiway 30
111  38.53712017 -106.04724072
111  38.53700300 -106.04723904
111  38.53700563 -106.04713132
113  38.53712148 -106.04713132
110 1 0.00 0.0000 New Taxiway 18
111  38.53485489 -106.06071566
111  38.53460954 -106.06060703
111  38.53431294 -106.06064613
111  38.53406764 -106.06054623
112  38.53633905 -106.05226969  38.53637137 -106.05215494
111  38.53629597 -106.05205549
111  38.53595775 -106.05191086
111  38.53579929 -106.05246018
111  38.53550874 -106.05233200
111  38.53549104 -106.05163315
111  38.53560924 -106.05119767
111  38.53567313 -106.05122451
111  38.53578400 -106.05083137
111  38.53590589 -106.05088459
111  38.53608619 -106.05020753
111  38.53568895 -106.05001698
111  38.53596745 -106.04905594
111  38.53635997 -106.04924289
111  38.53663192 -106.04824256
111  38.53638306 -106.04812777
111  38.53646516 -106.04782604
111  38.53594179 -106.04782276
111  38.53594179 -106.04709465
111  38.53713165 -106.04706841
111  38.53713745 -106.04745349
112  38.53699842 -106.04764048  38.53691877 -106.04775342
111  38.53693181 -106.04790523
111  38.53782267 -106.04813929
112  38.53814823 -106.04823222  38.53826484 -106.04827017
113  38.53831996 -106.04815632
112  38.53603367 -106.05561074  38.53616173 -106.05575151
111  38.53627423 -106.05555413
111  38.53741901 -106.05140623
112  38.53743536 -106.05128177  38.53745468 -106.05117632
111  38.53736847 -106.05109556
111  38.53705343 -106.05094971
111  38.53694345 -106.05090696
111  38.53678664 -106.05099341
112  38.53569238 -106.05496804  38.53564604 -106.05514021
111  38.53571266 -106.05524389
113  38.53587195 -106.05543273
111  38.53742850 -106.04831058
112  38.53725182 -106.04811248  38.53710121 -106.04807731
111  38.53693322 -106.04803287
112  38.53676813 -106.04811433  38.53673917 -106.04821431
111  38.53650254 -106.04906878
111  38.53654490 -106.04912959
111  38.53665934 -106.04918089
111  38.53669451 -106.04906150
111  38.53678865 -106.04910584
111  38.53642428 -106.05037064
112  38.53651257 -106.05056815  38.53661066 -106.05061727
111  38.53661638 -106.05061727
113  38.53680075 -106.05059055
111  38.53810218 -106.04833183
111  38.53780492 -106.04826041
111  38.53769960 -106.04823180
111  38.53752713 -106.04831090
111  38.53690208 -106.05057191
111  38.53693804 -106.05075929
111  38.53708821 -106.05082252
111  38.53739843 -106.05096621
112  38.53756765 -106.05085321  38.53759775 -106.05074407
111  38.53820290 -106.04854947
114  38.53817520 -106.04839660  38.53814075 -106.04833614
111  38.53614913 -106.05599641
112  38.53608392 -106.05578044  38.53599278 -106.05570244
112  38.53580641 -106.05551889  38.53576219 -106.05544901
112  38.53565210 -106.05543589  38.53560966 -106.05545954
112  38.53554221 -106.05556525  38.53551501 -106.05567235
111  38.53551501 -106.05567235
111  38.53427577 -106.06016647
112  38.53435608 -106.06034150  38.53443507 -106.06039200
111  38.53445481 -106.06039704
111  38.53460226 -106.06046605
111  38.53461543 -106.06043239
113  38.53498932 -106.06020855
130 Airport Boundary 43
111  38.53335109 -106.06223442
111  38.53530658 -106.05522075
111  38.53530658 -106.04643547
111  38.53571667 -106.04497437
111  38.53849423 -106.04214467
111  38.53897456 -106.04070312
111  38.53887014 -106.03832723
111  38.54072881 -106.03656534
111  38.54158505 -106.03378902
111  38.54242041 -106.03693907
113  38.53500581 -106.06304490
120 Linear Feature 42
111  38.53578239 -106.05127805 22
115  38.53584173 -106.05108079
120 Linear Feature 41
111  38.53555470 -106.05227980 22
111  38.53570444 -106.05175846 22
115  38.53552922 -106.05168108
120 Linear Feature 40
111  38.53624450 -106.04957618 22
115  38.53591261 -106.04941643
120 Linear Feature 39
111  38.53635970 -106.04929247 22
115  38.53610767 -106.05016725
120 Linear Feature 38
111  38.53657201 -106.04978778 22
111  38.53647447 -106.04973628 22
115  38.53663618 -106.04919670
120 Linear Feature 35
111  38.53587786 -106.05127724 51
115  38.53589804 -106.05121058
120 Linear Feature 35
111  38.53584009 -106.05140946 51
115  38.53586027 -106.05134280
120 Linear Feature 35
111  38.53580216 -106.05155479 51
115  38.53582234 -106.05148812
120 Linear Feature 34
111  38.53576279 -106.05169165 51
115  38.53578238 -106.05162725
120 Linear Feature 33
111  38.53637386 -106.05033925 51
115  38.53633884 -106.05025593
120 Linear Feature 33
111  38.53645912 -106.05005944 51
115  38.53642410 -106.04997612
120 Linear Feature 32
111  38.53640507 -106.05026478 51
115  38.53635589 -106.05029648
120 Linear Feature 32
111  38.53649034 -106.04998510 51
115  38.53644117 -106.05001681
120 Linear Feature 32
111  38.53588778 -106.05124445 51
115  38.53583354 -106.05122165
120 Linear Feature 32
111  38.53585002 -106.05137665 51
115  38.53579577 -106.05135384
120 Linear Feature 32
111  38.53581225 -106.05152149 51
115  38.53575800 -106.05149869
120 Linear Feature 32
111  38.53577269 -106.05165943 51
115  38.53571844 -106.05163663
120 Linear Feature 32
111  38.53605414 -106.05163414 51
115  38.53599989 -106.05161134
120 Linear Feature 32
111  38.53609550 -106.05149505 51
115  38.53604125 -106.05147225
