I
1050 Generated by WorldEditor 1.6.0r1

1    844 0 0 I69 Clermont County
1302 city Batavia
1302 country United States
1302 faa_code I69
1302 state Ohio
1302 transition_alt 18000
1302 transition_level 18000
1302 flatten 1
100 22.86 1 0 0.00 0 2 0 04  39.07445916 -084.21394887  121    0 1 0 0 1 22  39.08234650 -084.20647167    0    0 1 0 0 1
110 2 0.00 36.0000 Driveway 8
111  39.08273711 -084.21080676
111  39.08279171 -084.21072190
111  39.08289218 -084.21083176
111  39.08290489 -084.21081265
111  39.08291300 -084.21082229
111  39.08289463 -084.21084990
111  39.08288055 -084.21083531
113  39.08283535 -084.21090491
110 2 0.00 36.0000 Driveway 7
111  39.08267845 -084.20975683
111  39.08269033 -084.20976988
111  39.08268300 -084.20978034
111  39.08266235 -084.20975834
111  39.08267435 -084.20974125
111  39.08261978 -084.20968257
111  39.08276388 -084.20945801
113  39.08282737 -084.20952585
110 2 0.00 36.0000 Driveway 6
111  39.08255534 -084.20978300
111  39.08260725 -084.20984044
111  39.08261746 -084.20982598
111  39.08262638 -084.20983551
111  39.08253710 -084.20997584
113  39.08247476 -084.20990857
110 1 0.00 36.0000 Driveway 5 
111  39.08392650 -084.20846730
112  39.08392650 -084.20846730  39.08392438 -084.20848319
111  39.08393113 -084.20849167
111  39.08401078 -084.20856813
111  39.08397287 -084.20862768
111  39.08389794 -084.20855469
112  39.08389794 -084.20855469  39.08388692 -084.20854617
113  39.08388202 -084.20855108
110 1 0.00 36.0000 Driveway 4
111  39.08379301 -084.20876391
112  39.08379301 -084.20876391  39.08379480 -084.20877804
111  39.08380792 -084.20878404
112  39.08390844 -084.20883959  39.08391711 -084.20884550
111  39.08392553 -084.20883466
111  39.08398546 -084.20873119
111  39.08408002 -084.20882631
111  39.08399798 -084.20897433
111  39.08389492 -084.20890269
112  39.08378369 -084.20884419  39.08377017 -084.20883761
113  39.08376240 -084.20884299
110 1 0.00 36.0000 Driveway 3
111  39.08355085 -084.20912939
112  39.08354066 -084.20909697  39.08352587 -084.20908186
112  39.08348837 -084.20901908  39.08347944 -084.20899279
112  39.08349602 -084.20892147  39.08351745 -084.20887776
112  39.08358607 -084.20883438  39.08362766 -084.20883438
112  39.08367334 -084.20885110  39.08368610 -084.20885833
111  39.08369645 -084.20884843
111  39.08367330 -084.20889560
112  39.08366541 -084.20888499  39.08365801 -084.20887974
112  39.08360801 -084.20887086  39.08357128 -084.20886988
111  39.08355265 -084.20889157
112  39.08351260 -084.20897373  39.08350520 -084.20901645
111  39.08351260 -084.20897373
112  39.08351260 -084.20897373  39.08351107 -084.20901810
111  39.08353020 -084.20903420
112  39.08353020 -084.20903420  39.08354679 -084.20905425
111  39.08356439 -084.20907101
112  39.08358429 -084.20907068  39.08359730 -084.20906247
113  39.08358429 -084.20907068
110 1 0.00 36.0000 Driveway 2
111  39.08307043 -084.20986990
112  39.08306620 -084.20985090  39.08305749 -084.20983968
112  39.08301887 -084.20977647  39.08300463 -084.20973566
112  39.08301978 -084.20966818  39.08304027 -084.20962261
111  39.08301978 -084.20966818
111  39.08308347 -084.20956826
112  39.08313104 -084.20955183  39.08316336 -084.20955375
111  39.08319886 -084.20957292
111  39.08322203 -084.20958798
112  39.08325579 -084.20959415  39.08327535 -084.20958895
111  39.08325579 -084.20959415
111  39.08321219 -084.20965843
112  39.08320758 -084.20963400  39.08319695 -084.20961975
112  39.08314911 -084.20959291  39.08312084 -084.20958881
112  39.08310298 -084.20961345  39.08309183 -084.20962819
111  39.08304601 -084.20969699
112  39.08304686 -084.20975833  39.08306174 -084.20979229
112  39.08308980 -084.20981174  39.08310149 -084.20981503
113  39.08311106 -084.20980928
110 1 0.00 36.0000 Driveway 1
111  39.08280516 -084.21038923
111  39.08290712 -084.21050011
111  39.08288030 -084.21054266
113  39.08277611 -084.21043335
110 1 0.00 36.0000 New Taxiway 4
111  39.08151671 -084.20961399
112  39.08153568 -084.20959539  39.08154915 -084.20957567
111  39.08153568 -084.20959539
111  39.08160532 -084.20948792
111  39.08156347 -084.20944401
111  39.08158902 -084.20940462
