I
1050 Generated by WorldEditor 2.2.0r2

1   1105 0 0 53K Osage City Muni
1302 gui_label 2D
100 12.19 1 0 0.00 0 1 0 17  38.63698541 -095.80177897    0    0 1 0 0 0 35  38.63000900 -095.80184300    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 6
111  38.63679274 -095.80321180
111  38.63679078 -095.80291251
111  38.63695708 -095.80291501
113  38.63695610 -095.80320930
110 2 0.00 0.0000 New Taxiway 5
111  38.63647179 -095.80317446
111  38.63647236 -095.80296647
111  38.63652331 -095.80296609
111  38.63652159 -095.80266960
111  38.63651296 -095.80265514
111  38.63658372 -095.80265455
111  38.63657601 -095.80267020
111  38.63657708 -095.80296569
111  38.63666766 -095.80296502
113  38.63666822 -095.80317881
110 2 0.00 0.0000 New Taxiway 4
111  38.63620083 -095.80288364
111  38.63554095 -095.80288537
111  38.63554084 -095.80284192
111  38.63553971 -095.80239693
111  38.63553960 -095.80235315
111  38.63617936 -095.80234670
111  38.63619937 -095.80234655
113  38.63620065 -095.80270824
110 1 0.00 0.0000 New Taxiway 3
111  38.63015673 -095.80195740
112  38.63015673 -095.80195740  38.63007457 -095.80199384
112  38.63000601 -095.80191523  38.62998524 -095.80186496
111  38.63000601 -095.80191523
112  38.63000601 -095.80191523  38.63000018 -095.80187944
112  38.63000419 -095.80177465  38.63001208 -095.80172617
111  38.63000419 -095.80177465
112  38.63000419 -095.80177465  38.63002378 -095.80171039
112  38.63013088 -095.80168523  38.63019241 -095.80170931
111  38.63013088 -095.80168523
111  38.63029756 -095.80177078
111  38.63029638 -095.80190061
113  38.63026743 -095.80190086
110 1 0.00 0.0000 New Taxiway 2
111  38.63698516 -095.80183395
111  38.63698529 -095.80186280
111  38.63700728 -095.80186277
111  38.63700928 -095.80220553
111  38.63700253 -095.80328551
111  38.63696182 -095.80328545
111  38.63696160 -095.80336939
111  38.63674858 -095.80337379
111  38.63674909 -095.80265318
111  38.63658372 -095.80265455
111  38.63651296 -095.80265514
111  38.63626240 -095.80265722
112  38.63626240 -095.80265722  38.63622640 -095.80266939
111  38.63620065 -095.80270824
111  38.63619937 -095.80234655
111  38.63617936 -095.80234670
111  38.63617934 -095.80225263
111  38.63675147 -095.80224598
111  38.63675154 -095.80220607
113  38.63675217 -095.80183546
130 Airport Boundary 1
111  38.63286280 -095.80234541
111  38.62995185 -095.80241236
111  38.62994730 -095.80161478
111  38.62997265 -095.80156708
111  38.63700682 -095.80151379
111  38.63709133 -095.80154625
111  38.63711500 -095.80166743
111  38.63708795 -095.80315838
111  38.63707950 -095.80317136
111  38.63707105 -095.80336179
111  38.63693975 -095.80339132
111  38.63645235 -095.80338976
111  38.63630350 -095.80338199
111  38.63623534 -095.80328507
111  38.63623352 -095.80313639
111  38.63542067 -095.80314109
111  38.63475076 -095.80222069
113  38.63320623 -095.80226104
120 Linear Feature 14
