I
1050 Generated by WorldEditor 2.1.0r1

1    289 0 0 DAUB Biskra / Mohamed Khider
1302 city Biskra
1302 country Algeria
1302 datum_lat 34.801666667
1302 datum_lon 5.741666667
1302 iata_code BSK
1302 icao_code DAUB
1302 region_code DA
1302 state Biskra Province
1302 transition_alt 3248
1302 transition_level 
100 45.00 1 0 0.25 0 1 0 13  34.80279720  005.72441110    0   96 1 12 0 0 31  34.78500000  005.75055560    0  200 1 12 0 0
110 2 0.00 84.0000 New L Hangar Flor
111  34.79834313  005.72529558
111  34.79831701  005.72533344
111  34.79810859  005.72563551
111  34.79808262  005.72567314
111  34.79847537  005.72607496
111  34.79850125  005.72603745
111  34.79870965  005.72573539
113  34.79873587  005.72569739
110 2 0.00 84.0000 New L Hangar Flor
111  34.79690514  005.72741341
111  34.79687914  005.72745140
111  34.79667171  005.72775447
111  34.79664587  005.72779222
111  34.79703992  005.72819213
111  34.79706568  005.72815450
111  34.79727309  005.72785143
113  34.79729918  005.72781331
110 2 0.00 84.0000 New L Hangar Flor
111  34.79453958  005.72711498
111  34.79451354  005.72715291
111  34.79430573  005.72745560
111  34.79427984  005.72749330
111  34.79467340  005.72789392
111  34.79469921  005.72785633
111  34.79490700  005.72755366
113  34.79493314  005.72751558
110 2 0.00 84.0000 New L Hangar Flor
111  34.79595611  005.72503265
111  34.79593015  005.72507068
111  34.79572305  005.72537408
111  34.79569725  005.72541187
111  34.79609174  005.72581114
111  34.79611745  005.72577347
111  34.79632454  005.72547008
113  34.79635059  005.72543191
110 2 0.00 84.0000 New L Hangar Flor
111  34.78731273  005.75299931
111  34.78728689  005.75303744
111  34.78708069  005.75334173
111  34.78705501  005.75337963
111  34.78745069  005.75377711
111  34.78747629  005.75373933
111  34.78768247  005.75343505
113  34.78770840  005.75339678
110 2 0.00 84.0000 New L Hangar Flor
111  34.78842772  005.75194648
111  34.78840192  005.75198466
111  34.78819603  005.75228926
111  34.78817039  005.75232721
111  34.78856647  005.75272408
111  34.78859204  005.75268626
