I
1050 Generated by WorldEditor

1     18 0 0 PAPO Point Hope
100 22.86 1 1 0.25 0 2 0 01  68.34369266 -166.80488485    0    0 2 0 0 0 19  68.35380666 -166.79365684    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 20
111  68.34531815 -166.79904594
111  68.34527708 -166.79909093
111  68.34525453 -166.79893976
113  68.34529560 -166.79889476
110 2 0.00 0.0000 New Taxiway 20
111  68.34659386 -166.79712246
111  68.34655106 -166.79709159
111  68.34656653 -166.79693401
113  68.34660934 -166.79696488
110 2 0.00 0.0000 New Taxiway 20
111  68.34642653 -166.79748425
111  68.34640923 -166.79736635
111  68.34643942 -166.79733382
113  68.34645672 -166.79745171
110 2 0.00 0.0000 New Taxiway 19
111  68.34470573 -166.79950872
111  68.34464314 -166.79911083
111  68.34474859 -166.79898900
113  68.34481118 -166.79938689
110 1 0.00 0.0000 New Taxiway 17
111  68.34523321 -166.79921944
111  68.34610511 -166.79825427
111  68.34646416 -166.79785681
111  68.34671785 -166.79954011
111  68.34653745 -166.79973981
111  68.34615785 -166.80016001
113  68.34548691 -166.80090274
110 1 0.00 0.0000 New Taxiway 18
111  68.34610511 -166.79825427
111  68.34595686 -166.79725819
111  68.34631663 -166.79686505
113  68.34646416 -166.79785681
110 1 0.00 0.0000 New Taxiway 16
111  68.34631293 -166.80167576
112  68.34636442 -166.80067518  68.34627860 -166.80008750
111  68.34636442 -166.80067518
111  68.34631155 -166.80031484
112  68.34631155 -166.80031484  68.34628479 -166.80012478
111  68.34615785 -166.80016001
111  68.34653745 -166.79973981
111  68.34652474 -166.80007820
111  68.34657769 -166.80043915
112  68.34657769 -166.80043915  68.34665981 -166.80092930
113  68.34692329 -166.80099995
110 1 0.00 0.0000 New Taxiway 13
111  68.35369912 -166.79407508
112  68.35345038 -166.79523726  68.35312798 -166.79559351
113  68.35296934 -166.79487949
110 1 0.00 0.0000 New Taxiway 12
111  68.34378928 -166.80448228
112  68.34403024 -166.80330795  68.34432875 -166.80297173
113  68.34451037 -166.80367828
130 Airport Boundary 15
111  68.35376497 -166.79324074
111  68.35389240 -166.79402656
111  68.35380638 -166.79483829
111  68.35356746 -166.79552912
111  68.35322977 -166.79573637
111  68.35293987 -166.79533914
111  68.35278377 -166.79518370
111  68.34372045 -166.80529342
111  68.34358984 -166.80452517
111  68.34379373 -166.80430937
111  68.34383195 -166.80373966
111  68.34403584 -166.80332532
111  68.34427158 -166.80325627
111  68.34446909 -166.80354112
111  68.34448184 -166.80357564
111  68.34611292 -166.80178868
111  68.34630087 -166.80125345
111  68.34633591 -166.80076138
111  68.34622441 -166.80027794
111  68.34612566 -166.80021751
111  68.34550126 -166.80086497
111  68.34523366 -166.79917294
111  68.34608424 -166.79821468
111  68.34593770 -166.79724780
111  68.34631999 -166.79686795
111  68.34671183 -166.79956141
111  68.34653980 -166.79974270
111  68.34664493 -166.80045060
111  68.34683926 -166.80079591
113  68.34702084 -166.80077865
120 Linear Feature 24
111  68.34624946 -166.80201435 1
111  68.34642910 -166.80181493
111  68.34685175 -166.80134573 1
115  68.34702307 -166.80115553
120 Linear Feature 23
112  68.34650865 -166.80079922  68.34659101 -166.80135312 1
115  68.34685175 -166.80134573
120 Linear Feature 22
111  68.34631155 -166.80031484 5
115  68.34652474 -166.80007820
120 Linear Feature 21
111  68.34642910 -166.80181493 1
112  68.34650865 -166.80079922  68.34642629 -166.80024533
111  68.34650865 -166.80079922 1
115  68.34634036 -166.79965183
21  68.34425888 -166.80516645 1 22.2900 3.00 01  VASI
21  68.34551758 -166.80376765 1 22.2900 3.00 01  VASI
21  68.35333038 -166.79332851 1 202.2800 3.00 19  VASI
21  68.35156231 -166.79529100 1 202.2800 3.00 19  VASI
14  68.34562967 -166.79866784   0.00 0 Viewpoint 8
1300  68.34554367 -166.80012743 202.14 misc props Gate 2
1301 B none 
1300  68.34543552 -166.79939988 200.54 gate jets Gate 1
1301 B airline 
1300  68.34657127 -166.79948515 204.07 tie_down props GA 3
1301 A general_aviation 
1300  68.34617339 -166.79748388 -67.52 tie_down props GA 2
1301 A general_aviation 
1300  68.34630859 -166.79731758 -67.52 tie_down props GA 1
1301 A general_aviation 
18  68.34653844 -166.79747516 1 New Airport Beacon 6
19  68.34656058 -166.79757465 0 New Windsock 5
50 11833 AWOS 3
51 12280 CTAF
99
