A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     1397 1 0 LKBU Bubovice
100   22.86   3   0 0.00 0 0 0 10R  49.97506536  014.17288545    0.00    0.00 1  0 0 0 28L  49.97369471  014.18282664    0.00    0.00 1  0 0 0
100   29.87   3   0 0.00 0 0 0 10L  49.97547727  014.17301528    0.00    0.00 1  0 0 0 28R  49.97411318  014.18282552    0.00    0.00 1  0 0 0
110   1 0.00   0.25 asfalt
111  49.97270100  014.17887745 
111  49.97272452  014.17912128 
111  49.97282865  014.17950405 
111  49.97290611  014.17945819 
111  49.97286697  014.17925240 
111  49.97288900  014.17923804 
111  49.97285903  014.17909655 
111  49.97283458  014.17910808 
112  49.97276715  014.17879577  49.97278494  014.17874043 
111  49.97276715  014.17879577 
111  49.97293831  014.17859667 
111  49.97299072  014.17879357 
111  49.97301186  014.17878100 
111  49.97295629  014.17857520 
111  49.97301261  014.17852347 
112  49.97301261  014.17852347  49.97306984  014.17849431 
112  49.97314315  014.17853939  49.97317473  014.17856701 
111  49.97314315  014.17853939 
111  49.97319119  014.17868357 
111  49.97325577  014.17893429 
111  49.97307934  014.17903379 
111  49.97308643  014.17906136 
111  49.97326601  014.17896920 
112  49.97332488  014.17906869  49.97337276  014.17910637 
112  49.97351744  014.17903503  49.97357043  014.17895952 
112  49.97356548  014.17880205  49.97356154  014.17874919 
112  49.97350051  014.17844205  49.97348472  014.17839142 
112  49.97342503  014.17832050  49.97340420  014.17830716 
111  49.97333256  014.17828070 
111  49.97327329  014.17800547 
111  49.97332371  014.17797062 
111  49.97330952  014.17790262 
111  49.97301005  014.17807375 
111  49.97302540  014.17813743 
111  49.97306892  014.17811446 
111  49.97313507  014.17839214 
111  49.97300317  014.17844665 
111  49.97281807  014.17771558 
111  49.97276432  014.17773945 
111  49.97294350  014.17850357 
111  49.97276176  014.17867072 
111  49.97258259  014.17801804 
111  49.97255699  014.17803794 
111  49.97272912  014.17872144 
113  49.97268976  014.17879607 
111  49.97321935  014.17803850 
111  49.97328003  014.17830134 
111  49.97318757  014.17835751 
113  49.97312833  014.17809691 
111  49.97330217  014.17837312 
112  49.97337790  014.17837088  49.97340158  014.17838008 
112  49.97345638  014.17847054  49.97346427  014.17849509 
112  49.97350976  014.17872829  49.97351865  014.17876051 
112  49.97352277  014.17886072  49.97351685  014.17889448 
112  49.97349052  014.17898510  49.97346684  014.17901732 
112  49.97339097  014.17903250  49.97336038  014.17902176 
112  49.97329882  014.17893047  49.97328698  014.17888291 
113  49.97320050  014.17844205 
110   3 0.00 102.20 strip
111  49.97584936  014.17280692 
111  49.97482164  014.17246285 
111  49.97423942  014.17667124 
111  49.97336787  014.17726358 
111  49.97322039  014.17750633 
111  49.97331692  014.17788981 
111  49.97330952  014.17790262 
111  49.97332371  014.17797062 
111  49.97327329  014.17800547 
111  49.97333256  014.17828070 
111  49.97342503  014.17832050 
111  49.97350051  014.17844205 
111  49.97354418  014.17865087 
111  49.97356548  014.17880205 
111  49.97351744  014.17903503 
111  49.97332488  014.17906869 
111  49.97326601  014.17896920 
111  49.97319480  014.17901139 
111  49.97325603  014.17926656 
111  49.97314154  014.17934785 
111  49.97325668  014.17979551 
111  49.97330194  014.18018108 
111  49.97367915  014.18057086 
111  49.97339445  014.18269219 
111  49.97341423  014.18324521 
113  49.97438095  014.18361288 
130 Airport Boundary 7
111  49.97656973  014.17224442 
111  49.97429296  014.17129906 
111  49.97375559  014.17477270 
111  49.97157782  014.17688326 
111  49.97282226  014.18191784 
111  49.97245458  014.18451207 
113  49.97477377  014.18532552 
14   49.97342026  014.17888591   82 0 TW
15   49.97363288  014.17864733  80.38 Pred vezi
19   49.97335182  014.17880624 0 WS
54 13430 INFO

99
