A
1000 Generated by InfiniteFlight-AirportParser

1       68 1 0 EBGB Grimbergen
100   29.87   3   0 0.00 0 2 1 01   50.94588420  004.39097591    0.00    0.00 1  0 0 0 19   50.95130818  004.39264991    0.00    0.00 1  0 0 0
100   39.01   3   0 0.00 0 2 0 02   50.94582907  004.39103085    0.00    0.00 1  0 0 0 20   50.95142388  004.39267515    0.00    0.00 1  0 0 0
110   2 0.00   0.00 HangarApron
111  50.94462973  004.39503457 
111  50.94503120  004.39500768 
111  50.94510675  004.39485866 
111  50.94658199  004.39468567 
111  50.94649685  004.39331376 
112  50.94649685  004.39331376  50.94648425  004.39317216 
111  50.94640113  004.39316980 
111  50.94468557  004.39336763 
112  50.94456543  004.39358726  50.94457219  004.39377505 
113  50.94456543  004.39358726 
110   1 0.00   0.00 MainTaxiways
111  50.95246614  004.39232356 
111  50.95292294  004.39219809 
111  50.95295706  004.39204780 
111  50.95290791  004.39192793 
111  50.95284898  004.39214432 
111  50.94980777  004.39274046 
111  50.94792329  004.39269743 
111  50.94647390  004.39322835 
111  50.94649685  004.39331376 
111  50.94792007  004.39278757 
111  50.94839310  004.39280649 
111  50.94846045  004.39291929 
111  50.94842009  004.39389185 
111  50.94831600  004.39404276 
111  50.94654375  004.39409004 
111  50.94658199  004.39468567 
111  50.94706948  004.39464783 
111  50.94711048  004.39457164 
111  50.94836917  004.39453426 
111  50.94841483  004.39458073 
111  50.94841736  004.39480558 
111  50.94848889  004.39532475 
112  50.94848889  004.39532475  50.94849599  004.39545916 
111  50.94833646  004.39540976 
111  50.94805360  004.39524868 
111  50.94785073  004.39521378 
111  50.94784741  004.39516744 
111  50.94742590  004.39522184 
111  50.94726027  004.39529361 
111  50.94725593  004.39533987 
111  50.94716036  004.39535787 
111  50.94692035  004.39528452 
111  50.94693035  004.39540803 
111  50.94689966  004.39542097 
111  50.94673743  004.39473087 
111  50.94504135  004.39492049 
111  50.94504827  004.39523200 
111  50.94582257  004.39513406 
111  50.94583286  004.39559517 
111  50.94573695  004.39573300 
111  50.94500680  004.39564704 
111  50.94458646  004.39520215 
112  50.94458646  004.39520215  50.94451549  004.39511454 
111  50.94451341  004.39507206 
112  50.94451341  004.39507206  50.94449527  004.39498946 
111  50.94454859  004.39499013 
112  50.94454859  004.39499013  50.94461604  004.39497305 
111  50.94462911  004.39498475 
111  50.94462225  004.39485519 
112  50.94458670  004.39488353  50.94456462  004.39489293 
111  50.94458670  004.39488353 
111  50.94450282  004.39489947 
112  50.94446259  004.39485053  50.94445234  004.39479671 
111  50.94446259  004.39485053 
112  50.94415877  004.39316578  50.94415877  004.39313896 
111  50.94415877  004.39316578 
112  50.94415877  004.39316578  50.94414647  004.39284385 
111  50.94433521  004.39295425 
111  50.94478963  004.39335671 
111  50.94488882  004.39334513 
111  50.94435561  004.39287713 
112  50.94398643  004.39199794  50.94381893  004.39134188 
111  50.94398643  004.39199794 
112  50.94398643  004.39199794  50.94397568  004.39196624 
111  50.94368020  004.39052068 
112  50.94376851  004.39040884  50.94380859  004.39041338 
111  50.94376851  004.39040884 
112  50.94376851  004.39040884  50.94380382  004.39041338 
111  50.94607216  004.39112306 
111  50.94609274  004.39095971 
111  50.94360966  004.39018764 
111  50.94308867  004.39042574 
111  50.94291830  004.39037297 
111  50.94287533  004.39016003 
111  50.94285844  004.39016894 
111  50.94292803  004.39051997 
111  50.94294530  004.39050891 
111  50.94292435  004.39040452 
111  50.94306582  004.39044858 
111  50.94312282  004.39071413 
111  50.94345397  004.39051451 
111  50.94349844  004.39068365 
111  50.94353578  004.39067930 
111  50.94357178  004.39083859 
111  50.94372799  004.39101736 
111  50.94391757  004.39193531 
111  50.94410306  004.39319157 
111  50.94445002  004.39513997 
111  50.94496783  004.39571012 
111  50.94526354  004.39594043 
111  50.94533946  004.39579843 
111  50.94592711  004.39586047 
111  50.94657829  004.39578757 
111  50.94659328  004.39583243 
111  50.94655464  004.39584687 
111  50.94663239  004.39618862 
111  50.94676821  004.39611862 
111  50.94684274  004.39642385 
111  50.94710250  004.39628265 
111  50.94708473  004.39620915 
111  50.94711727  004.39618957 
111  50.94699364  004.39561287 
111  50.94694442  004.39563628 
111  50.94692970  004.39556918 
111  50.94717493  004.39545500 
111  50.94786188  004.39533320 
111  50.94789788  004.39533280 
111  50.94789400  004.39562500 
111  50.94808246  004.39562661 
111  50.94808571  004.39606730 
111  50.94870443  004.39612024 
111  50.94870508  004.39623776 
111  50.94882693  004.39624136 
111  50.94882748  004.39614874 
111  50.94889652  004.39614776 
111  50.94893452  004.39519625 
111  50.94885052  004.39506724 
111  50.94877948  004.39505783 
111  50.94876052  004.39474783 
111  50.94889648  004.39473283 
111  50.94889541  004.39458859 
112  50.94887141  004.39451953  50.94884534  004.39448643 
111  50.94887141  004.39451953 
111  50.94874037  004.39440529 
111  50.94871798  004.39402197 
111  50.94865483  004.39298973 
111  50.94871781  004.39282070 
111  50.94981027  004.39282634 
111  50.95017518  004.39278529 
111  50.95051160  004.39560608 
111  50.95056334  004.39559235 
111  50.95025639  004.39276964 
111  50.95097708  004.39264675 
111  50.95287362  004.39324860 
112  50.95287362  004.39324860  50.95296937  004.39336123 
112  50.95299367  004.39308127  50.95291844  004.39297406 
111  50.95299367  004.39308127 
113  50.95293205  004.39304783 
111  50.94361189  004.39045582 
112  50.94368051  004.39079913  50.94367956  004.39080822 
111  50.94368051  004.39079913 
112  50.94368051  004.39079913  50.94368528  004.39085213 
111  50.94365251  004.39081339 
111  50.94359621  004.39074468 
113  50.94354878  004.39052794 
111  50.94865214  004.39424178 
111  50.94869967  004.39538774 
112  50.94869967  004.39538774  50.94868804  004.39545526 
112  50.94855479  004.39530484  50.94853023  004.39510836 
111  50.94855479  004.39530484 
111  50.94849163  004.39480942 
111  50.94848501  004.39424713 
111  50.94852000  004.39327300 
113  50.94859961  004.39327267 
111  50.94871382  004.39585742 
112  50.94866864  004.39598813  50.94861290  004.39600069 
111  50.94866864  004.39598813 
111  50.94850172  004.39597688 
111  50.94850200  004.39577800 
111  50.94860435  004.39578403 
113  50.94860368  004.39584548 
111  50.94871568  004.39575458 
111  50.94871467  004.39581324 
111  50.94863765  004.39580645 
113  50.94863903  004.39574925 
111  50.94856617  004.39555173 
