A
1100 Generated by WorldEditor 1.6.0r1

1   1019 1 0 9C8 Evart Municipal Airport
100 22.86 1 0 0.00 0 2 0 06  43.89177913 -085.29051381    0    0 1 0 0 1 24  43.89800769 -085.27890862    0  116 1 0 0 1
110 2 0.00 0.0000 New Taxiway 3
111  43.89606174 -085.28567743
111  43.89598292 -085.28558356
111  43.89604197 -085.28547875
111  43.89601794 -085.28544970
111  43.89604321 -085.28540507
111  43.89606429 -085.28542951
111  43.89607884 -085.28540259
111  43.89616089 -085.28549595
111  43.89614512 -085.28552448
111  43.89615878 -085.28554202
111  43.89613826 -085.28557809
113  43.89612515 -085.28556266
110 1 0.00 0.0000 New Taxiway 2
111  43.89211483 -085.29010902
111  43.89211483 -085.29036529
111  43.89194837 -085.29068834
113  43.89186158 -085.29059894
110 1 0.00 0.0000 New Taxiway 1
111  43.89491615 -085.28490219 3
112  43.89494669 -085.28514782  43.89500442 -085.28524086
111  43.89494669 -085.28514782 3
111  43.89514142 -085.28534878
112  43.89514142 -085.28534878  43.89516677 -085.28536537 3
112  43.89521351 -085.28537094  43.89523596 -085.28537040
111  43.89521351 -085.28537094
112  43.89521351 -085.28537094  43.89529248 -085.28536903 3
111  43.89534874 -085.28528479 3
111  43.89832879 -085.27972418
112  43.89832879 -085.27972418  43.89836415 -085.27963816 3
112  43.89835638 -085.27951701  43.89834755 -085.27946637
111  43.89835638 -085.27951701
112  43.89835638 -085.27951701  43.89834637 -085.27945962 3
111  43.89832362 -085.27942775 3
111  43.89812833 -085.27923839
112  43.89812833 -085.27923839  43.89804359 -085.27916473 3
111  43.89794107 -085.27926457
111  43.89808298 -085.27900095 3
111  43.89843623 -085.27937009 3
111  43.89865713 -085.27960092
112  43.89865713 -085.27960092  43.89871300 -085.27965046
111  43.89875583 -085.27958541
111  43.89880524 -085.27949324
111  43.89887885 -085.27935589
111  43.89895257 -085.27921834
111  43.89898025 -085.27916671
111  43.89919628 -085.27937994
112  43.89919628 -085.27937994  43.89923120 -085.27941117
111  43.89926705 -085.27936960 3
111  43.89994560 -085.27810413
112  43.89994560 -085.27810413  43.89998817 -085.27802037
111  43.89999132 -085.27795326
