I
1050 Generated by WorldEditor 2.3.0r2

1     62 0 0 CFH4 Fox Harbour
100 22.86 1 0 0.00 0 1 0 15  45.87396071 -063.46902523    0    0 1 0 0 0 33  45.86626613 -063.45334800   31    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 43
111  45.87375605 -063.46836852
111  45.87406230 -063.46877954
112  45.87406230 -063.46877954  45.87414877 -063.46890773
112  45.87380261 -063.46911624  45.87366036 -063.46902109
111  45.87380261 -063.46911624
111  45.87370862 -063.46893279
113  45.87358331 -063.46847764
110 1 0.00 0.0000 New Taxiway 42
111  45.86621267 -063.45342561
112  45.86622104 -063.45336252  45.86623584 -063.45332679
111  45.86622104 -063.45336252
111  45.86631015 -063.45327380
112  45.86631015 -063.45327380  45.86643974 -063.45316031
111  45.86653106 -063.45330384
113  45.86667917 -063.45394553
110 2 0.00 0.0000 New Taxiway 39
111  45.86661690 -063.45551740
111  45.86627349 -063.45586347
111  45.86594472 -063.45519707
111  45.86628813 -063.45485099
113  45.86644310 -063.45516511
110 1 0.00 0.0000 New Taxiway 38
111  45.86761486 -063.45633588
112  45.86761486 -063.45633588  45.86754343 -063.45631676
111  45.86752365 -063.45642000
111  45.86762741 -063.45662308
111  45.86737189 -063.45687879
111  45.86680543 -063.45575913
111  45.86670201 -063.45568991
111  45.86661690 -063.45551740
111  45.86644310 -063.45516511
111  45.86628813 -063.45485099
111  45.86614071 -063.45455218
111  45.86641182 -063.45426090
111  45.86655818 -063.45452838
112  45.86667324 -063.45441906  45.86670035 -063.45428415
111  45.86667324 -063.45441906
111  45.86702536 -063.45513636
112  45.86702536 -063.45513636  45.86694885 -063.45511411
111  45.86693471 -063.45519244
111  45.86734403 -063.45604062
112  45.86743259 -063.45596251  45.86744374 -063.45587038
113  45.86743259 -063.45596251
130 Airport Boundary 45
111  45.86701228 -063.45382238
111  45.86731294 -063.45414866
111  45.86784663 -063.45436394
111  45.86809548 -063.45459215
111  45.86802652 -063.45490217
111  45.86796356 -063.45531035
111  45.86867954 -063.45693793
111  45.86864357 -063.45731512
111  45.87169459 -063.46359315
111  45.87211915 -063.46312809
111  45.87354752 -063.46608379
111  45.87381017 -063.46768567
111  45.87429588 -063.46903437
111  45.87378138 -063.46943226
111  45.87341080 -063.46852279
111  45.87320212 -063.46865198
111  45.86675055 -063.45614311
111  45.86653193 -063.45640025
111  45.86634662 -063.45630457
111  45.86630498 -063.45607134
111  45.86621961 -063.45614909
111  45.86565952 -063.45471983
111  45.86586565 -063.45429823
111  45.86591770 -063.45353875
111  45.86639243 -063.45307230
113  45.86670058 -063.45321582
120 Linear Feature 44
111  45.86749981 -063.45637141 4
115  45.86735542 -063.45607673
120 Linear Feature 44
111  45.86690040 -063.45514809 4
115  45.86661381 -063.45456318
120 Linear Feature 41
111  45.86680799 -063.45481307 1
112  45.86700080 -063.45484032  45.86706635 -063.45494346
111  45.86700080 -063.45484032 1
115  45.86703779 -063.45491711
120 Linear Feature 40
111  45.86644260 -063.45516556 1
111  45.86680799 -063.45481307 1
112  45.86683727 -063.45448962  45.86677742 -063.45433460
111  45.86683727 -063.45448962 1
115  45.86681635 -063.45444156
21  45.86778710 -063.45578606 3 305.1800 3.00 New Light Fixture 30
1300  45.86640771 -063.45526265  35.25 hangar jets|turboprops|props Hangar
1301 C none 
1300  45.86695184 -063.45579609  36.03 tie_down props Tie Down 7
1301 A general_aviation 
1300  45.86702548 -063.45594509  36.03 tie_down props Tie Down 6
1301 A general_aviation 
1300  45.86710162 -063.45609650  36.03 tie_down props Tie Down 5
1301 A general_aviation 
1300  45.86717693 -063.45625032  36.03 tie_down props Tie Down 4
1301 A general_aviation 
1300  45.86725224 -063.45640053  36.03 tie_down props Tie Down 3
1301 A general_aviation 
1300  45.86732671 -063.45655074  36.03 tie_down props Tie Down 2
1301 A general_aviation 
1300  45.86740369 -063.45670335  36.03 tie_down props Tie Down 1
1301 A general_aviation 
19  45.86757488 -063.45446487 1 New Windsock 29
51 12220 Fox Harbour Traffic
99
