I
1050 Generated by WorldEditor 2.1.0r1

1   1700 0 0 CJK4 Esterhazy
100 22.86 1 0 0.00 0 1 0 08  50.64254775 -102.10533736    0    0 1 0 0 0 26  50.64254775 -102.09227896    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 6
111  50.64306399 -102.09913227
111  50.64306663 -102.09899197
111  50.64302313 -102.09898919
111  50.64302548 -102.09881955
111  50.64314482 -102.09882141
111  50.64314540 -102.09899383
111  50.64310602 -102.09899290
113  50.64310544 -102.09913512
110 2 0.00 0.0000 New Taxiway 5
112  50.64341027 -102.09924482  50.64343059 -102.09905526
111  50.64341027 -102.09924482
111  50.64360367 -102.09923815
111  50.64359944 -102.09959456
113  50.64341241 -102.09959665
110 2 0.00 0.0000 New Taxiway 4
111  50.64403034 -102.09981430
111  50.64402271 -102.10014340
111  50.64395598 -102.10016165
111  50.64387688 -102.10013880
111  50.64388277 -102.09988430
113  50.64388436 -102.09981816
110 2 0.00 0.0000 New Taxiway 4
111  50.64365296 -102.09992770
111  50.64364713 -102.10026383
111  50.64349688 -102.10026220
113  50.64350377 -102.09992302
110 1 0.00 0.0000 New Taxiway 3
111  50.64264844 -102.09946322
112  50.64264844 -102.09946322  50.64268018 -102.09957817
111  50.64276260 -102.09962834
111  50.64290423 -102.09963881
111  50.64292513 -102.09964035 1
111  50.64292814 -102.09946155
111  50.64292936 -102.09938940
112  50.64292936 -102.09938940  50.64293230 -102.09930968
111  50.64296113 -102.09927579
111  50.64306204 -102.09927031
111  50.64306399 -102.09913227
111  50.64310544 -102.09913512
111  50.64310789 -102.09926838
111  50.64341027 -102.09924482
112  50.64341027 -102.09924482  50.64338996 -102.09943437
111  50.64341241 -102.09959665
111  50.64335462 -102.09959634
112  50.64335462 -102.09959634  50.64335638 -102.09968348
111  50.64339158 -102.09968552
111  50.64402943 -102.09972364
111  50.64402989 -102.09976902
111  50.64403034 -102.09981430
111  50.64388436 -102.09981816
111  50.64388277 -102.09988430
112  50.64384664 -102.09981894  50.64383341 -102.09975250
111  50.64384664 -102.09981894
111  50.64375834 -102.09981481
111  50.64372930 -102.09981345
111  50.64365084 -102.09980979
111  50.64365296 -102.09992770
111  50.64350377 -102.09992302
111  50.64350528 -102.09981164
111  50.64339852 -102.09980609
112  50.64335476 -102.09986327  50.64334348 -102.09991444
111  50.64335476 -102.09986327
111  50.64304776 -102.09988260 1
111  50.64293206 -102.09989309 1
111  50.64292947 -102.09976448
111  50.64290434 -102.09976463
111  50.64280444 -102.09976520
112  50.64264832 -102.09991285  50.64261146 -102.10004088
113  50.64264832 -102.09991285
110 2 0.00 0.0000 New Taxiway 11
111  50.64379904 -102.10009488
111  50.64368335 -102.10009933
111  50.64368787 -102.09994305
111  50.64371119 -102.09994301
111  50.64372930 -102.09981345
111  50.64375834 -102.09981481
111  50.64376286 -102.09994734
113  50.64379663 -102.09994587
130 Airport Boundary
111  50.64291141 -102.11064803
111  50.64222751 -102.11064803
111  50.64222751 -102.08737576
111  50.64291141 -102.08738830
111  50.64289980 -102.09865344
111  50.64419249 -102.09866942
111  50.64419455 -102.10027763
111  50.64367708 -102.10079338
113  50.64295529 -102.10082960
120 Linear Feature 10
111  50.64402989 -102.09976902 22
115  50.64334982 -102.09973197
120 Linear Feature 9
111  50.64290423 -102.09963881 4
115  50.64290434 -102.09976463
120 Linear Feature 8
111  50.64292513 -102.09964035 1
111  50.64304393 -102.09963198 1
111  50.64304334 -102.09945658 1
115  50.64292814 -102.09946155
120 Linear Feature 7
111  50.64304776 -102.09988260 1
111  50.64304488 -102.09976566 1
115  50.64292947 -102.09976448
120 Linear Feature 2
111  50.64268582 -102.09970836 1
112  50.64257694 -102.09950834  50.64254900 -102.09933748
111  50.64257694 -102.09950834 1
115  50.64257794 -102.09882621
120 Linear Feature 1
111  50.64293331 -102.09970373 1
111  50.64268582 -102.09970836 1
112  50.64257942 -102.09989840  50.64255911 -102.10004123
111  50.64257942 -102.09989840 1
115  50.64257791 -102.10059072
14  50.64316460 -102.10039302  82.00 0 Esterhazy
1300  50.64308514 -102.09896896 -90.80 hangar props Hangar 5
1301 A none 
1300  50.64348778 -102.09941499 179.40 hangar props Hangar 4
1301 A none 
1300  50.64374111 -102.09997016  89.50 hangar props Hangar 2
1301 A none 
1300  50.64357568 -102.10000250  89.50 hangar props Hangar 3
1301 A none 
1300  50.64395406 -102.10001184  89.50 hangar props Hangar 1
1301 A none 
18  50.64303624 -102.10039485 1 Esterhazy
19  50.64293532 -102.09999485 1 WS
51 12280 Unicom
99
