A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      515 0 0 EPSA Zlobek Maly
100   59.74   3   0 0.00 0 0 0 04   51.45611200  023.54480875    0.00    0.00 0  0 0 0 22   51.45329684  023.54054711    0.00    0.00 0  0 0 0
100   59.74   3   0 0.00 0 0 0 02   51.45920908  023.54496555    0.00    0.00 0  0 0 0 20   51.45301453  023.54031083    0.00    0.00 0  0 0 0
110   2 0.00 120.00 Znacznik
111  51.45853783  023.54506381 
111  51.45851641  023.54510653 
111  51.45852921  023.54512495 
113  51.45855255  023.54508366 
110   2 0.00 120.00 Znacznik
111  51.45922855  023.54540518 
111  51.45920713  023.54544790 
111  51.45921993  023.54546632 
113  51.45924327  023.54542503 
110   2 0.00 120.00 Znacznik
111  51.45922855  023.54540518 
111  51.45920713  023.54544790 
111  51.45921993  023.54546632 
113  51.45924327  023.54542503 
110   2 0.00 120.00 Znacznik
111  51.45936349  023.54471143 
111  51.45934207  023.54475415 
111  51.45935487  023.54477257 
113  51.45937821  023.54473128 
110   2 0.00 120.00 Znacznik
111  51.45878713  023.54396262 
111  51.45876571  023.54400534 
111  51.45877851  023.54402375 
113  51.45880185  023.54398247 
110   2 0.00 120.00 Znacznik
111  51.45310141  023.53973160 
111  51.45307999  023.53977432 
111  51.45309279  023.53979273 
113  51.45311614  023.53975145 
110   2 0.00 120.00 Znacznik
111  51.45289385  023.54014017 
111  51.45287243  023.54018289 
111  51.45288523  023.54020131 
113  51.45290858  023.54016002 
110   2 0.00 120.00 Znacznik
111  51.45645944  023.54453298 
111  51.45643684  023.54457194 
111  51.45645082  023.54459412 
113  51.45647416  023.54455283 
110   2 0.00 120.00 Znacznik
111  51.45591884  023.54525706 
111  51.45589625  023.54529602 
111  51.45591022  023.54531820 
113  51.45593356  023.54527691 
130 Airport Boundary 12
112  51.45932994  023.54432283  51.45909089  023.54415375 
111  51.45932994  023.54432283 
111  51.45841637  023.54362119 
112  51.45841637  023.54362119  51.45802740  023.54345863 
112  51.45771814  023.54276248  51.45741021  023.54255440 
111  51.45771814  023.54276248 
112  51.45771814  023.54276248  51.45723598  023.54261292 
111  51.45235418  023.53921277 
112  51.45198974  023.53923848  51.45187905  023.53942499 
111  51.45198974  023.53923848 
111  51.45634912  023.54684061 
112  51.45634912  023.54684061  51.45692198  023.54719147 
112  51.45682005  023.54463472  51.45720473  023.54363543 
111  51.45682005  023.54463472 
111  51.45672814  023.54452448 
111  51.45690473  023.54418410 
112  51.45709024  023.54418508  51.45720370  023.54436717 
111  51.45709024  023.54418508 
111  51.45731201  023.54445613 
112  51.45731201  023.54445613  51.45742546  023.54461869 
111  51.45775157  023.54456244 
112  51.45809030  023.54470884  51.45816323  023.54482589 
111  51.45809030  023.54470884 
112  51.45909758  023.54557178  51.45978830  023.54601593 
111  51.45909758  023.54557178 
112  51.45933826  023.54543588  51.45943550  023.54511724 
111  51.45933826  023.54543588 
113  51.45947643  023.54477781 
14   51.45571794  023.54552113   82 0 New Tower Viewpoint 7
19   51.45507775  023.54416218 0 New Windsock 6

99
