I
1050 Generated by WorldEditor 2.1.0r1

1     49 0 0 MP01 Finca Ceiba
100 10.00 1 0 0.25 0 0 0 18  08.36111259 -082.83629125    0    0 0 0 0 0 36  08.35287331 -082.83613910    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 7
111  08.36103348 -082.83617854
111  08.36103440 -082.83605287
111  08.36095831 -082.83605193
111  08.36095956 -082.83572564
111  08.36112443 -082.83572693
113  08.36112101 -082.83617864
110 1 0.00 0.0000 New Taxiway 6
111  08.36074252 -082.83625476
111  08.36081796 -082.83617830
111  08.36103348 -082.83617854
111  08.36112101 -082.83617864
111  08.36111758 -082.83640616
111  08.36087143 -082.83640281
113  08.36075096 -082.83632551
130 Airport Boundary 1
111  08.36120667 -082.83659202
111  08.36075019 -082.83650097
111  08.36057657 -082.83643696
111  08.35115845 -082.83640055
111  08.35109831 -082.83581476
111  08.35242149 -082.83588108
111  08.35278235 -082.83556608
111  08.35581635 -082.83597053
111  08.35940047 -082.83608361
111  08.35957833 -082.83587453
111  08.36080029 -082.83592991
111  08.36077392 -082.83554613
111  08.36116681 -082.83556745
111  08.36119845 -082.83609781
111  08.36126437 -082.83627637
113  08.36126964 -082.83649758
14  08.36096390 -082.83610583   9.84 0 New Tower Viewpoint 19
1300  08.36107864 -082.83588076 272.34 tie_down props Tie Down 02
1301 A general_aviation 
1300  08.36095677 -082.83634935 139.13 tie_down props Tie Down 01
1301 A general_aviation 
18  08.36096390 -082.83610583 1 New Airport Beacon 7
99
