I
1000 Generated by WorldEditor

1     23 1 0 KNRS IMPERIAL BEACH
100 103.94 1 0 0.00 1 3 1 09  32.56793900 -117.12276100    0    0 1 0 0 2 27  32.56435300 -117.10710000    0    0 3 11 0 2
100 46.02 15 0 0.00 0 0 0 08  32.56696900 -117.11380189    0    0 1 0 0 0 26  32.56535419 -117.10676424    0    0 1 0 0 0
102 H1  32.56112162 -117.11818209 104.99 29.90 29.90 2 0 0 0.00 1
102 H2  32.56217130 -117.11783702 104.98 29.90 29.90 2 0 0 0.00 1
102 H3  32.56323433 -117.11749655 104.98 29.90 29.90 2 0 0 0.00 1
102 H4  32.56430848 -117.11717191 104.97 29.90 29.90 2 0 0 0.00 1
102 H5  32.56536616 -117.11683540 104.96 29.90 29.90 2 0 0 0.00 1
110 1 0.00 0.0000 New Taxiway 30
111  32.56706320 -117.11100722 20
111  32.56720108 -117.11096240 20
111  32.56728985 -117.11133890 20
113  32.56714064 -117.11138596 20
110 4 0.25 105.0000 New Taxiway 11
111  32.56480856 -117.11120907
111  32.56392295 -117.11152499
111  32.56451151 -117.11415100
112  32.56451151 -117.11415100  32.56453689 -117.11426444
111  32.56462262 -117.11420340
111  32.56517537 -117.11338406
112  32.56517537 -117.11338406  32.56522445 -117.11331678
111  32.56525105 -117.11319221
111  32.56538691 -117.11375784
112  32.56521742 -117.11366717  32.56516157 -117.11375251
111  32.56521742 -117.11366717
111  32.56374005 -117.11600200
112  32.56374005 -117.11600200  32.56370590 -117.11605499
111  32.56374498 -117.11612223
111  32.56351309 -117.11590805
111  32.56406933 -117.11490929
111  32.56332397 -117.11148551
113  32.56475729 -117.11100072
110 5 0.25 60.0000 New Taxiway 10
111  32.56561527 -117.11474351
111  32.56594660 -117.11611933
113  32.56454198 -117.11657701
110 5 0.25 60.0000 New Taxiway 9
111  32.56510036 -117.11742241
111  32.56584452 -117.11718348
113  32.56550537 -117.11778970
110 5 0.00 60.0000 New Taxiway 8
111  32.56257786 -117.12008634
111  32.56364135 -117.11816763
111  32.56475507 -117.11916162
113  32.56420735 -117.12008507
110 4 0.25 0.0000 New Taxiway 4
111  32.56684313 -117.12008436
111  32.56719403 -117.12168983
111  32.56062994 -117.12168123
111  32.56062697 -117.12008799
113  32.56579906 -117.12008302
110 4 0.25 142.0000 New Taxiway 3
111  32.56271963 -117.11716635
111  32.56290188 -117.11687474
111  32.56351309 -117.11590805
113  32.56426207 -117.11668188
110 4 0.25 142.0000 New Taxiway 2
111  32.56684313 -117.12008436
111  32.56579906 -117.12008302
111  32.56340486 -117.11795729
111  32.56510036 -117.11742241
113  32.56653139 -117.11872348
110 15 0.00 15.0000 New Taxiway 1
111  32.56615254 -117.11708224
111  32.56083912 -117.11876602
111  32.56062201 -117.11784790
113  32.56595275 -117.11612663
110 1 0.00 0.0000 New Taxiway 8
111  32.56653284 -117.10467954 20
111  32.56652906 -117.10444647 20
111  32.56682181 -117.10443975 20
111  32.56681992 -117.10458542 20
111  32.56676515 -117.10458542 20
113  32.56676515 -117.10468178 20
110 1 0.00 0.0000 New Taxiway 11
111  32.56642181 -117.10467117 20
111  32.56631192 -117.10467117 20
111  32.56631020 -117.10434112 20
113  32.56642181 -117.10434316 20
110 1 0.00 0.0000 New Taxiway 13
111  32.56598693 -117.10444690 20
111  32.56544221 -117.10444690 20
111  32.56543485 -117.10424164 20
113  32.56598325 -117.10423291 20
110 1 0.00 0.0000 New Taxiway 15
111  32.56672835 -117.10249067 20
111  32.56648410 -117.10249067 20
111  32.56647740 -117.10204602 20
113  32.56672500 -117.10203808 20
110 1 0.00 0.0000 New Taxiway 17
111  32.56715450 -117.10889746 20
111  32.56698342 -117.10895598 20
111  32.56693328 -117.10873042 20
113  32.56710170 -117.10867375 20
110 1 0.00 0.0000 New Taxiway 26
111  32.56740317 -117.11070468 20
111  32.56713875 -117.11078984 20
111  32.56709720 -117.11060831 20
113  32.56735784 -117.11052091 20
110 1 0.00 0.0000 New Taxiway 24
111  32.56787729 -117.11030750 20
111  32.56761477 -117.11039168 20
111  32.56752537 -117.10998421 20
113  32.56779215 -117.10990676 20
110 1 0.00 0.0000 New Taxiway 32
111  32.56789989 -117.11088397 20
111  32.56808121 -117.11082794 20
111  32.56816620 -117.11116186 20
113  32.56798111 -117.11122237 20
110 1 0.00 0.0000 New Taxiway 31
111  32.56764303 -117.11102739 20
111  32.56783190 -117.11096913 20
111  32.56792067 -117.11129856 20
113  32.56772613 -117.11136131 20
110 1 0.00 0.0000 New Taxiway 25
111  32.56781490 -117.11087724 20
111  32.56757290 -117.11094866 20
