I
1100 Generated by WorldEditor 1.7.1r2

1    707 0 0 CYJF Fort Liard
100 30.00 5 0 0.00 0 0 0 04  60.23253773 -123.47678241    0    0 0 0 0 0 22  60.23853028 -123.46330836    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 42
111  60.23706892 -123.47097730
111  60.23702996 -123.47090222
111  60.23705791 -123.47084249
113  60.23709620 -123.47091759
110 2 0.00 0.0000 New Taxiway 41
111  60.23644508 -123.47332771
111  60.23651404 -123.47318232
111  60.23647151 -123.47309837
111  60.23650906 -123.47301601
111  60.23665041 -123.47327651
113  60.23654266 -123.47352633
110 2 0.00 0.0000 New Taxiway 40
111  60.23758435 -123.47118001
111  60.23748189 -123.47100555
111  60.23754145 -123.47087377
113  60.23764412 -123.47104732
110 2 0.00 0.0000 New Taxiway 39
111  60.23732509 -123.47133233
111  60.23748025 -123.47161245
111  60.23736461 -123.47189257
113  60.23719628 -123.47159771
110 5 0.00 0.0000 New Taxiway 38
111  60.23554768 -123.47035617
112  60.23554768 -123.47035617  60.23555107 -123.47051998
112  60.23562145 -123.47071169  60.23566042 -123.47079359
111  60.23562145 -123.47071169
111  60.23612041 -123.47157808
112  60.23612041 -123.47157808  60.23619359 -123.47162526
112  60.23634937 -123.47145930  60.23642256 -123.47135315
111  60.23634937 -123.47145930
111  60.23665004 -123.47080618
111  60.23687769 -123.47078580
111  60.23716519 -123.47021855
111  60.23754145 -123.47087377
111  60.23748189 -123.47100555
111  60.23732509 -123.47133233
111  60.23719628 -123.47159771
111  60.23650906 -123.47301601
111  60.23647151 -123.47309837
111  60.23634961 -123.47334843
111  60.23619888 -123.47310095
111  60.23643644 -123.47260021
111  60.23552916 -123.47089986
112  60.23552916 -123.47089986  60.23547665 -123.47083160
112  60.23533767 -123.47081736  60.23525550 -123.47082248
113  60.23533767 -123.47081736
130 Airport Boundary 125
111  60.23189210 -123.47647091
111  60.23841947 -123.46138432
111  60.23942589 -123.46349824
111  60.23716863 -123.46859480
111  60.23844822 -123.47099830
111  60.23656478 -123.47505239
111  60.23531394 -123.47279368
113  60.23294166 -123.47823774
21  60.23379897 -123.47496957 2 49.0000 3.00 02  PAPI-4L
21  60.23717564 -123.46520401 2 229.0100 3.00 20  PAPI-4L
14  60.23747625 -123.47061224  82.02 0 New Tower Viewpoint 188
1300  60.23706362 -123.47091592 226.74 tie_down turboprops|props GA Stand 01
1301 A general_aviation 
1300  60.23655579 -123.47318340 132.92 hangar turboprops|props Hangar 01
1301 A none 
1300  60.23729375 -123.47151996 139.31 hangar turboprops|props Hangar 02
1301 A none 
1300  60.23752720 -123.47097269 138.48 hangar turboprops|props Hangar 03
1301 A none 
18  60.23747625 -123.47061224 1 BCN
19  60.23581218 -123.47258107 1 WS
99
