I
1050 Generated by WorldEditor 2.1.0r1

1     21 0 0 PAOH Hoonah
100 22.86 1 0 0.00 0 2 0 6  58.09525342 -135.41730912    0    0 1 0 0 1 24  58.09719655 -135.40027477    0    0 1 0 0 1
110 1 0.00 0.0000 Taxiway 1
111  58.09879927 -135.41392469 3
111  58.09787570 -135.41351241
112  58.09787570 -135.41351241  58.09780897 -135.41391298
112  58.09732749 -135.41379612  58.09729944 -135.41378474
111  58.09732749 -135.41379612
111  58.09606250 -135.41325876
112  58.09606250 -135.41325876  58.09593912 -135.41320687
111  58.09591419 -135.41342264
111  58.09528876 -135.41900762
111  58.09484097 -135.41881565
111  58.09713040 -135.39858717
111  58.09758428 -135.39876396
111  58.09645838 -135.40874379
112  58.09645838 -135.40874379  58.09643843 -135.40893115
111  58.09656879 -135.40898335
111  58.09821997 -135.40963121
111  58.09832809 -135.40963228
111  58.09832922 -135.40963277
111  58.09833690 -135.40963610 3
111  58.09911946 -135.40997504
111  58.09925997 -135.41003589
111  58.09911211 -135.41128403
111  58.09907477 -135.41159916
111  58.09905621 -135.41175581
111  58.09902395 -135.41202817
111  58.09895049 -135.41264820
113  58.09889462 -135.41311980
111  58.09771230 -135.41298551
111  58.09799223 -135.41049454
112  58.09799223 -135.41049454  58.09803134 -135.41013063
111  58.09782688 -135.41004161
111  58.09647886 -135.40948073
112  58.09647886 -135.40948073  58.09636151 -135.40943046
111  58.09634543 -135.40958911
111  58.09602884 -135.41241943
112  58.09602884 -135.41241943  58.09600302 -135.41265965
111  58.09614196 -135.41271664
111  58.09748331 -135.41327108
114  58.09748331 -135.41327108  58.09767343 -135.41334927
110 2 0.00 0.0000 New Taxiway 6
111  58.09911211 -135.41128403
111  58.09925769 -135.41134598
111  58.09922014 -135.41166367
113  58.09907477 -135.41159916
110 2 0.00 0.0000 New Taxiway 5
111  58.09905621 -135.41175581
111  58.09921479 -135.41182443
111  58.09918109 -135.41209987
113  58.09902395 -135.41202817
110 2 0.00 0.0000 New Taxiway 4
111  58.09889462 -135.41311980
111  58.09895049 -135.41264820
111  58.09917110 -135.41274372
113  58.09911131 -135.41321790
130 Boundary
111  58.09545368 -135.41944704
111  58.09458613 -135.41909965
111  58.09696931 -135.39803242
111  58.09781389 -135.39836601
111  58.09665293 -135.40872613
111  58.09963764 -135.41002735
111  58.09958087 -135.41051882
111  58.09942149 -135.41132015
111  58.09920892 -135.41315410
111  58.09914198 -135.41400636
111  58.09914103 -135.41485710
111  58.09910726 -135.41500379
111  58.09904452 -135.41507879
111  58.09812307 -135.41504705
111  58.09797632 -135.41530053
113  58.09601847 -135.41448849
120 Hold Short 2
111  58.09673805 -135.40920891 4
111  58.09672860 -135.40929258 4
115  58.09671954 -135.40937278
120 Hold Short 1
111  58.09630179 -135.41299637 4
111  58.09629225 -135.41307987 4
115  58.09628276 -135.41316284
120 Taxi Line 4
111  58.09795032 -135.41309171 2
115  58.09831712 -135.40983335
120 Taxi Line 3
112  58.09636931 -135.40914675  58.09619668 -135.40909913 1
111  58.09616482 -135.40938345 1
115  58.09604580 -135.41042197
120 Taxi Line 2
112  58.09580314 -135.41251961  58.09576505 -135.41284910 1
115  58.09591269 -135.41292575
120 Taxi Line 1
111  58.09572844 -135.41319609 1
112  58.09591269 -135.41292575  58.09607060 -135.41298512
111  58.09591269 -135.41292575 1
115  58.09629225 -135.41307987
120 Taxi Line 1
111  58.09629225 -135.41307987 7
115  58.09671779 -135.41325267
120 Taxi Line 1
111  58.09671779 -135.41325267 1
111  58.09744568 -135.41354825 1
112  58.09781751 -135.41335756  58.09796544 -135.41307477
111  58.09781751 -135.41335756
