I
1050 Generated by WorldEditor 2.1.0r1

1    455 1 0 SCFA Andres Sabella Aeroporto / Cerro Moreno Airbase
1302 city Antofagasta
1302 country Chile
1302 datum_lat -23.4444444
1302 datum_lon -70.445
1302 iata_code ANF
1302 icao_code SCFA
1302 region_code SC
1302 state Antofagasta Region
1302 transition_alt 4500
100 50.00 1 0 0.25 0 3 1 01 -23.45618610 -070.44648060    0    0 3 12 0 1 19 -23.43271670 -070.44360830    0   88 3 12 0 1
100 40.00 4 0 0.00 0 0 0 02 -23.47677623 -070.43796661    0    0 0 0 0 0 20 -23.46298626 -070.43196325    0    0 0 0 0 0
110 2 0.00 84.0000 New Taxiway 61
111 -23.46337729 -070.43192278
111 -23.46325922 -070.43157956
111 -23.46305014 -070.43150448
113 -23.46304277 -070.43177262
110 2 0.00 84.0000 New Taxiway 60
111 -23.47690091 -070.43768131
111 -23.47698167 -070.43750985
111 -23.47685841 -070.43745888
113 -23.47678615 -070.43763497
110 2 0.00 84.0000 New Taxiway 59
111 -23.44012439 -070.44155305
111 -23.44013008 -070.44153599
111 -23.44009055 -070.44152049
111 -23.44010194 -070.44148636
111 -23.44005860 -070.44146937
111 -23.44006999 -070.44143368
111 -23.44002770 -070.44141710
111 -23.44003482 -070.44138763
111 -23.43999200 -070.44137084
111 -23.44000197 -070.44133516
111 -23.43996338 -070.44132003
111 -23.43998473 -070.44125952
111 -23.43994016 -070.44124205
111 -23.43995154 -070.44120016
111 -23.43990921 -070.44118809
111 -23.43995419 -070.44106075
111 -23.43986609 -070.44102957
111 -23.43994218 -070.44080885
111 -23.43990013 -070.44079219
111 -23.44002666 -070.44042478
111 -23.43966427 -070.44028121
111 -23.43953774 -070.44064861
111 -23.43899250 -070.44043259
111 -23.43923028 -070.43972660
111 -23.43890361 -070.43959597
111 -23.43878890 -070.43993658
111 -23.43875200 -070.43992317
111 -23.43862894 -070.44028855
111 -23.43771406 -070.43992608
111 -23.43794364 -070.43924244
111 -23.43758869 -070.43910182
111 -23.43735912 -070.43978545
111 -23.43680352 -070.43956005
111 -23.43703925 -070.43887195
111 -23.43663817 -070.43871832
111 -23.43640244 -070.43940643
111 -23.43629007 -070.43936190
111 -23.43627665 -070.43935445
111 -23.43636684 -070.43908189
111 -23.43616308 -070.43900228
111 -23.43608109 -070.43924580
111 -23.43605815 -070.43923305
111 -23.43605165 -070.43926745
111 -23.43567972 -070.43912009
111 -23.43575761 -070.43887434
111 -23.43547817 -070.43876362
111 -23.43540027 -070.43900937
111 -23.43537442 -070.43899913
111 -23.43543387 -070.43881370
111 -23.43536105 -070.43878668
111 -23.43531696 -070.43892308
111 -23.43529851 -070.43891637
111 -23.43527204 -070.43899827
112 -23.43527204 -070.43899827 -23.43524785 -070.43906498
111 -23.43516557 -070.43903687
111 -23.43436991 -070.43873744
111 -23.43436848 -070.43872037
111 -23.43430016 -070.43869865
111 -23.43427596 -070.43865677
111 -23.43425745 -070.43859471
111 -23.43413219 -070.43855282
111 -23.43407382 -070.43872503
111 -23.43408280 -070.43872858
111 -23.43403013 -070.43888062
111 -23.43413924 -070.43892378
111 -23.43419190 -070.43877174
111 -23.43438267 -070.43884721
111 -23.43429976 -070.43909786
111 -23.43433023 -070.43910850
111 -23.43434546 -070.43907416
