A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       36 0 0 SFCS Chartres
100   29.87   3   0 0.00 0 0 0 10  -51.71868714 -060.06596280    0.00    0.00 1  0 0 0 28  -51.71952153 -060.06025853    0.00    0.00 1  0 0 0
100   29.87   3   0 0.00 0 0 0 11  -51.72027513 -060.05741663    0.00    0.00 1  0 0 0 29  -51.71949366 -060.06030329    0.00    0.00 1  0 0 0
100   29.87   3   0 0.00 0 0 0 07  -51.71979941 -060.06235552    0.00    0.00 1  0 0 0 25  -51.71879594 -060.05788061    0.00    0.00 1  0 0 0
130 CHS BDRY
111 -51.72048953 -060.06063402 
111 -51.72203125 -060.05629552 
111 -51.72027441 -060.05479150 
111 -51.71944977 -060.05797307 
111 -51.71912709 -060.05623767 
111 -51.71772878 -060.05704753 
111 -51.71815903 -060.06138603 
111 -51.71754952 -060.06821195 
111 -51.71905538 -060.06838549 
111 -51.71966490 -060.06450976 
113 -51.72095564 -060.06329498 
18  -51.71862513 -060.06121249 1 CHS BCN
19  -51.71841592 -060.06054673 0 WINDSOCK

99
