A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1     1084 0 0 LFCF Figeac Livernon
100   29.87   1   0 0.00 0 0 0 11   44.67392741  001.78259725    0.00    0.00 4  0 0 0 29   44.67115717  001.79330009  160.02    0.00 4  0 0 0
100   20.12   3   0 0.00 0 0 0 11R  44.67155548  001.78955066    0.00    0.00 1  0 0 0 29L  44.67069387  001.79287766    0.00    0.00 1  0 0 0
110   1 0.00  20.00 taxiway parking
111  44.67134664  001.78951458 
111  44.67136067  001.78952444 
111  44.67147291  001.78948499 
111  44.67186573  001.78967239 
111  44.67194289  001.78982034 
111  44.67204811  001.78939622 
111  44.67190080  001.78946526 
111  44.67151500  001.78927786 
111  44.67145186  001.78912991 
111  44.67154305  001.78873538 
111  44.67117128  001.78855784 
111  44.67067324  001.79050091 
111  44.67079249  001.79057982 
111  44.67096786  001.78988939 
113  44.67121337  001.78999788 
19   44.67198605  001.78730046 0 WS
51 12350 Livernon A/A


130 Airport Boundary
111  044.67067337  001.79050088
111  044.67117310  001.78855777
111  044.67392731  001.78259718
111  044.67115784  001.79330003
113  044.67069244  001.79287755
99
