I
1050 Generated by WorldEditor 2.3.0r2

1    181 0 0 CCZ4 Margaree
100 22.86 1 0 0.00 0 0 0 01  46.33738501 -060.97904329    0    0 1 0 0 0 19  46.34394111 -060.98184228    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 62
111  46.34339710 -060.97995222
111  46.34342556 -060.97979232
111  46.34359471 -060.97985457
113  46.34356625 -060.98001447
110 2 0.00 0.0000 New Taxiway 61
111  46.34371453 -060.97993971
111  46.34383285 -060.97998343
111  46.34381117 -060.98010478
111  46.34378850 -060.98009626
111  46.34373613 -060.98007691
113  46.34369262 -060.98006084
110 3 0.00 0.0000 New Taxiway 60
111  46.34378355 -060.98069921
111  46.34368834 -060.98066274
111  46.34371113 -060.98053381
113  46.34380608 -060.98057103
110 2 0.00 0.0000 New Taxiway 59
111  46.34380608 -060.98057103
111  46.34388292 -060.98059974
111  46.34386038 -060.98072791
113  46.34378355 -060.98069921
110 1 0.00 0.0000 New Taxiway 58
111  46.34335099 -060.98144214
111  46.34340171 -060.98138679
111  46.34358646 -060.98048688
112  46.34355760 -060.98038295  46.34352267 -060.98036802
111  46.34355760 -060.98038295
111  46.34330526 -060.98029575
111  46.34338278 -060.97994695
111  46.34339710 -060.97995222
111  46.34356625 -060.98001447
111  46.34369262 -060.98006084
111  46.34373613 -060.98007691
111  46.34378850 -060.98009626
111  46.34371113 -060.98053381
111  46.34368834 -060.98066274
111  46.34367970 -060.98071157
111  46.34362186 -060.98068752
111  46.34347806 -060.98142736
113  46.34349237 -060.98150284
130 Airport Boundary 64
111  46.33701568 -060.97937273
111  46.33702750 -060.97814447
111  46.34057173 -060.97949604
111  46.34309353 -060.98070324
111  46.34340957 -060.97970270
111  46.34384663 -060.97989888
111  46.34394718 -060.98066872
111  46.34388972 -060.98142073
111  46.34454840 -060.98166744
113  46.34432884 -060.98253240
120 Linear Feature 63
111  46.34373613 -060.98007691 1
115  46.34372351 -060.98015471
1300  46.34348284 -060.97996280 -104.43 hangar props Hangar 3
1301 A none 
1300  46.34375351 -060.98007453 -104.43 hangar props Hangar 2
1301 A none 
1300  46.34380423 -060.98063757 -194.36 hangar props Hangar 1
1301 A none 
19  46.34263793 -060.98057054 1 New Windsock 35
51 12320 Margaree Traffic
99
