I
1050 Generated by WorldEditor 2.3.0r2

1   2395 0 0 CFL2 Mcneill Spectra Energy
100 22.86 1 0 0.25 0 2 0 02  50.67789111 -110.04684321    0    0 1 0 0 0 20  50.68596182 -110.03860585    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 66
111  50.68523472 -110.03917221
111  50.68511080 -110.03886093
111  50.68519782 -110.03878676
111  50.68528988 -110.03870828
113  50.68540625 -110.03899093
130 Airport Boundary 69
111  50.67390335 -110.05099320
111  50.67387528 -110.03955352
111  50.67925955 -110.03956842
111  50.67925143 -110.04149972
111  50.68081909 -110.04155531
111  50.68082992 -110.03961114
111  50.68390840 -110.03960689
111  50.68473420 -110.03875224
111  50.68471524 -110.03784631
111  50.68663760 -110.03501732
111  50.68831763 -110.03503266
113  50.68837939 -110.05107127
120 Linear Feature 67
111  50.68519782 -110.03878676 1
111  50.68529919 -110.03904398 1
115  50.68531164 -110.03907557
1300  50.68529919 -110.03904398 -57.98 tie_down turboprops|props Apron
1301 B general_aviation 
19  50.68222768 -110.03987204 1 New Windsock 55
51 12290 Mcneill Spectra Energy Traffic
99
